식당명,카테고리,주소,영업시간,메뉴,가격
고기굽는남자 동대구벤처밸리점,돼지고기구이,대구 동구 동부로22길 41 고기굽는남자 동대구벤처밸리점,`금11:30-23:00`토11:30-23:00`일정기휴무 (매주 일요일)`월11:30-23:00`화11:30-23:00`수11:30-23:00`목11:30-23:00`,소주한잔따라드립니다,변동
,,,,그릴링서비스 무료제공,무료
,,,,섬유탈취서비스!!,무료
,,,,숙성 생삼겹살,14000원
,,,,숙성 통목살,14000원
,,,,양념돼지갈비,14000원
,,,,[점심특선]해물솥밥+된장찌개+고기2인,39000원
,,,,[점심특선] 촌할매돼지찌개,10000원
,,,,[점심특선] 옛날 돈까스,10000원
,,,,항정살,16000원
,,,,갈매기살,15000원
,,,,가브리살,15000원
,,,,껍데기살,8000원
,,,,[한정]할매촌돼지찌개단품,18000원
,,,,계란구름볶음밥,9000원
,,,,함흥비빔냉면,7500원
,,,,냉김치말이,7000원
,,,,된장말이밥,5500원
,,,,된장찌개,3000원
,,,,얼큰냉면,7000원
,,,,게내장비빔밥,6500원
,,,,간장계란밥,4500원
,,,,해물솥밥,10000원
,,,,구워먹는치즈(10조각),5000원
,,,,치즈인더버섯,3500원
,,,,소주/맥주,5000원
,,,,청하,6000원
,,,,신상하이볼 (솔잎/꽃잎),8000원
,,,,레몬하이볼,8000원
,,,,자몽하이볼,8000원
,,,,얼그레이하이볼,8000원
,,,,음료수,2000원
,,,,공기밥,1000원
,,,,양념오뎅꼬지(5p),3000원
