식당명,카테고리,주소,영업시간,메뉴,가격
낙곱화 본점,한식,대구 동구 동대구로83길 6 1층 낙곱화,`월 10:00 - 23:00`화 10:00 - 23:00`수 10:00 - 23:00`목 10:00 - 23:00`금 10:00 - 23:00`토 10:00 - 23:00`일 10:00 - 23:00`,낙곱새 (한우대창+낙지 + 새우)(소(1.5인분)),25800원
,,,,낙곱새 (한우대창+낙지 + 새우)(중(2인~3인)),31800원
,,,,낙곱새 (한우대창+낙지 + 새우)(대(3인~4인)),38800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(소(1.5인분)),29800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(중(2인~3인)),35800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(대(3인~4인)),42800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(소(1.5인분)),28800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(중(2인~3인)),34800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(대(3인~4인)),41800원
,,,,낙우새 (우삼겹+낙지 +새우)(소(1.5인분)),25800원
,,,,낙우새 (우삼겹+낙지 +새우)(중(2인~3인)),31800원
,,,,낙우새 (우삼겹+낙지 +새우)(대(3인~4인)),38800원
,,,,1인 낙곱새 (한우대창+새우+낙지)(1인 낙곱새),11900원
,,,,1인 낙우새 (우삼겹+새우+낙지)(1인 낙우새),11900원
,,,,낙곱새 (한우대창+낙지 + 새우)(소(1.5인분)),25800원
,,,,낙곱새 (한우대창+낙지 + 새우)(중(2인~3인)),31800원
,,,,낙곱새 (한우대창+낙지 + 새우)(대(3인~4인)),38800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(소(1.5인분)),29800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(중(2인~3인)),35800원
,,,,한우소곱창 낙곱새 (한우소곱창+낙지 +새우)(대(3인~4인)),42800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(소(1.5인분)),28800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(중(2인~3인)),34800원
,,,,(푸딩푸딩 신메뉴)~순두부 낙곱새~(대(3인~4인)),41800원
,,,,낙우새 (우삼겹+낙지 +새우)(소(1.5인분)),25800원
,,,,낙우새 (우삼겹+낙지 +새우)(중(2인~3인)),31800원
,,,,낙우새 (우삼겹+낙지 +새우)(대(3인~4인)),38800원
,,,,"(시원,칼칼함 신메뉴) 한우곱창전골(중(2인~3인))",39800원
,,,,"(시원,칼칼함 신메뉴) 한우곱창전골(대(3인~4인))",49800원
,,,,1인 낙곱새 (한우대창+새우+낙지)(1인 낙곱새),11900원
,,,,1인 낙우새 (우삼겹+새우+낙지)(1인 낙우새),11900원
,,,,한우 대창 100g,7900원
,,,,한우 곱창 100g,11000원
,,,,한우대창 200g,15000원
,,,,한우곱창 150g,16000원
,,,,우삼겹 100g,5900원
,,,,우삼겹 150g,7900원
,,,,새우(7마리),7900원
,,,,낙지 120g,7900원
,,,,라면사리,1000원
,,,,우동사리,2000원
,,,,당면사리,2000원
,,,,순두부 400g,3000원
,,,,볶음밥 재료( 밥+후리가케+참기름+김가루),2000원
,,,,공기밥,1000원
,,,,모짜렐라 치즈,2500원
,,,,낙곱화 양념소스 (추가용 50g),1500원
,,,,구운계란(3개/소금없음)(3개),2000원
,,,,코카콜라,2000원
,,,,코카콜라 제로,2000원
,,,,사이다,2000원
,,,,환타파인,2000원
,,,,밀키스,2000원
