식당명,카테고리,주소,영업시간,메뉴,가격
대석대구찜닭 신천점,찜닭,대구 동구 동부로16길 76 1층 대석대구찜닭,`금10:30-21:30`토10:30-21:30`일10:30-21:30`월10:30-21:30`화정기휴무 (매주 화요일)`수10:30-21:30`목10:30-21:30`,모짜렐라치즈 추가,4000원
,,,,대구 명물 납작만두,3000원
,,,,뼈 안동찜닭 소(간장소스) / 반마리,23000원
,,,,뼈 안동찜닭 중(간장소스) / 한마리,27000원
,,,,순살 안동찜닭 소(간장소스) / 반마리,24000원
,,,,순살 안동찜닭 중(간장소스) / 한마리,29000원
,,,,뼈 야채찜닭 소(빨간소스) / 반마리,23000원
,,,,뼈 야채찜닭 중(빨간소스) / 한마리,27000원
,,,,순살 야채찜닭 소(빨간소스) / 반마리,24000원
,,,,순살 야채찜닭 중(빨간소스) / 한마리,29000원
,,,,뼈 치즈찜닭 / 반마리,26500원
,,,,뼈 치즈찜닭 / 한마리,30500원
,,,,순살 치즈찜닭 / 반마리,27500원
,,,,순살 치즈찜닭 / 한마리,32500원
,,,,뼈 닭도리탕 / 반마리,24000원
,,,,뼈 닭도리탕 / 한마리,28000원
,,,,순살 닭도리탕 / 반마리,25000원
,,,,순살 닭도리탕 / 한마리,30000원
,,,,공기밥,1000원
,,,,우동사리,2000원
,,,,크림치즈 고르곤졸라피자,12000원
,,,,페파로니피자,13000원
,,,,치즈피자,12000원
,,,,불고기피자,13000원
,,,,닭목살양념,14000원
,,,,무뼈닭발양념,14000원
