식당명,카테고리,주소,영업시간,메뉴,가격
더짬뽕47,중식당,대구 동구 장등로 47,`금10:30-20:30`토10:30-20:30`일정기휴무 (매주 일요일)`월10:30-20:30`화10:30-20:30`수10:30-20:30`목10:30-20:30`,짬뽕,9000원
,,,,귀요미짜장,3000원
,,,,짜장면,7000원
,,,,우동,9000원
,,,,간짜장,8500원
,,,,야끼우동1인,10000원
,,,,야끼우동2인,19000원
,,,,쟁반짜장1인,10000원
,,,,쟁반짜장2인,19000원
,,,,삼선간짜장,12000원
,,,,해장짬뽕,9500원
,,,,삼선우동,12000원
,,,,백짬뽕,9500원
,,,,삼선짬뽕,12000원
,,,,차돌짬뽕,13000원
,,,,고추짬뽕,13000원
,,,,낙지짬뽕,13000원
,,,,전복짬뽕,13000원
,,,,송이짬뽕,15000원
,,,,굴짬뽕,13000원
,,,,뼈다귀/등뼈짬뽕 (동절기),14000원
,,,,냉짬뽕,10000원
,,,,볶음밥,8500원
,,,,짜장밥,8500원
,,,,탕볶밥,12000원
,,,,탕짜면,11000원
,,,,탕짬면,12000원
