식당명,카테고리,주소,영업시간,메뉴,가격
명옥이네닭,한식뷔페,대구 동구 동대구로83길 17 1층(신천동),`금10:30-14:00`토10:30-14:00`일정기휴무 (매주 일요일)`월10:30-14:00`화10:30-14:00`수10:30-14:00`목10:30-14:00,야채찜닭(中 (반마리)),19000원
,,,,야채찜닭(大 (한마리)),25000원
,,,,닭도리탕(中 (반마리)),19000원
,,,,닭도리탕(大 (한마리)),25000원
,,,,야채찜닭(中 (반마리)),19000원
,,,,야채찜닭(大 (한마리)),25000원
,,,,안동찜닭(中 (반마리)),19000원
,,,,안동찜닭(大 (한마리)),25000원
,,,,닭도리탕(中 (반마리)),19000원
,,,,닭도리탕(大 (한마리)),25000원
,,,,순살찜닭(中 (반마리)),21000원
,,,,순살찜닭(大 (한마리)),27000원
,,,,닭계장(1인분),8000원
,,,,닭계장(6~7인분),23000원
,,,,참치찌개,8000원
,,,,순두부찌개,8000원
,,,,된장찌개,8000원
,,,,김치찌개,8000원
,,,,육개장,8000원
,,,,오삼두루치기(中),21000원
,,,,오삼두루치기(大),27000원
,,,,두루치기(中),19000원
,,,,두루치기(大),25000원
,,,,콜라(大),3000원
,,,,사이다(大),3000원
,,,,공기밥,1000원
