식당명,카테고리,주소,영업시간,메뉴,가격
베이징훠궈양꼬치양갈비,양꼬치,대구 동구 동부로30길 35-1 1층,`금12:00-01:00`토12:00-01:00`일12:00-01:00`월12:00-24:00`화12:00-24:00`수12:00-24:00`목12:00-24:00`,샤브샤브,19900원
,,,,오리지널양꼬치,14000원
,,,,양념양꼬치,14000원
,,,,양갈비살꼬치,18000원
,,,,고급양갈비,26000원
,,,,새우,15000원
,,,,마라소롱샤,39000원
,,,,마파두부,15000원
,,,,동파육,25000원
,,,,경장육사,22000원
,,,,탕수가지,19000원
,,,,매운가재꼬리,28000원
,,,,육단볶음,25000원
,,,,수죽고기,28000원
,,,,지삼선,20000원
,,,,칭경채새우볶음,22000원
,,,,모혈왕,28000원
,,,,샹라오징어,25000원
,,,,샹라육쓰,20000원
,,,,쏸채탕면볶음,15000원
,,,,먹태구이,15000원
,,,,위샹가지,19000원
,,,,시사모구이,15000원
,,,,해물누룽지탕,19000원
,,,,해물짬뽕,10000원
,,,,우육면,10000원
,,,,완탕,8000원
,,,,물만두,7000원
,,,,군만두,8000원
,,,,볶음밥,7000원
,,,,만두튀김,7000원
,,,,꽃빵튀김,8000원
,,,,마라탕,20000원
