식당명,카테고리,주소,영업시간,메뉴,가격
샵족발,"족발,보쌈",대구 동구 동부로30길 80 1층,`금14:30-00:30`토14:30-00:30`일정기휴무 (매주 일요일)`월14:30-00:30`화14:30-00:30`수14:30-00:30`목14:30-00:30`,족발 +[막국수](특대),52000원
,,,,족발 +[막국수](대),42000원
,,,,족발 +[막국수](중),37000원
,,,,족발 +[막국수](소),32000원
,,,,보쌈 +[막국수](특대),52000원
,,,,보쌈 +[막국수](대),42000원
,,,,보쌈 +[막국수](중),37000원
,,,,보쌈 +[막국수](소),32000원
,,,,불족발+[막국수](특대),52000원
,,,,불족발+[막국수](대),42000원
,,,,불족발+[막국수](중),37000원
,,,,불족발+[막국수](소),32000원
,,,,꿀마늘족발+[막국수](대),55000원
,,,,꿀마늘족발+[막국수](중),45000원
,,,,꿀마늘족발+[막국수](소),40000원
,,,,반반족발/보쌈 +[막국수](대),55000원
,,,,반반족발/보쌈 +[막국수](중),45000원
,,,,반반족발/보쌈 +[막국수](소),40000원
,,,,냉채족발+[막국수](대),50000원
,,,,냉채족발+[막국수](중),45000원
,,,,냉채족발+[막국수](소),40000원
,,,,족발 +[막국수](특대),52000원
,,,,족발 +[막국수](대),42000원
,,,,족발 +[막국수](중),37000원
,,,,족발 +[막국수](소),32000원
,,,,보쌈 +[막국수](특대),52000원
,,,,보쌈 +[막국수](대),42000원
,,,,보쌈 +[막국수](중),37000원
,,,,보쌈 +[막국수](소),32000원
,,,,불족발+[막국수](특대),52000원
,,,,불족발+[막국수](대),42000원
,,,,불족발+[막국수](중),37000원
,,,,불족발+[막국수](소),32000원
,,,,꿀마늘족발+[막국수](대),55000원
,,,,꿀마늘족발+[막국수](중),45000원
,,,,꿀마늘족발+[막국수](소),40000원
,,,,반반족발/보쌈 +[막국수](대),55000원
,,,,반반족발/보쌈 +[막국수](중),45000원
,,,,반반족발/보쌈 +[막국수](소),40000원
,,,,냉채족발+[막국수](대),50000원
,,,,냉채족발+[막국수](중),45000원
,,,,냉채족발+[막국수](소),40000원
,,,,쟁반국수(2인),10000원
,,,,계란김주먹밥,3000원
,,,,공기밥,1000원
,,,,보쌈김치,4000원
,,,,보쌈무김치,3000원
,,,,마늘소스,3000원
,,,,불족소스,3000원
,,,,치즈추가(불족),3000원
,,,,양념쌈장,2000원
,,,,쌈야채+무쌈,3000원
