식당명,카테고리,주소,영업시간,메뉴,가격
섬진강 재첩과 진부령 황태,한식,대구 동구 동부로30길 92-13,`금08:00-22:00`토08:00-22:00`일08:00-22:00`월08:00-22:00`화08:00-22:00`수08:00-22:00`목08:00-22:00`,우삼겹 샤브월남쌈,11000원
,,,,목심샤브월남쌈,11000원
,,,,부채살 샤브 월남쌈,29000원
,,,,우삼겹샤브월남쌈편백찜,39000원
,,,,목심샤브월남쌈편백찜,49000원
,,,,부채살샤브월남쌈편백찜,11000원
,,,,무한리필(우삼겹)샤브,11000원
,,,,우삼겹추가(100g),15000원
,,,,목심추가(100g),11000원
,,,,부채살추가(100g),12000원
,,,,황태국(공기밥+반찬6종 포함),11000원
,,,,고디탕(공기밥+반찬6종 포함),11000원
,,,,재첩회(서비스 국+반찬6종 포함)(소),29000원
,,,,재첩회(서비스 국+반찬6종 포함)(중),39000원
,,,,재첩회(서비스 국+반찬6종 포함)(대),49000원
,,,,재첩부침,11000원
,,,,황태구이(한마리식사+반찬6종 포함)(공기밥별도),14000원
,,,,황태구이(두마리안주+반찬6종 포함)(공기밥별도),26500원
,,,,흑태찜(서비스 국+반찬6종 포함)(공기밥 별도)(3인),59000원
,,,,코다리찜(서비스 국+반찬6종 포함)(소),31000원
,,,,코다리찜(서비스 국+반찬6종 포함)(중),41000원
,,,,코다리찜(서비스 국+반찬6종 포함)(대),51000원
,,,,제주양푼등갈비찜(중)(2~3인분),31000원
,,,,제주양푼등갈비찜(대)(3~4인분),44000원
,,,,공기밥,1000원
,,,,반찬 6종,3000원
