식당명,카테고리,주소,영업시간,메뉴,가격
에이엣디커피브루어스,"카페,디저트",대구 동구 동대구로85길 7-2 1층,`금08:00-17:00`토10:00-16:00`일정기휴무 (매주 일요일)`월08:00-18:00`화08:00-18:00`수08:00-18:00`목08:00-18:00,*홀 자리 안내*,무료
,,,,*사이즈업! (+ 500),500원
,,,,ACC 블렌딩,3500원
,,,,에티오피아 예가체프 아리차 내츄럴,5000원
,,,,에이엣디라떼,5000원
,,,,콘플랫,5000원
,,,,누가라떼,5000원
,,,,청귤차,5000원
,,,,더치 커피,4000원
,,,,필터 커피,5500원
,,,,라떼,4500원
,,,,더치 라떼,4500원
,,,,바닐라 라떼,4500원
,,,,말차 라떼,5000원
,,,,아이스크림,5000원
,,,,아이스크림 커피,6000원
,,,,캐모마일 허브티,5000원
,,,,자두 에이드,5000원
,,,,레몬 에이드,4500원
,,,,복숭아 에이드,4000원
,,,,복숭아 아이스티,4000원
,,,,초콜릿,5500원
,,,,미숫가루,5000원
,,,,플레인 요거트 스무디,5000원
,,,,오레오 쉐이크,5500원
,,,,르뱅쿠키,3500원
,,,,휘낭시에,2500원
,,,,레몬 휘낭시에,2500원
,,,,무화과 휘낭시에,2500원
,,,,블루치즈 휘낭시에,2500원
,,,,시나몬슈가 휘낭시에,2500원
,,,,유자초코 휘낭시에,2500원
,,,,쑥 마카다미아 휘낭시에,2500원
,,,,솔티카라멜 휘낭시에,2500원
,,,,현미흑임자 휘낭시에,2500원
,,,,ACC 블렌딩 (200g),9500원
,,,,에티오피아 (200g),16500원
,,,,*디카페인 (200g),16500원
