식당명,카테고리,주소,영업시간,메뉴,가격
열정국밥,국밥,대구 동구 동부로26길 16 1층 103호 열정국밥,`월 08:00 - 24:00`화 08:00 - 24:00`수 08:00 - 24:00`목 08:00 - 24:00`금 08:00 - 24:00`토 08:00 - 24:00`일 08:00 - 24:00`,(동글~바삭)완자돈까스3개+육장,5000원
,,,,(동글~바삭)완자돈까스6개+육장,10000원
,,,,(야들야들)돼지국밥(보통),11000원
,,,,(야들야들)돼지국밥((특)곱배기),13000원
,,,,(찐~열정)토종순대국밥(보통),12000원
,,,,(찐~열정)토종순대국밥((특)곱배기),14000원
,,,,(뽈살듬뿍)살코기수육국밥(보통),12000원
,,,,(뽈살듬뿍)살코기수육국밥((특)곱배기),14000원
,,,,(크~속풀이)얼큰열정해장국((보통)),12000원
,,,,(크~속풀이)얼큰열정해장국((특) 곱배기),14000원
,,,,(야들야들)돼지국밥(보통),11000원
,,,,(야들야들)돼지국밥((특)곱배기),13000원
,,,,(뽈살듬뿍)살코기수육국밥(보통),12000원
,,,,(뽈살듬뿍)살코기수육국밥((특)곱배기),14000원
,,,,(찐~열정)토종순대국밥(보통),12000원
,,,,(찐~열정)토종순대국밥((특)곱배기),14000원
,,,,(크~속풀이)얼큰열정해장국((보통)),12000원
,,,,(크~속풀이)얼큰열정해장국((특) 곱배기),14000원
,,,,(순살만살살)순살갈비탕+당면+육장(순살만살살),14000원
,,,,(소고기듬뿍)특설렁탕+당면+육장(소고기살만100g+한우육수),13000원
,,,,(땡기는맛)햄폭탄 부대찌개800g+당면(품격높은햄),13000원
,,,,(특뼈해장국)열정2배감자탕+육장(감자뼈350g이상),14000원
,,,,(더맛있는맛)순살감자탕+육장(뼈없는순살),14000원
,,,,(열정파워)닭한마리삼계탕(100%국내산),14000원
,,,,(노포감성)열정장터소국밥+당면(가마솥육수),13000원
,,,,(술이술술)전라도소내장탕(내장많음),13000원
,,,,(와~탱글부들)양평양선지해장국+육장(탱글부들),14000원
,,,,(한결같은맛)소양내장탕+육장(깐양+내장),14000원
,,,,(모두맛있다)모듬국밥(보통),12000원
,,,,(모두맛있다)모듬국밥((특)곱배기),14000원
,,,,(쫄깃곱창)내장국밥(보통),12000원
,,,,(쫄깃곱창)내장국밥((특)곱배기),14000원
,,,,(2인세트)꽉찬소곱창전골+공기밥2+육장2+당면(소곱창260g),29000원
,,,,(동글~바삭)완자돈까스3+국밥1+육장(완자돈까스3개+국밥),15000원
,,,,(정성가득한상)토종순대한상300g+국밥1+무말랭이(토종순대한상+국밥),19000원
,,,,(쫀득꼬들살)국내산한돈보쌈250g+국밥+무말랭이+육장(국내산한돈보쌈+국밥),27000원
,,,,(황금비율)뽈살항정250g+국밥1+무말랭이+육장(뽈살항정수육+국밥),29000원
,,,,(오직한우)소고기수육250g+국밥+무말랭이+육장(소고기수육+국밥),31000원
,,,,(오직한우)소고기수육250g+무말랭이+육장(소고기수육),21000원
,,,,(오직한우)소고기수육250g+무말랭이+육장(소고기수육+낙지젓),26000원
,,,,(최고급부위)뽈살항정수육250g+무말랭이+육장(뽈살항정수육),19000원
,,,,(최고급부위)뽈살항정수육250g+무말랭이+육장(뽈살항정수육+낙지젓),24000원
,,,,(한점에한잔)국내산한돈보쌈250g+무말랭이+육장(국내산한돈보쌈),17000원
,,,,(한점에한잔)국내산한돈보쌈250g+무말랭이+육장(국내산한돈보쌈+낙지젓),22000원
,,,,(시골순대)토종순대한상300g+무말랭이(토종순대한상),9000원
,,,,(쫄깃탱글~)낙지젓무침(100g),5000원
,,,,(도시락 반찬)함박스테이크 (2개),4000원
,,,,(도시락 반찬)함박스테이크(4개),8000원
,,,,(동글~바삭)완자돈까스3개+육장,5000원
,,,,(동글~바삭)완자돈까스6개+육장,10000원
,,,,얇은피왕만두(고기)(4개),6000원
,,,,얇은피왕만두(김치)(4개),6000원
,,,,얇은피왕만두(고기2+김치2)(4개),6000원
,,,,갈비만두(8개),6000원
,,,,왕군만두(고기)(4개),6000원
,,,,왕군만두(김치)(4개),6000원
,,,,왕군만두(고기2+김치2)(4개),6000원
,,,,갈비 군만두(8개)(8개),6000원
,,,,공기밥 추가,1000원
,,,,깍두기 추가,1500원
,,,,생부추 추가,1000원
,,,,무말랭이 추가,1000원
,,,,"5찬 추가(새우젓,다대기,쌈장,청양고추,양파)",1500원
,,,,와사비육장 추가,1000원
,,,,코카콜라 제로(355ml),2000원
,,,,칠성사이다 제로(355ml),2000원
