식당명,카테고리,주소,영업시간,메뉴,가격
이집피자,피자,대구 동구 동부로26길 43 1층 EASYPPIZZA,`금16:00-24:00`토12:00-24:00`일정기휴무 (매주 일요일)`월16:00-24:00`화16:00-24:00`수16:00-24:00`목16:00-24:00`,이집피자(11inch),24900원
,,,,통통새우토마토시금치피자(11inch),25900원
,,,,베이컨 포테이토 토핑 폭탄 피자(11inch),23900원
,,,,생모짜렐라피자(11inch),23900원
,,,,페퍼로니 폭탄 리얼치즈 피자(11inch),24900원
,,,,반반피자(11inch),22000원
,,,,통통새우토마토시금치피자(11inch),25900원
,,,,이집피자(11inch),24900원
,,,,베이컨 포테이토 토핑 폭탄 피자(11inch),23900원
,,,,스페인 전통 햄 초리조 피자,23900원
,,,,생모짜렐라피자(11inch),23900원
,,,,페퍼로니 폭탄 리얼치즈 피자(11inch),24900원
,,,,토핑듬뿍 콤비네이션피자(11inch),22900원
,,,,치즈피자(11inch),18900원
,,,,버팔로핫윙봉(6pcs),6500원
,,,,감자튀김,4000원
,,,,코카콜라(500ml),2000원
,,,,스프라이트(500ml),2000원
,,,,코카콜라zero(355ml),2000원
,,,,스프라이트zero(355ml),2000원
,,,,기본제공 외 추가주문(피클(2개)),500원
,,,,기본제공 외 추가주문(타바스코 핫소스(2개)),500원
,,,,기본제공 외 추가주문(치즈가루(2개)),500원
