식당명,카테고리,주소,영업시간,메뉴,가격
전주중앙회관 현대시티아울렛대구점,한식,대구 동구 동대구로 454,`월 10:30 - 21:00`화 10:30 - 21:00`수 10:30 - 21:00`목 10:30 - 21:00`금 10:30 - 21:00`토 10:30 - 21:00`일 10:30 - 21:00`,"곱돌,놋쇠,낙지비빔밥 정식",17000원
,,,,도가니탕,14000원
,,,,불낙비빔밥,12500원
,,,,육회비빔밥 정식,22000원
,,,,낙지비빔밥,12500원
,,,,뚝불고기,13000원
,,,,차돌된장찌개,10000원
,,,,제육볶음식사,10000원
,,,,순두부,9000원
,,,,계란말이,12000원
,,,,녹두빈대떡,12000원
,,,,삼계탕(계절메뉴),16000원
,,,,육회,40000원
,,,,모듬전 대,35000원
,,,,모듬전 소,20000원
,,,,낙지볶음,35000원
,,,,제육볶음 대,25000원
,,,,제육볶음 소,15000원
,,,,육전,12000원
