식당명,카테고리,주소,영업시간,메뉴,가격
큰맘할매순대국 대구신천점,"순대,순댓국",대구 동구 동부로22길 41,`금09:00-22:00`토정기휴무 (매주 토요일)`일09:00-21:00`월09:00-22:00`화09:00-22:00`수09:00-22:00`목09:00-22:00`,큰맘순대국,10000원
,,,,양선지해장국,11000원
,,,,소갈비탕,13000원
,,,,뼈해장국,9000원
,,,,김치찜,10000원
,,,,순대소곱창전골,28000원
,,,,1인세트(식사류+편육or순대),13000원
,,,,큰맘순대국,10000원
,,,,순대국,9000원
,,,,수육국밥,9000원
,,,,큰맘내장국밥,11000원
,,,,양선지해장국,11000원
,,,,소갈비탕,13000원
,,,,소내장탕,11000원
,,,,버섯순두부,8000원
,,,,소고기국밥,8000원
,,,,육개장순대국,9000원
,,,,소머리곰탕,9000원
,,,,김치찜,10000원
,,,,뼈해장국,9000원
,,,,황태해장국,9000원
,,,,삼계탕,15000원
,,,,얼큰모듬술국,23000원
,,,,순대곱창볶음,25000원
,,,,순대모듬수육,25000원
,,,,뼈 감자탕(중),25000원
,,,,뼈 감자탕(대),30000원
,,,,순대소곱창전골,28000원
,,,,할매모듬(중),30000원
,,,,할매모듬(대),35000원
,,,,순대국밥+토종순대(소),17000원
,,,,순대국밥+편육(소),17000원
,,,,큰맘순대국+토종순대(소),18000원
,,,,큰맘순대국+편육(소),18000원
,,,,내장국밥+토종순대(소),19000원
,,,,내장국밥+편육(소),19000원
,,,,토종순대(소),8000원
,,,,토종순대(대),11000원
,,,,편육(소),8000원
,,,,편육(대),11000원
,,,,제육볶음(공깃밥 별도),10000원
,,,,찐만두,5000원
,,,,공기밥 추가,1000원
,,,,라면사리,2000원
,,,,청양고추(토핑) 추가,1000원
,,,,편마늘 추가,1000원
,,,,깍두기 추가,1000원
,,,,김치 추가,1000원
,,,,코카콜라 500ml,2000원
,,,,스프라이트 500ml,2000원
,,,,환타(파인맛) 355ml,2000원
,,,,제로콜라 355ml,2000원
