식당명,카테고리,주소,영업시간,메뉴,가격
투다리 동대구점,"오뎅,꼬치",대구 동구 동부로30길 33,,닭산적,9500원
,,,,김치우동,11000원
,,,,투다리모둠오뎅,13000원
,,,,교자전골,15000원
,,,,투다리 부대찌개,15000원
,,,,어묵매운탕,12000원
,,,,대창전골,26000원
,,,,돈꼬츠 어묵탕,18000원
,,,,칼칼비지락 유부많이탕,22000원
,,,,알탕,17000원
,,,,육포품은 먹태,23000원
,,,,먹태,17000원
,,,,반건오징어,16000원
,,,,한치,16000원
,,,,노가리,15000원
,,,,야채볶음맛&통소세지,9500원
,,,,쭈꾸미 볶음,18000원
,,,,마라비지락볶음면,25000원
,,,,사천볶음밥,8500원
,,,,벌집껍데기볶음,17000원
,,,,통마늘 모래집 볶음,16500원
,,,,닭발볶음,18000원
,,,,향라치킨,18000원
,,,,통날깨 꼬치,9500원
,,,,모래집 꼬치,9500원
,,,,염통꼬치,9500원
,,,,아스파라거스 꼬치,9500원
,,,,은행꼬치,7000원
,,,,오징어목살튀김꼬치,17000원
,,,,새우볼꼬치,9000원
,,,,깻잎말이 꼬치,9000원
,,,,매운닭발꼬치,9500원
,,,,매운닭살꼬치,9500원
,,,,매운닭가죽 꼬치,9000원
,,,,민치꼬치,9000원
,,,,팽이버섯말이꼬치,9000원
,,,,닭가죽,9000원
,,,,명란소스 닭산꼬치,11000원
,,,,베스트 꼬치,10500원
