식당명,카테고리,주소,영업시간,메뉴,가격
팔공큰돼지찌개 신천점,한식,대구 동구 동대구로 462 1층,`월 10:00 - 22:00`화 10:00 - 22:00`수 10:00 - 22:00`목 10:00 - 22:00`금 10:00 - 22:00`토 10:00 - 22:00`일 10:00 - 22:00`,팔공큰돼지찌개,8900원
,,,,석쇠구이세트 (2인반판),25000원
,,,,오징어석쇠구이세트 (2인반판),29000원
,,,,간장석쇠 (한판),17000원
,,,,고추장석쇠 (한판),17000원
,,,,석쇠구이세트 (2인한판),33000원
,,,,석쇠구이세트 (3인한판),41000원
,,,,석쇠구이세트 (4인한판),48000원
,,,,오정이석쇠(한판),24000원
,,,,오정이석쇠(반판),12000원
,,,,오징어석쇠구이세트 (2인한판),38000원
,,,,오징어석쇠구이세트 (3인한판),46000원
,,,,오징어석쇠구이세트 (4인한판),54000원
,,,,국내산 생삼겹살 130g,8900원
,,,,등심돈까스,8000원
,,,,물냉면,8000원
,,,,비빔냉면,8000원
,,,,국내산 생목살 130g,8900원
,,,,치즈돈까스,9000원
