식당명,카테고리,주소,영업시간,메뉴,가격
팔팔 소뼈 해장국,해장국,대구 동구 동대구로85길 5-1 1층 팔팔 소뼈 해장국,`금10:00-21:30`토10:00-16:00`일정기휴무 (매주 일요일)`월10:00-21:30`화10:00-21:30`수10:00-21:30`목10:00-21:30,깔끔이 소뼈 해장국,10000원
,,,,얼큰이 소뼈 해장국,10000원
,,,,소 내장탕,12000원
,,,,양선지 해장국,10000원
,,,,양곱창전골(중/2~3인용),36000원
,,,,선지 해장국,8000원
,,,,빨간맛 매콤 소뼈찜,12000원
,,,,얼큰 소뼈우동,10500원
,,,,깔끔 소뼈우동,10500원
,,,,유부우동,7000원
,,,,양곱창전골(대/3~4인용),46000원
,,,,소뼈 감자탕(중),32000원
,,,,소뼈 감자탕(대),42000원
,,,,소고기 콩불 파스타,15000원
,,,,가문어 뼈찜(중),42000원
,,,,가문어 뼈찜(대),52000원
,,,,소육전,15000원
,,,,소 허파전,15000원
