식당명,카테고리,주소,영업시간,메뉴,가격
포보스 현대시티아울렛대구점,베트남음식,대구 동구 동대구로 454 현대시티아울렛대구점 8층,`금10:30-21:00`토10:30-21:00`일10:30-21:00`월10:30-21:00`화10:30-21:00`수10:30-21:00`목10:30-21:00`,호치민세트,36500원
,,,,소고기쌀국수,10500원
,,,,소고기 비빔분짜,13000원
,,,,하노이깐풍기,11500원
,,,,하노이볶음밥,11500원
,,,,매운해산물쌀국수,14000원
,,,,칠리윙,6000원
,,,,매운해산물볶음밥,12000원
,,,,소고기볶음국수,12500원
,,,,반세오,19000원
,,,,팟타이,12500원
,,,,짜조,5000원
,,,,어린이세트,8500원
,,,,짜조샐러드,8500원
,,,,그린빈 찹스테이크,14000원
,,,,분짜,15000원
,,,,런치세트,12500원
,,,,하노이세트,33000원
,,,,그린빈세트,27500원
,,,,패밀리세트,61000원
