식당명,카테고리,주소,영업시간,메뉴,가격
포유샐러드플레이트 신천점,"다이어트,샐러드",대구 동구 동대구로 469 지하1층 상가 102호,`금10:00-20:00`토10:00-20:00`일정기휴무 (매주 일요일)`월10:00-20:00`화10:00-20:00`수10:00-20:00`목10:00-20:00`,포유샐러드,8800원
,,,,모듬버섯 샐러드,8800원
,,,,소불고기 샐러드,10800원
,,,,포유비빔밥,9800원
,,,,베이컨에그 샐러드,8800원
,,,,오리훈제 샐러드,9800원
,,,,치킨텐더 샐러드,9800원
,,,,그릴쉬림프 샐러드,10800원
,,,,두부텐더 샐러드,9800원
,,,,그릴스테이크 샐러드,11800원
,,,,바질쉬림프파스타 샐러드,9900원
,,,,에그누들볶음면 샐러드,9900원
,,,,트러플양송이스프,4500원
,,,,불고기 샌드위치,7900원
,,,,베이컨에그샌드위치,7900원
,,,,치킨텐더 샌드위치,7900원
,,,,아메리카노,2200원
,,,,얼그레이 티,2500원
,,,,아이스티,2000원
