STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
고향손칼국수,"rlc****
리뷰 483사진 210팔로워 4","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,음식 맛있고 양도 많아요 ㅋㅋ 동네 아저씨들 단골집인듯 합미당 ㅋㅋ,"['음식이 맛있어요', nan, nan, nan, nan]"
고향손칼국수,"유동닉
리뷰 1,955사진 31","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",4번째 방문,맛있습니다,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', nan, nan]"
고향손칼국수,"짱구력26
리뷰 287사진 13팔로워 10","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",4번째 방문,굿,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
고향손칼국수,"유동닉
리뷰 1,955사진 31","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",3번째 방문,넘맛있어요,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '매장이 청결해요', nan]"
고향손칼국수,"유동닉
리뷰 1,955사진 31","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",2번째 방문,맛있어오,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', nan, nan]"
고향손칼국수,"칼로리폭탄
리뷰 493사진 722팔로워 28","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"얼큰이보단 바지락칼국수가 맛있어요
양도 적당하고 저렴하고 김치도 맛있네요
칼국수 땡길 때 또 갈게요","['음식이 맛있어요', '친절해요', nan, nan, nan]"
고향손칼국수,"냄비네
리뷰 1,274","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
고향손칼국수,"남매두기12
리뷰 200사진 113","['점심에 방문', nan, nan, nan, nan]",3번째 방문,"비가 낼 예정인 오늘 같은 날~~
손수제비..넘 잘어울려요","['음식이 맛있어요', '단체모임 하기 좋아요', '친절해요', nan, nan]"
고향손칼국수,"CAMAC
리뷰 1,058사진 74","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"[nan, nan, nan, nan, nan]"
고향손칼국수,"장미8753
리뷰 534사진 525팔로워 6","['점심에 방문', nan, nan, nan, nan]",1번째 방문,칼국수가 맛있어요,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
고향손칼국수,"짱구력26
리뷰 287사진 13팔로워 10","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",3번째 방문,굿,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '인테리어가 멋져요']"
고향손칼국수,"김망고57
리뷰 504사진 684팔로워 33","['점심에 방문', nan, nan, nan, nan]",8번째 방문,만두국에 만두도 떡이랑 수제비까지~~!!,"['가성비가 좋아요', '음식이 맛있어요', nan, nan, nan]"
고향손칼국수,"다소곳1
리뷰 442사진 498팔로워 17","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"가성비 좋고 슴슴하니 넘 맛있어요 :)
수제비 먹고 싶을 때 또 방문할 계획입니다!","['양이 많아요', '가성비가 좋아요', '음식이 맛있어요', nan, nan]"
고향손칼국수,"김망고57
리뷰 504사진 684팔로워 33","['점심에 방문', nan, nan, nan, nan]",6번째 방문,만두국인데 수제비에 떡까지 ㅋㅋㅋ굿굿,"['양이 많아요', '가성비가 좋아요', '음식이 맛있어요', nan, nan]"
고향손칼국수,"김망고57
리뷰 504사진 684팔로워 33","['점심에 방문', nan, nan, nan, nan]",7번째 방문,"음,,,?? 오늘비빔밥 무슨일인지 평소랑 다르게 나왓네요ㅠㅠㅠ 콩나물 무채 미역? 밖에없었어요,,,,,,,,,,,ㅇㅡ이럴줄알앗음 딴거먹을걸그래써요ㅠㅠㅠㅠ","['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
고향손칼국수,"김망고57
리뷰 504사진 684팔로워 33","['점심에 방문', nan, nan, nan, nan]",5번째 방문,수제비 얇고좋아요 맛잇어요,"['음식이 맛있어요', nan, nan, nan, nan]"
고향손칼국수,"루비9664
리뷰 1,043사진 21","['점심에 방문', nan, nan, nan, nan]",3번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
고향손칼국수,"ros****
리뷰 693사진 24","['점심에 방문', nan, nan, nan, nan]",1번째 방문,적당하네요,"['가성비가 좋아요', nan, nan, nan, nan]"
고향손칼국수,"쓰치
리뷰 834사진 1,150","['점심에 방문', nan, nan, nan, nan]",5번째 방문,"손수제비 맛있어요
청양고추가 들어갔는지 국물이 칼칼하니 시원해요
조미료 안들어간 맛이에요
같이 나오는 겉절이랑 무절임 맛있어요
사장님도 친절해요
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '양이 많아요', '친절해요']"
고향손칼국수,"웃음의여왕이
리뷰 369사진 10팔로워 2","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굳,"['뷰가 좋아요', nan, nan, nan, nan]"
고향손칼국수,"쓰치
리뷰 834사진 1,150","['점심에 방문', nan, nan, nan, nan]",3번째 방문,"손수제비 맛있어요
칼칼 시원한 맛이에요
조미료맛이 느껴지지않아오
재료들이 인공적이지않아 좋아요
반죽이 얇아서 후루룩 먹기 좋아요
같이 나오는 김치랑 무절임 맛있어요
양도 많고 가격도 저렴하고
사장님도 친절해서 좋아요
접기","['친절해요', '매장이 청결해요', '가성비가 좋아요', '재료가 신선해요', '양이 많아요']"
고향손칼국수,"쓰치
리뷰 834사진 1,150","['점심에 방문', nan, nan, nan, nan]",2번째 방문,"손수제비 맛있어요
국물에 청양이 들어가서 칼칼하니 시원하니 최고에요
가격도 6천원이라서 가성비 좋아요
김치도 맛있고
무절임 최고에요
접기","['가성비가 좋아요', '양이 많아요', '재료가 신선해요', '음식이 맛있어요', '친절해요']"
고향손칼국수,"김망고57
리뷰 504사진 684팔로워 33","['점심에 방문', nan, nan, nan, nan]",2번째 방문,"메뉴판에 없는 비빔국수!! 귯귯 가위달라하고는 사진찍으려는데 사장님이 잘라주셨,,, 하하핳 감사합니당
매콤새콤 맛있음","['음식이 맛있어요', nan, nan, nan, nan]"
고향손칼국수,"sot****
리뷰 58사진 3","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"음식이 깔끔하니 맛있어요
손수제비 엄청 얇고
국물도 깔끔 시원해요
가성비 최고에요
접기","['친절해요', '매장이 청결해요', '양이 많아요', '음식이 맛있어요', '가성비가 좋아요']"
고향손칼국수,"쓰치
리뷰 834사진 1,150","['점심에 방문', nan, nan, nan, nan]",4번째 방문,"음식이 맛있어요
먹고 나도 속 더부룩함이 없어요","['음식이 맛있어요', '가성비가 좋아요', '양이 많아요', '재료가 신선해요', '친절해요']"
