STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
금호순대돼지국밥전문점,"이210
리뷰 806사진 658","['저녁에 방문', '예약 없이 이용', '바로 입장', '여행', '부모님, 친척・형제']",1번째 방문,"여기 강력하게 추천합니다.
대구에 결혼식이 있어서 거리가 멀어 하루전에 온건데,
뜨끈하게 너무 잘 먹었네요.
전 국에 아무것도 안 넣고, 김치랑 같이 먹는 스타일인데..
너무 잘 먹어서 나중엔 국물이 부족해지더라고요.^^
양파도 마늘도 고추도 쌈장과 함께 잘 먹고,
김치들도 맛있어서 잘 먹고,
새우젓도 뒤맛까지도 깔끔하고요.
원래 새우젓 안 먹는데, 여기서는 순대에 올려먹었네요.
모든 재료가 아주 신선했어요.
가족 모두 안 남기고 다 먹었네요.
잘 먹었습니다.
접기","['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '메뉴 구성이 알차요', '친절해요']"
금호순대돼지국밥전문점,"쫌매이
리뷰 1,913사진 465팔로워 23","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",2번째 방문,"수육백반이 1인분 1만원이면 요즘 물가에 가성비 좋습니다. 게다가 맛도 맛있습니다. 수육 담은 접시는 뜨겁게 데워서 나오고 수육 밑엔 부추가 깔려서 조화도 좋습니다.
접기","['음식이 맛있어요', '혼밥하기 좋아요', '친절해요', nan, nan]"
금호순대돼지국밥전문점,"엄마최고1
리뷰 215사진 190","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '기타']",1번째 방문,잡내 전혀 없이 깔끔합니다 반찬이며 양념에 아낌이 없어요 가격도 다른곳 보다 저렴합니다,"['재료가 신선해요', '가성비가 좋아요', '혼밥하기 좋아요', nan, nan]"
금호순대돼지국밥전문점,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '바로 입장', '일상', '지인・동료', nan]",5번째 방문,"쌀쌀한 날씨에는 뜨근한 국물이 쵝오!!
순대국밥은 주문할때 순대만 넣어달라고 하면
순대만 넣어주시고 잡내가 적고 완전 뜨거우니 드실때조심~^^
접기","['음식이 맛있어요', '재료가 신선해요', '잡내가 적어요', '매장이 넓어요', '음식이 빨리 나와요']"
금호순대돼지국밥전문점,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",6번째 방문,쌀쌀해진 날씨에는 뜨끈한 국밥이 최고입니다,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '매장이 넓어요', '혼밥하기 좋아요']"
금호순대돼지국밥전문점,"rap****
리뷰 990사진 203팔로워 1","['점심에 방문', nan, nan, nan, nan]",10번째 방문,,"['혼밥하기 좋아요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"pipi303
리뷰 242사진 238팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,밑반찬이깔끔하고 들깨가루넣으니 찐 맛집!,"['음식이 맛있어요', '양이 많아요', '인테리어가 멋져요', '매장이 넓어요', '혼밥하기 좋아요']"
금호순대돼지국밥전문점,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",3번째 방문,"항상 다른국밥집보다 뜨끈하게 나와서
입천정을 데이지만 국밥의 묘미는 뜨끈함 아니겠어요~~^^","['재료가 신선해요', '양이 많아요', '매장이 넓어요', '음식이 빨리 나와요', nan]"
금호순대돼지국밥전문점,"행복한미친소
리뷰 135사진 206팔로워 16","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"아 수육백반 가성비 좋고
잡내없고
이야! 맛있어요
노포같던데
깔끔하고 친절합니다
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '친절해요', nan]"
금호순대돼지국밥전문점,"ih****
리뷰 1,792사진 208팔로워 50","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,굿 친절합니다,"['친절해요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"쫌매이
리뷰 1,913사진 465팔로워 23","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,비교적 가격도 싸고 맛도 좋은 국밥집이네요. 보쌈이 촉촉하고 야들한 게 맛있습니다.,"['음식이 맛있어요', '혼밥하기 좋아요', '친절해요', nan, nan]"
금호순대돼지국밥전문점,"rap****
리뷰 990사진 203팔로워 1","['점심에 방문', nan, nan, nan, nan]",9번째 방문,,"['혼밥하기 좋아요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"rap****
리뷰 990사진 203팔로워 1","['점심에 방문', nan, nan, nan, nan]",8번째 방문,좋아요!,"['혼밥하기 좋아요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",4번째 방문,순대국밥 맛있어요~~,"['음식이 맛있어요', '양이 많아요', '매장이 넓어요', '혼밥하기 좋아요', '음식이 빨리 나와요']"
금호순대돼지국밥전문점,"석스냅
리뷰 129사진 252팔로워 4","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"순대국밥 맛있습니다!!!
넓고 혼밥하기도 좋습니다!!

다음엔 내장국밥이랑 돼지국밥도 먹으러!!
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '혼밥하기 좋아요']"
금호순대돼지국밥전문점,"rap****
리뷰 990사진 203팔로워 1","['점심에 방문', nan, nan, nan, nan]",7번째 방문,맛있어요,"['혼밥하기 좋아요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"bo****
리뷰 916사진 82팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '친절해요', nan]"
금호순대돼지국밥전문점,"가오나시38
리뷰 1,353사진 630팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
금호순대돼지국밥전문점,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', '일상, 회식', nan]",3번째 방문,"점심으로 순대국밥 8천원이면 가성비 쩔죠~
8천원이라고 해도 맛은 절대 8천이상의 맛이랍니다~~","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '친절해요', '음식이 빨리 나와요']"
금호순대돼지국밥전문점,"유명부동산
리뷰 1,740사진 357팔로워 9","['점심에 방문', '바로 입장', '친목', '지인・동료', nan]",1번째 방문,금호순대 돼지국밥,"['음식이 맛있어요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상, 회식', nan]",2번째 방문,순대국밥 괜춘괜춘해요~~가격도 8천원이면 헤자스런 가격이쥬~~~,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '친절해요', '음식이 빨리 나와요']"
금호순대돼지국밥전문점,"말많은 먹리뷰
리뷰 541사진 364팔로워 23","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,걸죽하고 진한 국물 스타일. 다만 수육은 야들야들한 식감이 아니어서 좀 아쉽,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
금호순대돼지국밥전문점,"행동대장17
리뷰 149팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이, 부모님']",3번째 방문,좋아요 맛잇어요 국밥,"['음식이 맛있어요', '가성비가 좋아요', '친절해요', nan, nan]"
금호순대돼지국밥전문점,"쌀주머니
리뷰 351사진 180팔로워 23","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,맛있습니당ㅎㅎ,"['가성비가 좋아요', '친절해요', nan, nan, nan]"
금호순대돼지국밥전문점,"wou****
리뷰 1,925사진 106","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"이집옆에 신식 국밥집이 있는데 약간 오래된듯한 이곳을선택.
수백고기가 끝내줘요.
10점 딱 주셨는데 고기 크기가 커서 소주한잔먹기딱이네요.
국물도 걸죽하니 딱 저스타일이네요.
접기","['음식이 맛있어요', '재료가 신선해요', '친절해요', nan, nan]"
금호순대돼지국밥전문점,"sun****
리뷰 818","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,좋아요,"['가성비가 좋아요', nan, nan, nan, nan]"
금호순대돼지국밥전문점,"양양이와앙앙이
리뷰 378사진 1,104팔로워 13","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,급하게 먹는다고 사진이 없네요~ 오랜만에 가서 먹었어요~ 예전엔 일요일에는 휴무였었는데 일요일에도 먹을 수 있어 좋았어요,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
