STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
기타치는당나귀,"조은생각호야
리뷰 657사진 755팔로워 25테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"우왕! 가격도 착한데 무제한 반찬에 고기까지!
마지매 볶음밥에 부추 왕창넣고 직접 볶아주세요~
음식솜씨 좋으셔서 반찬도 다 맛있어요.
상추랑 김치도 많이 먹을수 있음! 가성비 갑입니다.
시설이 조금 올드해서 그렇지만 ㅎ 점심식사론 최고입니다~
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '매장이 넓어요', '단체모임 하기 좋아요']"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",6번째 방문,"오랜만에 감자탕으로 점심 해결!!!
감자탕에 우거지도 많이 들어있고 양많고 맛있어요","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '양이 많아요', '단체모임 하기 좋아요']"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",5번째 방문,오랜만에 방문했는데 여전히 친절하시고 음식이 맛있네요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '매장이 넓어요', '음식이 빨리 나와요']"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 후 이용', '바로 입장', '일상, 기념일, 회식', nan]",4번째 방문,"오랜만에 재방무해서 우삼겹볶음 으로~~
오랜만에 와도 변함없이 사장님 친절하시고 우삼겹볶음도 9천원이상의 맛이에요~~^^
오늘도 점심 한끼~잘~~먹었습니다~~
접기","['음식이 맛있어요', '가성비가 좋아요', '양이 많아요', '매장이 넓어요', '음식이 빨리 나와요']"
기타치는당나귀,"아침배짤
리뷰 276사진 813팔로워 26","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"차돌박이볶음 맛나네요.
그 옛날 시골에 가마솥뚜껑에다 직접 조리해주시는데 미리 예약하면 바로 먹을수있다니 다음엔 글케해야겠어요.감자탕도 있던데 다음메뉴는 감자탕으로 ㄱㄱ
반찬이 필요없긴한데 한식뷔페식으로 갖다먹게해놨고 볶음밥도 완존맛나게 해주셔서 배터지게 먹었슴다. 이렇게먹고 인당9천원..언빌리버블!! 가성비짱이쥬~?
연말모임도 하나봐요. 넓고 악기세팅도 되어있어요.
접기","['음식이 맛있어요', '매장이 넓어요', '단체모임 하기 좋아요', '친절해요', nan]"
기타치는당나귀,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', '예약 후 이용', '바로 입장', '친목, 일상, 회식', nan]",4번째 방문,"사무실 근처라서 점심메뉴로 자주 애용하는곳중 한곳이에요..미리 전화로 감자탕 주문하고 도착하니
미리 준비되어있어서 기다리지 않고 먹을수 있어서 좋았어요~~친절하게 반겨주시는 사장님이 기분을 좋게 만들어주시네요^^
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '양이 많아요', '매장이 넓어요']"
기타치는당나귀,"엡씨리아
리뷰 16사진 9","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"우삼겹볶음에 뷔페식 밥과 반찬에 1인당 9000원, 거기다 친절한 여사님들까지. 만족합니다.
식당 밖과 안이 완전 달라요!","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '컨셉이 독특해요', '친절해요']"
기타치는당나귀,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', '일상, 회식', nan]",5번째 방문,우삼겹볶음 9천원에 가성비 좋아요~~,"['음식이 맛있어요', '가성비가 좋아요', '양이 많아요', '매장이 넓어요', '음식이 빨리 나와요']"
기타치는당나귀,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상, 회식', nan]",3번째 방문,우삼겹볶음 양도 많고 맛있어요,"['재료가 신선해요', '양이 많아요', '주차하기 편해요', '오래 머무르기 좋아요', '음식이 빨리 나와요']"
기타치는당나귀,"봄날4877
리뷰 2,546","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,좋아요,"['음식이 맛있어요', '단체모임 하기 좋아요', nan, nan, nan]"
기타치는당나귀,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"점심부터 우삼겹볶음으로~ㅎㅎ 지나가는길에 어떤곳일까 궁금증이 생긴곳이였는데 ㅎㅎ 큰 솥뚜껑에 여자시장님이 직접 맛있게 볶아주시고 뷔페식으로 차려진곳에 반찬 가지고 와서 먹다가 밥도 볶아주세요~매장은 넓고 각종악기도 비치되어있어서 모임장소로도 이용이 가능한거 같더라구요..다음에는 미리 전화주시면 뼈해장국도 준비가능하시다 하니 도전~^^ 음식 맛도 괜찮아요(대신 다이어트는 실패라는 사실은 비~~밀이에요 ㅎㅎ)
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '매장이 넓어요', '친절해요', nan]"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상, 회식', nan]",3번째 방문,우삼겹볶음 맛있어요,"['음식이 맛있어요', '특별한 메뉴가 있어요', '양이 많아요', '음식이 빨리 나와요', nan]"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상, 회식', nan]",1번째 방문,"매장이 넓고 무대도 설치되어 특색있는 매장입니다
물론 음식도 맛있구요","['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '컨셉이 독특해요', '친절해요']"
기타치는당나귀,"하나로HaNaRo
리뷰 491사진 71팔로워 6","['점심에 방문', nan, nan, nan, nan]",1번째 방문,예전 당나귀 그 명성 그대로...,"['음식이 맛있어요', '메뉴 구성이 알차요', '특별한 메뉴가 있어요', '가성비가 좋아요', '친절해요']"
기타치는당나귀,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', nan, nan, nan, nan]",2번째 방문,"오늘은 점심부터 꼬기꼬기~~♡♡
볶아지면 밥이랑 조금 먹은후 볶음밥도 해서 먹으면 다이어트는 포기해야합니다~~ㅎㅎ","['음식이 맛있어요', '매장이 넓어요', '친절해요', nan, nan]"
기타치는당나귀,"라일락 향기777
리뷰 421사진 1,592팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상', nan]",2번째 방문,양이 많고 가성비 좋은 점심밥집이에요,"['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '양이 많아요', '컨셉이 독특해요']"
기타치는당나귀,"와아쿠와쿠
리뷰 401사진 202팔로워 13","['점심에 방문', '예약 후 이용', '바로 입장', '데이트', nan]",1번째 방문,냠냠 여기배터짐,"['음식이 맛있어요', '메뉴 구성이 알차요', '매장이 넓어요', '혼밥하기 좋아요', nan]"
기타치는당나귀,"te****
리뷰 354사진 17","['점심에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
기타치는당나귀,"사람이쥬
리뷰 794사진 186팔로워 2","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
