STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
낙곱화 본점,"도비이즈프리2
리뷰 23사진 37팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"안에 든 토핑들이 다 엄청 크고 맛있어요!! 당면 추가했는데도 둘이서 바닥까지 싹싹 긁어먹었어요 ㅎㅎ,, 사장님도 너무 친절하시고 반찬으로 나오는 물김치도 너뮤 맛있어서 계속 먹었어요!! 담에도 먹으러가겠습니다!!❤️❤️
접기","['친절해요', '음식이 맛있어요', '재료가 신선해요', '양이 많아요', '반찬이 잘 나와요']"
낙곱화 본점,"ash****
리뷰 10사진 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"낙곱새가 너무 땡겨서 동대구역 근처에서 찾아봤는데, 접근성이 좋고 맛있어보여서 방문했어요! 사장님이 정말 친절하셨고 매장이 깔끔해서 만족했어요. 낙곱새랑 소주 한 병을 시키고 그 맛을 보았는데, 와.. 너무 감동했습니다. 입 짧은 여자친구와 남김없이 모조리 먹어치우고 볶음밥까지 볶아서 싹싹 긁어먹었어요. 나중에 배달로도 시켜 먹어보고 싶어요. 많이 파세요 !
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '친절해요', '매장이 청결해요']"
낙곱화 본점,"가랑코에58
리뷰 29사진 50","['점심에 방문', '예약 후 이용', '10분 이내', '일상', '지인・동료']",1번째 방문,"낙곱새는 처음 먹어보는데 얼큰하고 맛있었어요
예약을 해놔서 셋팅이 되어 있었구요 끓은데 시간이 좀 걸려서 담 예약때는 불도 미리 켜놓으시라고 부탁드려야겠어요 배가불러서 볶음밥은 한숟가락만 먹었는데
너무 맛있었어요 잘먹었습니다
접기","['음식이 맛있어요', '차분한 분위기에요', '대화하기 좋아요', nan, nan]"
낙곱화 본점,"Ji2485
리뷰 14사진 37","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"배달로 시켜먹고 맛있어서 방문했어요
양념이 맛있어요
짜지않고 자극적이지않고 딱 적당해요~
노래 맛집 입니다 ㅋㅋ
사장님께서 굉장히 친절 하십니다👍👍
점심엔 공기밥 서비스라고 합니다~
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '음악이 좋아요', nan]"
낙곱화 본점,"소나무7689
리뷰 29사진 61","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"지나가다가 간판보고 왔어요~
곱창 낙지를 좋아해서 처음으로 가 봤어요
매장이 깨끗하고 음식도 맛있어요~
사장님 친절하시고 좋아요~~

화장실은 조금 청결하지 않아요~
접기","['음식이 맛있어요', '가성비가 좋아요', '인테리어가 멋져요', nan, nan]"
낙곱화 본점,"백탄산
리뷰 13사진 26팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"낙곱새 맛있다고 추천받아서 저녁에 퇴근하고 왔읍니다,,,
역시나 소문대로 곱창도 통통하고 낙지도 큼지막하고 새우도 실하고 아주 좋읍니다,,, 당면은 꼭 추가해서 드시길 바랍니다,,, 다 먹고 볶음밥은 기본 중 기본입니다,,, 메모하십시오,,, 나중에는 낙갈새나 낙우새를 먹어보겠읍니다,,, 마딛게 잘 먹고 갑니다,,,
접기","['음식이 맛있어요', '메뉴 구성이 알차요', '기본 안주가 좋아요', '인테리어가 멋져요', '매장이 넓어요']"
낙곱화 본점,"nam****
리뷰 63사진 64","['점심에 방문', '예약 후 이용', '바로 입장', '일상', '지인・동료']",3번째 방문,사장님도 친절하시고 음식맛도 좋아요 🫶🥰,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '친절해요']"
낙곱화 본점,"장민선92
리뷰 32사진 23","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"너무너무 맛있어요!!
사장님도 넘 친절하시구 좋았습니다 ㅎㅎ
덕분에 맛있는 식사했어요!!
꼭 오래오래 맛있는 식사 팔아주셨으면 좋겠습니당 :)
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '친절해요', '매장이 청결해요']"
낙곱화 본점,"tae****
리뷰 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"처음 와본 낙곱화 왜 인기있는 식당인지 처음 먹어보고 알게 되었습니다
주문한 낙곱새를 보글보글 끊이고 있는데도 배달 주문이 많이 들어오네요 분위기가 좋고 매장이 청결해서 자주 와서 먹고싶네요
친절하신 이모님께도 감사드립니다^^
접기","['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', '단체모임 하기 좋아요', '친절해요']"
낙곱화 본점,"easyahn
리뷰 622사진 838팔로워 31","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,낙곱새가 낙곱새지 하고 갔는데 너무 맛있아서 포장까지 해왔어요 최고!!!!!,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '반찬이 잘 나와요', '친절해요']"
