STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
닭동가리 동대구역점,"allofmylifeeee
리뷰 936사진 738팔로워 34","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",2번째 방문,"2차로 가기도 했고 날이 너무 추워 오뎅탕 시켰는데 짱맛있어요..!! 국물도 맛나고 오뎅이랑 떡도 맛있고.. 👍🏻
음악이 다소 커서 조금 시끄럽긴 했는데 그래도 북적북적 분위기에 즐거웠네요
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
닭동가리 동대구역점,"쩡이졍이
리뷰 1,369사진 467팔로워 46","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"맛있어요~~~ 국물 닭발은 매운맛으로 드시는게 좋아요~~! 불향 보다는 살짝 고추장 떡볶이 소스 맛??? 느낌이 나요. 치킨에 맥주까지 먹으니 짱맛이었고 두리서 먹으니 배가 터질뻔하였읍니다😊
접기","['음식이 맛있어요', '메뉴 구성이 알차요', nan, nan, nan]"
닭동가리 동대구역점,"미소가득루나
리뷰 1,003사진 2,215팔로워 1","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트, 일상', nan]",1번째 방문,"닭동가리에서 닭발이랑 후라이드 치킨이랑 술한잔~ㅋ
분위기 좋고 안주 또한 좋았어요^^","['음식이 맛있어요', '친절해요', nan, nan, nan]"
닭동가리 동대구역점,"홍탐정 먹탐방
리뷰 2,378사진 23,889팔로워 934테마 4","['저녁에 방문', '예약 없이 이용', '바로 입장', '회식', '지인・동료']",1번째 방문,"[내돈내산 솔직리뷰😀]
동대구역 주변사는 지인이 극찬을 해서 방문했어요🥹
우선 가격이 낮은 편은 아닙니다! 하지만 안주 퀄리티 보면 이 가격 받아도 되나? 싶을 정도로 전문점 맛이에요
세트메뉴로 시키면 가성비도 괜찮았어요🩷🍖
치킨은 프렌차이즈보다는 통닭치킨에 가까워서 담백하니 맛있었어요!🥰
튀김종류가 특히 겉바속촉이 엄청나서 다들 감탄하면서 먹었어요~ 특히 게살튀김 먹고 지금까지 먹었던 게살튀김은 다 가짜였구나.. 깨달았습니다🥹
또 사장님도 항상 웃으시고 친절하게 대해주셔서 좋았습니다😭
특히 미숫가루, 팥빙수🍧 특색있었는데 각각 6,000원인데 꼭 드세요!!!😁👍🏻 안 먹으면 후회할 맛입니다. 제발 제발 제발 꼭 드세요!!
우동도 얼큰하니 우동면 쫀득하니 좋았고 흠잡을 곳이 없는 실패 없는 맛집이에요🥘
접기","['기본 안주가 좋아요', '술이 다양해요', '인테리어가 멋져요', '음악이 좋아요', '대화하기 좋아요']"
닭동가리 동대구역점,"까리7926
리뷰 176사진 275팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"지인들과 편안히 먹기 참 좋아요~~ 마늘통닭이랑 오돌갈비, 오뎅주전자 먹었는데.. 사진을 않찍었네요ㅠㅠ
담엔 사진 까지 올려드릴께요~~😁","['가성비가 좋아요', '메뉴 구성이 알차요', '양이 많아요', '친절해요', nan]"
닭동가리 동대구역점,"빵순이빵킬러 빵빵
리뷰 799사진 559팔로워 12테마 1","['저녁에 방문', '예약 없이 이용', '10분 이내', '친목', nan]",1번째 방문,ㅁ마싯는거 망늠,"['음식이 맛있어요', '기본 안주가 좋아요', '술이 다양해요', '특별한 메뉴가 있어요', nan]"
닭동가리 동대구역점,"조은생각호야
리뷰 657사진 755팔로워 25테마 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"분위기는 좋아요 화장실도 깨끗합니다
다만 문열어놨는데 길가에 담배피는 사람이 넘 많아서
담배연기가 계속 들어와서 싫었어요 ㅠ","['기본 안주가 좋아요', '가성비가 좋아요', '대화하기 좋아요', nan, nan]"
닭동가리 동대구역점,"sn****
리뷰 248사진 276","['밤에 방문', '예약 없이 이용', '바로 입장', '친목, 일상', nan]",1번째 방문,"치킨에 소주한잔 먹고싶으면 여기와야겠어요
손님많은 이유가 있는듯..맛있어요!","['음식이 맛있어요', '메뉴 구성이 알차요', '음악이 좋아요', '단체모임 하기 좋아요', '매장이 넓어요']"
닭동가리 동대구역점,"allofmylifeeee
리뷰 936사진 738팔로워 34","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"수성못에서 너무 맛있게 먹었는데 동대구역에도 생겨서 너무 좋아요! 순살 시켰는데 뻑살 아닌 촉촉살 😚
후라이드 바삭바삭 맛있었어요 양념은 생각보다 슴슴해서 조금 아쉬웠네요 시끌벅적 분위기에 술 즐겁게 잘 마셨어요
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
닭동가리 동대구역점,"pye****
리뷰 78사진 98","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"금방 튀긴 바삭한 치킨과 매콤한떡볶이의 조합은 굿!
매울땐 팥빙수로 달래주고 세트메뉴 좋아요
동네 맛집이에요! 특히 마늘 통닭이 매콤하니 맛있었어요👍
접기","['음식이 맛있어요', '술이 다양해요', '음악이 좋아요', '친절해요', nan]"
닭동가리 동대구역점,"늄곰돌
리뷰 415사진 538팔로워 15테마 26","['아침에 방문', '예약 없이 이용', '바로 입장', '친목', '연인・배우자, 친구']",1번째 방문,"안주가 다 맛있어요ㅎㅎ
친절하고 화장실도 깨끗해서
재방문의사 100프로입니다","['음식이 맛있어요', '기본 안주가 좋아요', '친절해요', '화장실이 깨끗해요', nan]"
닭동가리 동대구역점,"Ugly Ddong
리뷰 827사진 887","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,깨끗하고조아용,"['술이 다양해요', '가성비가 좋아요', nan, nan, nan]"
닭동가리 동대구역점,"23년부터
리뷰 829사진 155","['저녁에 방문', '예약 없이 이용', '바로 입장', '여행', '지인・동료']",1번째 방문,잘먹었습니다,"['음식이 맛있어요', '기본 안주가 좋아요', '대화하기 좋아요', '친절해요', nan]"
닭동가리 동대구역점,"거지곰
리뷰 467사진 575팔로워 3","['점심에 방문', nan, nan, nan, nan]",1번째 방문,치킨맛잇음,"['기본 안주가 좋아요', '특별한 메뉴가 있어요', nan, nan, nan]"
닭동가리 동대구역점,"Ugly Ddong
리뷰 827사진 887","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",2번째 방문,마싰어용,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
닭동가리 동대구역점,"wjd****
리뷰 68사진 72","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구, 지인・동료']",1번째 방문,,"['음식이 맛있어요', '인테리어가 멋져요', nan, nan, nan]"
닭동가리 동대구역점,"씨에스54
리뷰 955사진 321","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,친절해요,"['음식이 맛있어요', nan, nan, nan, nan]"
닭동가리 동대구역점,"지떠닝
리뷰 118사진 149","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,치킨ㄴ얀얌 굿!,"['음식이 맛있어요', '기본 안주가 좋아요', nan, nan, nan]"
