STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
대석대구찜닭 신천점,"뿜뿜4473
리뷰 1,791사진 1,231팔로워 31","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,넘 맛있어요~^^닭도리탕 먹었는데 밥 추가해서 국물까지 다 먹고왔네용.또 가야겠어용,"['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요', '친절해요']"
대석대구찜닭 신천점,"세우보끔밥
리뷰 676사진 485","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,찜닭러버로서 인정하는 곳입니다•• 존맛이에요! 개인적인 취향으로는 간장찜닭이 좀 더 맛있습니당 ㅎㅎ,"['음식이 맛있어요', nan, nan, nan, nan]"
대석대구찜닭 신천점,"날고싶은카이
리뷰 1,951사진 756","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",3번째 방문,오랜만에 찜닭 먹었어요. 여전히 맛있네요,"['음식이 맛있어요', nan, nan, nan, nan]"
대석대구찜닭 신천점,"kk****
리뷰 1사진 2","['점심에 방문', '예약 후 이용', '바로 입장', '친목', '친구']",1번째 방문,주차가 어려워요..맛은 굉장이 맛잇어요 도리탕생각 날때. 또와야 될것같아요,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '인테리어가 멋져요', '매장이 넓어요']"
대석대구찜닭 신천점,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",7번째 방문,납작만두 추가해서 찜닭이랑 먹으면 진짜 맛있어요,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
대석대구찜닭 신천점,"ㅁ쩝쩝박사
리뷰 1,025사진 904","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"밥양이 생각보다 적었오요
그래도 4시에 다들 브레이크인데
이 식당은브레이크타임이 없어서 먹을수있었어요!","['인테리어가 멋져요', '매장이 넓어요', '혼밥하기 좋아요', '음식이 맛있어요', nan]"
대석대구찜닭 신천점,"Hgeeyo
리뷰 12사진 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상, 가족모임', nan]",1번째 방문,"정말 찜닭은 여기 아니면 안먹습니다
안동, 야채 둘 다 엄청 맛있습니다
서울 사는데 여기 찜닭 먹고 나서는 서울에서 찜닭 못먹어요
진짜 대구 내려올 때마다 먹는 것 같아요
사장님 대박나세요
접기","['음식이 맛있어요', '친절해요', nan, nan, nan]"
대석대구찜닭 신천점,"cmi****
리뷰 1","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,맛잇어요,"['음식이 맛있어요', '고기 질이 좋아요', '인테리어가 멋져요', '매장이 넓어요', '친절해요']"
대석대구찜닭 신천점,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",6번째 방문,"찜닭, 닭도리탕 여기 음식들 다 존맛입니당 ㅎㅎ 야외 테이블도 있어서 좋아요 !!!","['음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
대석대구찜닭 신천점,"opo****
리뷰 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,맛있네요,"['음식이 맛있어요', '고기 질이 좋아요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
대석대구찜닭 신천점,"쩡202
리뷰 963사진 5","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
대석대구찜닭 신천점,"세우보끔밥
리뷰 676사진 485","['점심에 방문', nan, nan, nan, nan]",1번째 방문,찜닭도 맛있는데 피자도 정말 맛있어요! ㅎㅎ,"['음식이 맛있어요', '친절해요', nan, nan, nan]"
