STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
더짬뽕47,"ong****
리뷰 16사진 31","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"해장하려고 방문했습니다! 국물이 정말 진하고 맛있어요 🥹 짬뽕 해장으로 딱이에요.. 탕수육도 튀김옷이 정말 부드럽고 안아파요(?) 튀긴거 잘 못먹는데 여긴 진짜 맛있네요 👍🏻 집 근처라 자주 방문하러 올 것 같아요! 최고~~
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '메뉴 구성이 알차요']"
더짬뽕47,"빛날희ㅎ
리뷰 413사진 250","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이, 부모님']",4번째 방문,벌써 몇번째 방문인지... 집 근처에 맛있는 중국집이 있어서 좋아요! 재료 신선해서 건강하게 먹을 수 있습니다👍🏻,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '친절해요', '음식이 빨리 나와요']"
더짬뽕47,"mj90
리뷰 214사진 35","['점심에 방문', '예약 없이 이용', '10분 이내', '연인・배우자', nan]",1번째 방문,"점심시간에 와서 사람이 많았는데 그만큼 회전율도 빨랐어요! 짜장면 쫄깃하고 맛있고, 짬뽕은 꼭 시키세요! 엄청 푸짐하고 매콤하고 맛있어요👍👍 매장 분위기도 깔끔하고 좋아요~~
접기","['음식이 맛있어요', '양이 많아요', '인테리어가 멋져요', '매장이 청결해요', nan]"
더짬뽕47,"9wool빵
리뷰 26사진 43","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님']",4번째 방문,집 앞에 있어서 가끔 오는데 항상 맛있게 잘 먹고 있습니다~!! 맛있게 잘 먹고 갑니다~!,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '인테리어가 멋져요', '매장이 넓어요']"
더짬뽕47,"유쾌한딸래미
리뷰 38사진 30","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '연인・배우자']",1번째 방문,"깔끔하고 맛있어요!
바람부는 날 뜨끈한 짬뽕 최고네요!
친절하고 맛있어서 또 오고 싶어요","['음식이 맛있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요', nan]"
더짬뽕47,"치즈애용이
리뷰 16사진 38","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"회사 근처라 처음 와봤는데 점심시간마다 사람들이 많은 이유를 알겠더라고요ㅎㅎ
엄청 깔끔하고 넘 맛있게 먹었어요!
혼밥하기에도 좋고 분위기 완전 굳굳!
접기","['음식이 맛있어요', '인테리어가 멋져요', '매장이 넓어요', '친절해요', '매장이 청결해요']"
더짬뽕47,"무가울면무뚝뚝
리뷰 110사진 62","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님']",1번째 방문,"탕수육 짬봉 추천받고왔는데 추천받은만큼 맛있네요
탕수육 갓나와서 바로먹으니 바삭하고 완전맛있어요
짬뽕 양많아서 깜짝놀랐어요ㅎㅎ
너무맛있어서 깔끔하게 다먹었습니다 굳굳 추천합니다
또올게용 :)
접기","['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '매장이 넓어요', '매장이 청결해요']"
더짬뽕47,"빛날희ㅎ
리뷰 413사진 250","['저녁에 방문', '포장·배달 이용', '10분 이내', '일상', nan]",3번째 방문,포장해왔는데도 맛있어요!,"['음식이 맛있어요', nan, nan, nan, nan]"
더짬뽕47,"콩콩콩5098
리뷰 33사진 28","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",3번째 방문,집 앞에 있어서 자주 오는데 양 엄청 많고 맛있고 직원분들고 친절해요 :),"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
더짬뽕47,"담화린02
리뷰 1,233사진 332","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",2번째 방문,인테리어 깔끔하고 식사가 넘넘 맛잇어용ㅎㅎ 맛잇게 잘 먹고 갑니다~ 번창하세요👍👍,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '친절해요']"
