STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
동성로 김치찜,"나요킴
리뷰 447사진 559팔로워 19","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,최고입니다 배부르고 너무 좋아요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
동성로 김치찜,"hmgm
리뷰 1,082사진 839팔로워 34","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"김치찜이랑 찌개 넘 맛있어요 !!
사장님도 완전 친절하시구용","['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",1번째 방문,김치찜이랑 김치찌개 둘다 존맛 ㅎㅎ 계란은 애기꺼라 저희가 가져간거에요😅 엄청 묵은지는 아닌데 맛납니다!,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
동성로 김치찜,"용용이9999
리뷰 66사진 14팔로워 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,찌개 맛있어요,"['음식이 맛있어요', '양이 많아요', '매장이 넓어요', '혼밥하기 좋아요', '친절해요']"
동성로 김치찜,"이쫀득
리뷰 935사진 262","['저녁에 방문', nan, nan, nan, nan]",30번째 방문,김치찜 항상 배달로 바쁜 가게 사람도 꾸준함,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"br0120
리뷰 277사진 201팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"지나가면서 저기 가봐야지~ 하다가 드디어 가봤는데 너무 맛있었어요!
늦은 시간에 가서 그런지 주차할때도 넉넉했어요~","['매장이 넓어요', '음식이 맛있어요', nan, nan, nan]"
동성로 김치찜,"하늘향기31
리뷰 878사진 1,065팔로워 40","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,친구랑 같이 맛있게 먹었습니다.,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '매장이 청결해요', nan]"
동성로 김치찜,"박대박굿
리뷰 464사진 1,840팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",3번째 방문,늘 실패없이 맛있어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
동성로 김치찜,"취미는맛집탐험
리뷰 158사진 145팔로워 6","['저녁에 방문', '포장·배달 이용', '바로 입장', '일상', '혼자']",1번째 방문,"너어무 맛있어요 포장했는데 양도 많고
고기가 너무 부드럽고 맛있어요 ㅎㄹ
다음엔 김치찌개 사러갈게요","['주차하기 편해요', '음식이 맛있어요', '재료가 신선해요', '양이 많아요', '매장이 넓어요']"
동성로 김치찜,"accent740044
리뷰 1,327사진 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",3번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"아앙이52
리뷰 177사진 25","['점심에 방문', nan, nan, nan, nan]",2번째 방문,"여기 사장님 완전 친절하심
음식도 맛있고 가게가 청결함
반찬으로 나오는 김도 맛있음","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
동성로 김치찜,"gre****
리뷰 739사진 30","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",4번째 방문,김치찜 최고~~,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"Scgkka05
리뷰 602사진 1","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', nan]",1번째 방문,좋아요,"['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요', nan]"
동성로 김치찜,"sky****
리뷰 938사진 184","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,ㅇㅇ,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"냐냐냐오오옹
리뷰 1,419사진 707","['점심에 방문', '포장·배달 이용', '바로 입장', '일상', '기타']",6번째 방문,맛있어요~ 김치찜 맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"박대박굿
리뷰 464사진 1,840팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",2번째 방문,"진짜 푸짐하고 양많고 맛있어요
한끼 식사로 정말 강추합니다~~","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', nan]"
동성로 김치찜,"단골입니다
리뷰 894사진 1,363팔로워 72테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"점심시간에 가면 직장인들이 많아서 빈자리가 금방 사라져요.
김치찜의 김치가 푹익은 묵은지는 아닌 것 같아요.
김치찌개 속 돼지고기는 신선해요.
식당 앞에 주차장 있어요.
접기","['재료가 신선해요', '매장이 넓어요', '친절해요', nan, nan]"
동성로 김치찜,"나참니나자래
리뷰 416사진 189","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,맛나요,"['음식이 맛있어요', nan, nan, nan, nan]"
동성로 김치찜,"끼유기좋아
리뷰 341사진 1,346팔로워 19","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"추운날 생각이 나서 들렀어요 점심시간이라
홀안에 사람이 많았어요 김치찜과 김치찌개 빨리
나오고 맛있어요 주차공간도 나름 넉넉해서 맛있게 먹고
왔어요
접기","['특별한 메뉴가 있어요', '주차하기 편해요', '음식이 빨리 나와요', nan, nan]"
동성로 김치찜,"토비2467
리뷰 103사진 277팔로워 9","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,진짜 최고의 김치찜 ㅠㅠ 잘 못하는 김치찜 집 가면 고기가 질기고 퍼석한데 동성로김치찜은 항살 부드럽고 라면사리도 무제한이라서 행복해요,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
