STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
둥지톳밥,"안냐아
리뷰 1,401사진 230","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,반찬도 정갈하고 너무 맛있게 잘 먹었어요,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
둥지톳밥,"baedory67
리뷰 2,799사진 1,061팔로워 51","['점심에 방문', '예약 없이 이용', '1시간 이상', '일상', nan]",1번째 방문,톳밥정식 좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
둥지톳밥,"Moonita
리뷰 202사진 616팔로워 50","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"알만한 사람들 다 아는 맛집입니다.
모든 반찬들이 정갈하고 맛있습니다.
식당도 넓고 분위기도 좋아요-!
일하시는 분들 모두 친절하시고요.
싹싹 긁어먹었습니다 ! 감사합니다 :)
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', nan, nan]"
둥지톳밥,"mh****
리뷰 2,419사진 183팔로워 3","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
둥지톳밥,"prettyrice
리뷰 448사진 666팔로워 20","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,오랜만에 밥먹으러 갔어요 한결같은맛 좋아요,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
둥지톳밥,"아보하
리뷰 1,437사진 2,879팔로워 58","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",2번째 방문,"이런 밥 집 음써요
반찬 싹쓸이 ㅋㅋ
최애 밥집중에 듭니다
다들 꼭 드셔보세요
밥 양도 많아요
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', nan]"
둥지톳밥,"행복합니다84
리뷰 799사진 13팔로워 12","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"사람마다 입맛이 다르겠지만 톳밥에 찰밥인척.기름범벅에.김치하나안나오다니.먹고 속이 나쁘고.지하커피숖을 이용한장소라서인지.곰팡이 내가..밥먹는동안 찝찝
더보기","[nan, nan, nan, nan, nan]"
둥지톳밥,"비상3892
리뷰 750사진 20","['점심에 방문', nan, nan, nan, nan]",1번째 방문,,"['음식이 맛있어요', nan, nan, nan, nan]"
둥지톳밥,"카르멘54
리뷰 106사진 312팔로워 16","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"반찬이 너무 정갈하네요.
별거 아닌 반찬 종류같은데 뭔가 다른 정갈함과 감칠맛과 고급스러운 맛이 있어요.
미삼무침, 궁채, 명태껍질, 연근.. 평소에 그닥 즐기지 않고 손 안가는 반찬인데 참 맛있게 먹었습니다.
별거아닌 나물반찬이 특별할수도 있네요.
잘 먹었습니다.
접기","['특별한 메뉴가 있어요', '음식이 맛있어요', '재료가 신선해요', '음식이 빨리 나와요', '컨셉이 독특해요']"
둥지톳밥,"아보하
리뷰 1,437사진 2,879팔로워 58","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"예약은 필수
11:30 오픈
일찍 가면 기다리지않고 식사 바로나옴
다들 소개시켜주면 꼬리에 꼬리 물고 사람들을 델고 오드라구요
맛있는 밥 !!!찐 집입니다
반찬들이 하나같이 맛있어서 싹 싹 ~~
비워져서 위생상으로도 좋겠죠
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', '단체모임 하기 좋아요']"
둥지톳밥,"라쿤84
리뷰 838사진 610","['점심에 방문', '예약 없이 이용', '바로 입장', '여행', '친구']",1번째 방문,푸짐하게 잘 먹었어요,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '매장이 넓어요', '친절해요']"
둥지톳밥,"감사하죠
리뷰 1,006사진 619","['점심에 방문', '예약 후 이용', '바로 입장', '친목', '친구']",1번째 방문,맛있고 건강한 맛이예요. 예약되어서 좋아요.,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요']"
둥지톳밥,"myy****
리뷰 738사진 33","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,굿,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
둥지톳밥,"도경훈
리뷰 963사진 1,580","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"톳밥정식 (12,000) ㅡ 맛있고 풍성합니다","['양이 많아요', '재료가 신선해요', '음식이 맛있어요', '친절해요', '매장이 청결해요']"
둥지톳밥,"기분좋은날편
리뷰 256사진 765팔로워 13","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"톳밥이란 단일메뉴지만 반찬도 깔끔하고 맛이 좋아서 언제나 만족하고 있습니다. 기회가 된다면 하루전 수육을 꼭 한번 예약해서 드셔보시길 추천합니다. 오늘도 허겁지겁 먹기바빠 사진을 못남겼네요. ^^
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요', '주차하기 편해요']"
둥지톳밥,"망고링고링
리뷰 185사진 484","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"꼬들하거나 질기지않고 고소하니 깔끔한 한정식느낌입니다. 엄마랑 같이가서 밥먹었는데 넘 맛있게 속 깔끔하게 먹었어요ㅎㅎㅎ된장찌개도 맛있고!!! 집근처라 또 가려구요~!
접기","['매장이 넓어요', '인테리어가 멋져요', '재료가 신선해요', '친절해요', nan]"
둥지톳밥,"조아라7
리뷰 112사진 262","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"깔끔한 한정식이 먹고싶어서 찾아보다가 알게된 맛집!! 반찬이 하나하나 정성스러운 느낌이 가득해서 대접 받는 느낌이 가득 들었어요. 간이 짜지도 않고 딱 맞아서 정말 맛있게 먹었네요 :D
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '단체모임 하기 좋아요']"
둥지톳밥,"최집사43
리뷰 15사진 48팔로워 17","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"당일 장본재료로 만든 음식이라서 그런지 신선하고 맛있었어요. 톳밥에 윤기가 자르르르 김가루, 양념넣고 갖가지 나물넣어 비벼먹으면 정말 맛있어요. 재방문의사 100% 신천동 찐맛집 인정^^
접기","['재료가 신선해요', '음식이 맛있어요', '혼밥하기 좋아요', nan, nan]"
둥지톳밥,"백돌이아저씨
리뷰 1,534사진 3,006팔로워 94","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"보약 먹은 듯한 한정식...톳밥 너무 맛있네요. 1만원이라니...대박이고 짜지않아 딱 좋았어요, 간이","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
둥지톳밥,"ziinnn
리뷰 25사진 49","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"반찬이 다양해서 좋았던 곳입니다!
가자미조림과 양념게장도 너무 맛있었어요","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '친절해요', nan]"
둥지톳밥,"그리고아름
리뷰 911사진 998팔로워 135테마 5","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"안 그래도 기대를 하고 갔는데, 기대 이상으로 더 맛있었어요. 반찬 하나하나가 다 정성으로 만들어진 듯 맛있었습니다. 모든 게 다 제 취향이었어요ㅠㅠㅠ 잘 먹고 갑니다.
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '매장이 넓어요', '친절해요']"
둥지톳밥,"선자이18
리뷰 83사진 176팔로워 10","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"범어역에서 만원으로 푸짐한 한끼를 먹을 수 있어 좋았어요.

재료가 너무 신선하고 맛있어요!
접기","['친절해요', '음식이 맛있어요', '가성비가 좋아요', '재료가 신선해요', nan]"
둥지톳밥,"홍태리
리뷰 819사진 81팔로워 26","['점심에 방문', nan, nan, nan, nan]",2번째 방문,맛있어용! 건강해,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요', nan]"
둥지톳밥,"홍태리
리뷰 819사진 81팔로워 26","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있는 톳밥,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', '친절해요']"
둥지톳밥,"ton****
리뷰 132사진 11","['점심에 방문', nan, nan, nan, nan]",2번째 방문,건강해지는 맛:):),"['친절해요', '음식이 맛있어요', nan, nan, nan]"
둥지톳밥,"cof****
리뷰 1,357사진 21","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
둥지톳밥,"wit****
리뷰 324사진 35","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요 게장이랑 반찬 다 맛있어요~~,"[nan, nan, nan, nan, nan]"
둥지톳밥,"권수진33
리뷰 47사진 57팔로워 1","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"건강하고 저렴한 한정식을 맛볼 수 있는곳이에요.
인당 1만원이길래 별기대 없었는데,
진짜 심심하지도 자극적이지도 않은 건강하면서 맛있는 정식!
맛있게 먹고왔답니다! 가성비 갑!
추천해요!
더보기","[nan, nan, nan, nan, nan]"
둥지톳밥,"ton****
리뷰 132사진 11","['밤에 방문', nan, nan, nan, nan]",1번째 방문,맛있고 친절 하세요,"[nan, nan, nan, nan, nan]"
