STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
마라루 동대구역점,"미도20
리뷰 1,053사진 26팔로워 1","['저녁에 방문', nan, nan, nan, nan]",7번째 방문,배달이 빨라요,"['음식이 맛있어요', nan, nan, nan, nan]"
마라루 동대구역점,"미도20
리뷰 1,053사진 26팔로워 1","['저녁에 방문', nan, nan, nan, nan]",6번째 방문,배달이 빨라요,"['음식이 맛있어요', nan, nan, nan, nan]"
마라루 동대구역점,"미도20
리뷰 1,053사진 26팔로워 1","['저녁에 방문', nan, nan, nan, nan]",5번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
마라루 동대구역점,"미도20
리뷰 1,053사진 26팔로워 1","['저녁에 방문', nan, nan, nan, nan]",4번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
마라루 동대구역점,"헤라6116
리뷰 389사진 10","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,맛있고 서비스 고기 주셔서 잘 먹었어요,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"요미야미쏭
리뷰 217사진 5팔로워 7","['밤에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요. 기본재료도 다양해서 좋아요,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"ml5681
리뷰 1,358사진 82","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,방문,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"mhy****
리뷰 172","['저녁에 방문', nan, nan, nan, nan]",3번째 방문,맛있어요,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"mhy****
리뷰 172","['밤에 방문', nan, nan, nan, nan]",2번째 방문,맛있어요,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"Ssong31
리뷰 218사진 5","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,재 방문 의사 잇습니다,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"mhy****
리뷰 172","['밤에 방문', nan, nan, nan, nan]",1번째 방문,굿,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"cmc****
리뷰 368사진 6","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿굿,"[nan, nan, nan, nan, nan]"
마라루 동대구역점,"건후55
리뷰 659사진 52팔로워 1","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"[nan, nan, nan, nan, nan]"
