STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
만복이쭈꾸미낙지볶음 동대구점,"달빛 한 스푼 별빛 두 방울
리뷰 708사진 149팔로워 1","['점심에 방문', '예약 없이 이용', '30분 이내', '일상', '연인・배우자, 부모님']",3번째 방문,"먹어본 낙지, 쭈꾸미 볶음집 중 제일 마음에 들어요.
일단 부드러워서 좋고 불향도 좋습니다.
맵찔이라 보통맛만 먹었을 땐 매웠는데 순한맛이랑 보통맛으로 시키니 적당히 칼칼해 맛있게 잘 먹었습니다!
접기","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
만복이쭈꾸미낙지볶음 동대구점,"챙챙닝
리뷰 342사진 1,106팔로워 42","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', nan]",6번째 방문,"대구 쭈꾸미볶음 맛집 🔥🔥🐙
순한맛.보통맛.매운맛 정할수 있는데 보통맛이 신라면정도? 에요 그렇게 맵지는 않는 ㅎㅎ 쭈꾸미 가위로 몇번 자르고 큰그릇에 공기밥 흔들어 넣고 김가루랑 콩나물 비벼면으면 넘 맛있어요.. ‼️🤭😋 입맛 없을때 먹으면 잘 넘어가더라구요 〰️〰️
주차자리가 조금 빡세서 주차장만 좀 넓었으면 😭😂
접기","['매장이 넓어요', '친절해요', '음식이 맛있어요', '특별한 메뉴가 있어요', nan]"
만복이쭈꾸미낙지볶음 동대구점,"초코쿠키1
리뷰 168사진 236","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이, 친척・형제']",1번째 방문,"어른들은 철판볶음 보통맛, 아이들은 일반볶음 순한맛 주문했어요. 비빔그릇은 요청하면 더 주셨어요~ 쭈꾸미 통통하고 부드러워서 맛있게 먹었어요. 비빔그릇에 밥, 콩나물,쭈꾸미볶음, 김가루 팍팍 넣어서 비벼먹으면 꿀맛이에요.
접기","['매장이 넓어요', '음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요']"
만복이쭈꾸미낙지볶음 동대구점,"열정적인그녀그레이스
리뷰 491사진 1,713팔로워 8","['점심에 방문', '예약 없이 이용', '바로 입장', '여행', '친구, 지인・동료']",1번째 방문,"친구들과 대구여행갔다가 역근처라 방문했어요 새우튀김 진짜 바삭하니 맛있고 쭈꾸미도 적당히 매콤해서 맛있었어요~~매장이 청결하고 직원분들이 너무 친절해서 기분좋게 먹고 여행시작했어요
접기","['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', '단체모임 하기 좋아요', '친절해요']"
만복이쭈꾸미낙지볶음 동대구점,"켠수
리뷰 522사진 1,445팔로워 22","['점심에 방문', '예약 없이 이용', '10분 이내', '일상', nan]",1번째 방문,맵고마시듭니다 ㅠㅠㅠ 콩나물도 셀프무한리필이리 조아요,"['매장이 넓어요', '친절해요', '음식이 맛있어요', '양이 많아요', nan]"
만복이쭈꾸미낙지볶음 동대구점,"빵이주식
리뷰 1,674사진 266팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"식사 중인데 바로 옆에 테이블애서 젓가락 정리 한참하셔서 매장도 노래에 사람들때문레 시끄러운데 너무 시끄러워서 대화가 안될 정도였고 코로들어가는지 모를 ..
어디 들어가시거나 주방에서 하시는게 좋을 듯
맛은 있었어요 가성바 좋고 쭈꾸미도 많아요 친절 하셨습니다
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
만복이쭈꾸미낙지볶음 동대구점,"챙챙닝
리뷰 342사진 1,106팔로워 42","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', nan]",5번째 방문,"쭈꾸미볶음 대구 1티어 🔥🔥🙏🤩🤩
기본반찬으로 샐러드.국.콩나물.배추.무절임 나오고
공기밥은 별도로 주문하면 큰그릇 주시는데
김가루랑 쭈꾸미 가위로 자르고 섞어서 비벼먹으면 끝 !!
매장 크기에비해 주차자리가 협소해서 좀 아쉬워요 😂
접기","['친절해요', '음식이 빨리 나와요', '매장이 넓어요', '음식이 맛있어요', '특별한 메뉴가 있어요']"
만복이쭈꾸미낙지볶음 동대구점,"안녕유월
리뷰 1,308사진 5,651팔로워 66","['저녁에 방문', '예약 없이 이용', '30분 이내', '일상', '친척・형제']",1번째 방문,"동생이랑 급 저녁.
주꾸미 좋아해서~
가봄.주차가 조금 힘들었고
겨우 주차하고가니 대기5번.
근데 오래 기다리진 않았다
딱 저녁 시간때라서-

음식 빠르게 나오고^^

맛있다.
가격도 착함
접기","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '친절해요', nan]"
만복이쭈꾸미낙지볶음 동대구점,"ㅇ팔방미인ㅇ
리뷰 528사진 1,217","['저녁에 방문', '예약 없이 이용', '10분 이내', '일상', nan]",2번째 방문,"만복이쭈꾸미낙지볶음 동대구점~*

한결같이 맛있어요~!

별ㅡ5개.
접기","['음식이 맛있어요', '메뉴 구성이 알차요', '매장이 넓어요', '음식이 빨리 나와요', '매장이 청결해요']"
만복이쭈꾸미낙지볶음 동대구점,"82pulang
리뷰 128사진 221팔로워 2테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,매콤한 음식이 땡겨서 방문했습니다! 같이 시킨 새우튀김도 절대 실망하지않는 맛입니다,"['양이 많아요', '반찬이 잘 나와요', '메뉴 구성이 알차요', '매장이 넓어요', '단체모임 하기 좋아요']"
