STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
명옥이네닭,"리미찡32
리뷰 413사진 987","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"7천원가격 실화인가요???
오후2시까지 뷔페를 먹을 수 있는 명옥이네뷔페
종류가 다양해 푸짐하게 즐길 수 있었고
시간제한도 없어 한끼 식사로 최고 였네요!!
가성비대박 오랜만에 착한식당에서
먹은 느낌 입니다:)
접기","['음식이 맛있어요', '재료가 신선해요', '메뉴 구성이 알차요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
명옥이네닭,"3 269
리뷰 82사진 56","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"가야지하고 벼르다가 메뉴에 오징어볶음과 제육볶음이 같이 있는 걸 보고 혹해서 다녀왔어요
8천원에 이런 퀄리티라니 잘 먹었습니다 ;)","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '혼밥하기 좋아요', nan]"
명옥이네닭,"도도한걸18
리뷰 1,122사진 186팔로워 3","['점심에 방문', '예약 없이 이용', '바로 입장', '연인・배우자', nan]",1번째 방문,"종류는 많은편은 아니지만
맛나용 ㅋ","['가성비가 좋아요', nan, nan, nan, nan]"
명옥이네닭,"wanderings
리뷰 2,572사진 1,526","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', nan]",1번째 방문,요즘 웬만한 힌식 뷔페집들은 8천원인데 이곳은 7천원이라 더 가성비 좋습니다. 음식 맛도 자극적이지 않아 좋았습니다.,"['메뉴 구성이 알차요', '가성비가 좋아요', '친절해요', '주차하기 편해요', nan]"
명옥이네닭,"v한쌤수학v
리뷰 17사진 21팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",2번째 방문,좋아요 오늘은 떡볶이를 맛있게 잘 먹고 갑니다.,"['음식이 맛있어요', '재료가 신선해요', '메뉴 구성이 알차요', '매장이 넓어요', '친절해요']"
명옥이네닭,"v한쌤수학v
리뷰 17사진 21팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,아들이 자꾸 가자고 해요. 맛있게 먹고갑니다~^^,"['음식이 맛있어요', '가성비가 좋아요', '친절해요', '아이와 가기 좋아요', '음식이 빨리 나와요']"
명옥이네닭,"대한민국10041004
리뷰 315사진 425팔로워 3","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,"뷔페 7,000원
소문을듣고서 방문한
명옥이네닭 소문대로
메뉴종류도많고
깔끔하고 맛있어요
접기","['음식이 맛있어요', '메뉴 구성이 알차요', '가성비가 좋아요', '혼밥하기 좋아요', '친절해요']"
명옥이네닭,"바나나는빙그레
리뷰 2,322사진 457","['점심에 방문', nan, nan, nan, nan]",7번째 방문,음식이맛있어요,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"moo****
리뷰 320사진 237","['점심에 방문', nan, nan, nan, nan]",4번째 방문,친절하고맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"warm88
리뷰 25사진 57","['점심에 방문', '예약 후 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"재료 신선하고 한식뷔페 넘 좋았어요
가성비 맛집인데 점심식사로 추천드려요!!!
너무 맛있게 먹었습니당","['음식이 맛있어요', '재료가 신선해요', '메뉴 구성이 알차요', '가성비가 좋아요', '건강한 맛이에요']"
명옥이네닭,"전이얀
리뷰 1,622사진 515팔로워 16","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",7번째 방문,점심 맛집 반찬 맛있음,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",17번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"바나나는빙그레
리뷰 2,322사진 457","['점심에 방문', nan, nan, nan, nan]",6번째 방문,굿굿,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"rth422
리뷰 280","['점심에 방문', '예약 없이 이용', '10분 이내', '친목', nan]",1번째 방문,가성비가 좋아요ㆍ,"['음식이 맛있어요', '매장이 넓어요', '친절해요', nan, nan]"
명옥이네닭,"moo****
리뷰 320사진 237","['점심에 방문', nan, nan, nan, nan]",3번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"LDW01
리뷰 1,092사진 233","['점심에 방문', nan, nan, nan, nan]",4번째 방문,,"[nan, nan, nan, nan, nan]"
명옥이네닭,"LDW01
리뷰 1,092사진 233","['점심에 방문', nan, nan, nan, nan]",3번째 방문,.,"[nan, nan, nan, nan, nan]"
명옥이네닭,"LDW01
리뷰 1,092사진 233","['점심에 방문', nan, nan, nan, nan]",2번째 방문,.,"[nan, nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",16번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",15번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",14번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",13번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",12번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",11번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",10번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",9번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",8번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",7번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",6번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"전이얀
리뷰 1,622사진 515팔로워 16","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",6번째 방문,가성비 갑,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",5번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",4번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"배호
리뷰 2,760사진 131","['점심에 방문', '예약 없이 이용', nan, nan, nan]",1번째 방문,ᆢ,"['가성비가 좋아요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",3번째 방문,ㅇㅇ,"['매장이 넓어요', nan, nan, nan, nan]"
명옥이네닭,"바나나는빙그레
리뷰 2,322사진 457","['점심에 방문', nan, nan, nan, nan]",5번째 방문,메뉴구성도 매일 바뀌고 음식도 맛있어요,"['음식이 맛있어요', '메뉴 구성이 알차요', '친절해요', nan, nan]"
명옥이네닭,"하나로HaNaRo
리뷰 491사진 71팔로워 6","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구, 지인・동료, 혼자']",4번째 방문,,"['음식이 맛있어요', '메뉴 구성이 알차요', '가성비가 좋아요', '친절해요', '매장이 청결해요']"
명옥이네닭,"그레이스618
리뷰 966사진 33","['점심에 방문', '예약 없이 이용', '10분 이내', '나들이', nan]",1번째 방문,친절해요,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",2번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"코알라3680
리뷰 1,477","['점심에 방문', nan, nan, nan, nan]",1번째 방문,ㅇㅇ,"['친절해요', nan, nan, nan, nan]"
명옥이네닭,"바나나는빙그레
리뷰 2,322사진 457","['점심에 방문', nan, nan, nan, nan]",4번째 방문,친절하고음식이맛있어요,"['음식이 맛있어요', '친절해요', nan, nan, nan]"
명옥이네닭,"som****
리뷰 819사진 112","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,맛있는 집밥,"['음식이 맛있어요', '메뉴 구성이 알차요', '가성비가 좋아요', nan, nan]"
명옥이네닭,"잘나가는70
리뷰 592","['점심에 방문', nan, nan, nan, nan]",22번째 방문,네,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
명옥이네닭,"LDW01
리뷰 1,092사진 233","['점심에 방문', nan, nan, nan, nan]",1번째 방문,.,"[nan, nan, nan, nan, nan]"
명옥이네닭,"하나로HaNaRo
리뷰 491사진 71팔로워 6","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상, 회식', nan]",1번째 방문,최근 방문한 한식뷔페 중 단연 가성비 최고!,"['음식이 맛있어요', '메뉴 구성이 알차요', '가성비가 좋아요', '양이 많아요', '친절해요']"
명옥이네닭,"바나나는빙그레
리뷰 2,322사진 457","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"메뉴구성이다양하고음식이맛있어요!!!!
가성비매우좋습니당!!!!","['음식이 맛있어요', '메뉴 구성이 알차요', '가성비가 좋아요', nan, nan]"
명옥이네닭,"moo****
리뷰 320사진 237","['점심에 방문', nan, nan, nan, nan]",1번째 방문,음식이맛있고친절!,"['음식이 맛있어요', nan, nan, nan, nan]"
명옥이네닭,"YESNOPEYES
리뷰 1,144사진 188팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,가성비 좋아요!,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
