STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
바다이야기,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 친구, 아이, 친척・형제']",1번째 방문,여기 육회탕탕이 진짜 맛나요 ㅎㅎ 조개구이도 맛있는데 해산물이 개인적으로는 더 맛있었습니다!!!,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
바다이야기,"Or미
리뷰 947사진 923팔로워 1","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,🐡🐠🐟🦑🦞🦀🐙🦈,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"15JayJeong
리뷰 262사진 197","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,맛나유 ~,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '메뉴 구성이 알차요', '기본 안주가 좋아요']"
바다이야기,"Or미
리뷰 947사진 923팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",2번째 방문,👍,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"gigs6
리뷰 1,265사진 233팔로워 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,진짜 사장님 친절하세요 21년 전통가게라는 명성대로,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
바다이야기,"ccstory
리뷰 492사진 6,221팔로워 1","['저녁에 방문', '예약 후 이용', '바로 입장', '친목, 여행', nan]",1번째 방문,"지인들과 가족들과 신선한 해산물을 먹으러
동대구역 바다이야기에 다녀왔어요
토요일 늦은 저녁시간이라 손님들로 가득했고
저희가 주문한 해산물 모듬과 육회낙지탕탕이
모두 신선하고 맛도 정말 좋았습니다
미쳐 사진은 못 찍었지만 기본 스끼도 정말 잘 나와요
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '친절해요']"
바다이야기,"희야32
리뷰 764사진 444팔로워 24","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"싱싱하고 맛잇어요!!
지인들이랑 잘먹고 갑니다아~~","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', nan, nan]"
바다이야기,"be2ne2
리뷰 184사진 119팔로워 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목, 일상', nan]",1번째 방문,"수족관에서 직접 해물 꺼내서 손질해주시고 신선 그 잡채,,,👍 또 갈게요 최고!!❣️","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '메뉴 구성이 알차요', '친절해요']"
바다이야기,"교짱민짱
리뷰 1,911","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,ㅇ,"['친절해요', nan, nan, nan, nan]"
바다이야기,"쿠로밈
리뷰 971사진 1,522팔로워 147테마 7","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트, 일상', nan]",1번째 방문,산낙지 넘 맛있어요! 어른들 많고 조금 떠들썩한 분위기예요! 술이 잘 들어갑니다앙 ♥.♥,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"아이스마라탕
리뷰 535사진 407팔로워 21","['밤에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,2차로 좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"헤스11
리뷰 1,192사진 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,좋아요,"[nan, nan, nan, nan, nan]"
바다이야기,"sky****
리뷰 938사진 184","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,정 말 좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"alq****
리뷰 2,456사진 56팔로워 25","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,굿,"['재료가 신선해요', nan, nan, nan, nan]"
바다이야기,"까망돌2303
리뷰 570사진 724팔로워 43","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,조개 신선해서 맛있어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
바다이야기,"대박기원40
리뷰 900사진 2팔로워 6","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"bank20073
리뷰 1,681사진 2","['저녁에 방문', nan, nan, nan, nan]",3번째 방문,좋아요.,"['친절해요', nan, nan, nan, nan]"
바다이야기,"핑구7486
리뷰 1,496사진 486","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 친구, 지인・동료']",1번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '화장실이 깨끗해요', nan]"
바다이야기,"마음비우기
리뷰 323사진 110팔로워 8","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '연인・배우자']",1번째 방문,"쏘쏘 2차로갔는데
글쎄네요","['차분한 분위기에요', nan, nan, nan, nan]"
바다이야기,"까망돌2303
리뷰 570사진 724팔로워 43","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,조개탕 맛나요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
바다이야기,"어린귀
리뷰 89사진 79","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,낙지가 살아있는 육회탕탕이 추천!!,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '단체모임 하기 좋아요', nan]"
바다이야기,"지니65893
리뷰 103사진 36팔로워 1","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,육회탕탕이 맛있게 잘먹었었오요~,"['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', '친절해요', nan]"
바다이야기,"983****
리뷰 714사진 1","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,음식이 맛있고 양도 많아요,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
바다이야기,"탄밤9092
리뷰 24사진 19","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,신선하고 고소하고 맛있게 잘 먹었습니다~,"['음식이 맛있어요', '재료가 신선해요', '친절해요', nan, nan]"
바다이야기,"jjj****
리뷰 605","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"zec****
리뷰 912사진 9팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,굿,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
바다이야기,"lkskwq1
리뷰 766사진 7","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,👏🏻,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요', nan]"
바다이야기,"안농4815
리뷰 70사진 21","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,음식이 신선하고 깔끔하고 맛있어요 친절하고 가성비 만족해요 조개탕 구이 육회 해산물 다 먹어봤는데 다 맛있어요,"['음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
바다이야기,"wo****
리뷰 611사진 42","['저녁에 방문', nan, nan, nan, nan]",6번째 방문,음식이 맛있고 깔끔해요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
바다이야기,"iou****
리뷰 30사진 4","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요!! 음식이 전반적으로 신선해요~,"['양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요', '뷰가 좋아요', nan]"
바다이야기,"kone333131
리뷰 1,658사진 154","['저녁에 방문', '바로 입장', nan, nan, nan]",1번째 방문,맛있어요,"['가성비가 좋아요', nan, nan, nan, nan]"
바다이야기,"베이컨12
리뷰 65사진 36","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,소주가 술술드갑니다,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
바다이야기,"민샤쿤
리뷰 17사진 5","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,역 근처에 있는 접근성 좋은 조개구이집입니다. 넉넉하게 잘 먹었어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '건강한 맛이에요']"
바다이야기,"선비87
리뷰 23사진 3","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,사장님도친절하고 음식도깔끔하고 맛이좋네요,"['음식이 맛있어요', '친절해요', '매장이 청결해요', '인테리어가 멋져요', nan]"
바다이야기,"마이아로아
리뷰 1,440사진 11","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,분답은집,"['음식이 맛있어요', nan, nan, nan, nan]"
바다이야기,"쌀뭉탱이
리뷰 351사진 91","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"조개탕 맛있어요.
신선합니다!!
해산물.스페셜5 맛있네요","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
바다이야기,"오로지 솔직하고 직설적이게
리뷰 840사진 487팔로워 2","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"신선하공
맛집임","['음식이 맛있어요', '매장이 넓어요', nan, nan, nan]"
바다이야기,"108동 1501호
리뷰 702사진 38","['저녁에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
바다이야기,"대구맛객 JC
리뷰 1,053사진 2,607팔로워 562","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,"예전에 조개구이먹고 재방문합니다.
해산물이 너무 싱싱하고 좋습니다.
그중 문어가 존맛이고 사이드메뉴도
깔끔하게 잘나옵니다. 맛있게 잘먹고
갑니다.
접기","['음식이 맛있어요', '친절해요', nan, nan, nan]"
바다이야기,"대구동구수성구
리뷰 116사진 144팔로워 1","['밤에 방문', nan, nan, nan, nan]",1번째 방문,해산물 신선하고 맛있습니다.,"['매장이 넓어요', '특별한 메뉴가 있어요', nan, nan, nan]"
바다이야기,"이쏘70
리뷰 508사진 465","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,해산물 신선하고 좋아요~♥️,"['재료가 신선해요', '친절해요', nan, nan, nan]"
바다이야기,"wo****
리뷰 611사진 42","['저녁에 방문', nan, nan, nan, nan]",4번째 방문,"조개가 항상 신선하고 맛있어요
사이드 반찬도 정말 다양하고 많이 나와요","['단체모임 하기 좋아요', '매장이 청결해요', '재료가 신선해요', nan, nan]"
바다이야기,"wo****
리뷰 611사진 42","['저녁에 방문', nan, nan, nan, nan]",3번째 방문,"해산물이 다 신선하네요
넓은 좌석도 있어서 모임할 때도 좋은거 같습니다","['친절해요', '음식이 맛있어요', '재료가 신선해요', nan, nan]"
바다이야기,"우주공화국
리뷰 792사진 238팔로워 19","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,음식이 맛점 있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
