STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
베이징훠궈양꼬치양갈비,"민준이네Tv
리뷰 105사진 966팔로워 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"모든 직원들이 중국사람들임 ㅋ

음식맛은 먹을만하고 가게가 넓어요 ㅎ
원래 옆에 양꼬치 맛집 양복점 갈려 햇는데 사람 다 차서 왓는데 괜찮아요

가격이 옆집에 비해 저렴하고 메뉴도 중국분들이라 정말 요리 메뉴 많아요
과장해서 100개정도는 되는듯 ㅋ

가지 요리난 아주 훌륭하고 꼬치는 중간정도입니다 ㅋㅋ 단체모임 추천해여
접기","['고기 질이 좋아요', '특별한 메뉴가 있어요', '메뉴 구성이 알차요', '매장이 넓어요', '친절해요']"
베이징훠궈양꼬치양갈비,"찹쌀핑
리뷰 41사진 143팔로워 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"동대구역 근처에 있는 양꼬치 맛집입니다 😊
잡내도 없고 직원분들도 친절하세요! 외국분이신데 한국말도
능통하시고 친절하게 대해주셔서 너무 좋았습니다!
잡내도 하나도 없고 오리지날 양념맛 둘다 먹었는 데 둘다 맛있어요!
가볍게 맥주한잔 먹기 좋은 것 같고 모임하기에도 좋은 것 같습니다
접기","['음식이 맛있어요', '고기 질이 좋아요', '잡내가 적어요', '단체모임 하기 좋아요', '친절해요']"
베이징훠궈양꼬치양갈비,"don****
리뷰 8사진 8","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"양꼬치도 마파두부도 정말 맛있어요!
중국 현지에서 먹었던거보다 더 맛있는거같기도...
자주 올 것 같네용","['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '매장이 넓어요', '매장이 청결해요']"
베이징훠궈양꼬치양갈비,"Genero22
리뷰 57사진 84","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"양꼬치에 꼬치 너무 맛있어요
짬뽕 제발 드세요 추천!!!!
완탕이 잘못들어가서 짬뽕이 나왔는데
오히려좋아 너무 맛있어요 짬뽕 제발드세요
접기","['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '친절해요', '매장이 청결해요']"
베이징훠궈양꼬치양갈비,"jia****
리뷰 14사진 22","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어용 양꼬치 처음이였는데 대박입니다,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
베이징훠궈양꼬치양갈비,"쩝쩝박사과정
리뷰 17사진 33","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"찐 중국맛 훠궈에요✨
담에는 양꼬치도 먹으러 와봐야겠어요🤗
중국분이 운영하시는 매장같은데 친절하구 좋아요👍🏻","['양이 많아요', '특별한 메뉴가 있어요', '친절해요', '매장이 넓어요', nan]"
베이징훠궈양꼬치양갈비,"ash Won
리뷰 501사진 645팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,항상 맛있어요ㅎㅎ,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
베이징훠궈양꼬치양갈비,"dva****
리뷰 24사진 25","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"양이 많아서 둘이 먹기에도 엄청 푸짐해요
훠궈맛도 찐해서 좋아요","['음식이 맛있어요', '양이 많아요', '인테리어가 멋져요', '매장이 넓어요', nan]"
베이징훠궈양꼬치양갈비,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",8번째 방문,양꼬치도 맛있는데 여기 가지 요리도 완전 맛나요 ㅋㅋ,"['음식이 맛있어요', '고기 질이 좋아요', '잡내가 적어요', '건강한 맛이에요', '친절해요']"
베이징훠궈양꼬치양갈비,"최고돼지
리뷰 43사진 109팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"양꼬치 맛집~~여기 진짜 맛나요!
술 계속 들어갑니다^^","['음식이 맛있어요', '고기 질이 좋아요', '가성비가 좋아요', '친절해요', '매장이 청결해요']"
