STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
본가기사식당,"TommyKang
리뷰 95사진 175테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,재방문인데 반찬 골고루 나오고 집밥 느낌이라 좋습니다. 김치찌개 김치는 적은 편이네요.,"['양이 많아요', '반찬이 잘 나와요', nan, nan, nan]"
본가기사식당,"thoughtful22
리뷰 32사진 2","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,가성비 쏘쏘해요,"['혼밥하기 좋아요', nan, nan, nan, nan]"
본가기사식당,"TommyKang
리뷰 95사진 175테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,적당한 가격. 반찬도 골고루 나옵니다. 된장찌개 양만 조금 더 많으면 만점.,"['반찬이 잘 나와요', '가성비가 좋아요', nan, nan, nan]"
본가기사식당,"등좀긁어줭
리뷰 18사진 10","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"친절하지도 불친절하지도 않은, 맛있지도 맛없지도 않은,
한끼 때우러 가기에 좋은곳.","['반찬이 잘 나와요', nan, nan, nan, nan]"
본가기사식당,"꼬야킴79
리뷰 64사진 14","['점심에 방문', nan, nan, nan, nan]",2번째 방문,굿,"['음식이 맛있어요', '반찬이 잘 나와요', nan, nan, nan]"
본가기사식당,"갱이26
리뷰 827사진 1,130팔로워 42","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,가성비있게 한끼 식사할 수 있어요!,"['가성비가 좋아요', nan, nan, nan, nan]"
본가기사식당,"식탐정아롱이
리뷰 2,136사진 7,453팔로워 306","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '반찬이 잘 나와요', '가성비가 좋아요', '혼밥하기 좋아요']"
본가기사식당,"킴땡스
리뷰 1,146사진 276","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
본가기사식당,"CAMAC
리뷰 1,058사진 74","['점심에 방문', nan, nan, nan, nan]",1번째 방문,국,"[nan, nan, nan, nan, nan]"
본가기사식당,"JF33
리뷰 787사진 1","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,좋습니다,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"리니가
리뷰 102","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"윤소윤30
리뷰 2,776사진 454","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,친절해요,"['친절해요', nan, nan, nan, nan]"
본가기사식당,"꼬마녀s
리뷰 89사진 50팔로워 2","['점심에 방문', nan, nan, nan, nan]",1번째 방문,돈까스 맛집이에요 양푼이도 맛나요ㅎ,"['음식이 맛있어요', '반찬이 잘 나와요', nan, nan, nan]"
본가기사식당,"리니가
리뷰 102","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"scr****
리뷰 423","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', '가성비가 좋아요', nan, nan, nan]"
본가기사식당,"뽕구47
리뷰 976사진 96팔로워 1","['아침에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"[nan, nan, nan, nan, nan]"
본가기사식당,"동채쀼
리뷰 594사진 141","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"집밥~~♡
싹 다 비웠어요!!","['혼밥하기 좋아요', '가성비가 좋아요', '음식이 맛있어요', '음식이 빨리 나와요', nan]"
본가기사식당,"먹보미미
리뷰 563사진 419","['점심에 방문', nan, nan, nan, nan]",1번째 방문,가성비있는 식사!,"['음식이 빨리 나와요', '가성비가 좋아요', nan, nan, nan]"
본가기사식당,"채동쀼
리뷰 562사진 78","['점심에 방문', nan, nan, nan, nan]",1번째 방문,집근처 백반집 맛있어요,"['혼밥하기 좋아요', '반찬이 잘 나와요', '음식이 맛있어요', '가성비가 좋아요', nan]"
본가기사식당,"phj****
리뷰 533사진 15","['점심에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"[nan, nan, nan, nan, nan]"
본가기사식당,"alq****
리뷰 2,456사진 56팔로워 25","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['매장이 청결해요', '친절해요', '음식이 빨리 나와요', nan, nan]"
본가기사식당,"하쿠나마타타7341
리뷰 511사진 235","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"굿굿 괜찮아요
고기조금만 더 주면 좋겠음","['반찬이 잘 나와요', '양이 많아요', '가성비가 좋아요', '매장이 넓어요', '혼밥하기 좋아요']"
본가기사식당,"힐링296
리뷰 612사진 19","['점심에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"[nan, nan, nan, nan, nan]"
본가기사식당,"김밍꽃
리뷰 1,386사진 1,613팔로워 77","['점심에 방문', nan, nan, nan, nan]",1번째 방문,다양한 반찬 가격착해요 햄이나 계란말이나 있으면 더좋을듯해요🙂,"['음식이 빨리 나와요', '음식이 맛있어요', nan, nan, nan]"
본가기사식당,"fe****
리뷰 536사진 20","['점심에 방문', nan, nan, nan, nan]",2번째 방문,혼합하기 좋음,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"하늘타리10
리뷰 1,247사진 15","['점심에 방문', nan, nan, nan, nan]",1번째 방문,조아요,"['반찬이 잘 나와요', '양이 많아요', '음식이 빨리 나와요', nan, nan]"
본가기사식당,"0minimini0
리뷰 1,743사진 224","['점심에 방문', nan, nan, nan, nan]",1번째 방문,😀,"['가성비가 좋아요', nan, nan, nan, nan]"
본가기사식당,"오늘도내일도열심히
리뷰 16사진 4","['아침에 방문', nan, nan, nan, nan]",1번째 방문,"들어갈때부터 아무말없어 무뚝뚝하신가보다 했는데계산할때 휴대폰 계산대 위에 탁 던지듯 내려놓고
불친절하신것 같습니다
계산뿐만 아니라 전반적으로 불친절했어요~
음식은 그냥 가성비 좋은 정도입니다
더보기","['가성비가 좋아요', nan, nan, nan, nan]"
본가기사식당,"phe****
리뷰 1,142사진 8","['아침에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"rab****
리뷰 1,390사진 60팔로워 40","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,불친절해요!딱그가격에 맞는 가성비에용,"['혼밥하기 좋아요', nan, nan, nan, nan]"
본가기사식당,"sky****
리뷰 936","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['혼밥하기 좋아요', '양이 많아요', '가성비가 좋아요', nan, nan]"
본가기사식당,"dud****
리뷰 406팔로워 4","['점심에 방문', nan, nan, nan, nan]",2번째 방문,깨끗해요,"['양이 많아요', nan, nan, nan, nan]"
본가기사식당,"세무사사무실8185
리뷰 520사진 38","['점심에 방문', nan, nan, nan, nan]",1번째 방문,ㅋ,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"경수맘79
리뷰 410사진 35","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"최 사장
리뷰 1,134사진 6팔로워 12","['점심에 방문', nan, nan, nan, nan]",1번째 방문,.,"['가성비가 좋아요', nan, nan, nan, nan]"
본가기사식당,"010****
리뷰 460","['점심에 방문', nan, nan, nan, nan]",2번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
본가기사식당,"010****
리뷰 460","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['재료가 신선해요', nan, nan, nan, nan]"
본가기사식당,"바나나는빙그레
리뷰 2,322사진 457","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿,"[nan, nan, nan, nan, nan]"
