STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
봉화뭉티기,"도도한맘
리뷰 449사진 35","['밤에 방문', '예약 없이 이용', '바로 입장', '여행', '연인・배우자, 아이']",1번째 방문,"친절하시고 음식이 맛있어요.
육회양념이 파채.마늘 기름 넣어서 독특했어요
전라도는 빨간양념에배올려주는데
잘먹었습니다
접기","['음식이 맛있어요', '재료가 신선해요', '친절해요', nan, nan]"
봉화뭉티기,"nac****
리뷰 640사진 155","['저녁에 방문', '예약 없이 이용', '10분 이내', '가족모임', nan]",1번째 방문,"리뷰가 생각나서 먹다가 찍었는데
사람 많은곳은 역시 이유가 있어요!!
잘먹고 갑니다","['인테리어가 멋져요', '아늑해요', '차분한 분위기에요', nan, nan]"
봉화뭉티기,"스퐁게밥
리뷰 407사진 66","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,뭉티기 나오는데 좀 걸렸지만 그사이 밑반찬 안주삼아 먹고 있음 금방이더라구요 맛있게 먹었습니다.,"['음식이 맛있어요', '단체모임 하기 좋아요', nan, nan, nan]"
봉화뭉티기,"전주39
리뷰 40사진 45","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"봉화뭉티기 짱짱 !
밑반찬 번데기, 감자샐러드, 명란, 미역국, 열무김치, 양파절임 나왔는데 하나같이 다 너무 맛있구
생고기 정말 찰지구 육회도 간도 너무 잘 맞고 맛있게 먹었어요 ~
다음에 또 올께요❤️
접기","['음식이 맛있어요', '반찬이 잘 나와요', '기본 안주가 좋아요', nan, nan]"
봉화뭉티기,"유나v91
리뷰 2사진 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"단체모임왔어요.
각 지역에서 왔는데 넘 좋아요.
근데 육전없어서 아쉽네요ㅜㅜ","[nan, nan, nan, nan, nan]"
봉화뭉티기,"AEWFJ
리뷰 63사진 137팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,동대구역 앞 상가임대료가 비싼가요? 자주 가는 곳 보다 양이 많이 적네요.,"['아늑해요', nan, nan, nan, nan]"
봉화뭉티기,"Theking93
리뷰 277사진 44팔로워 4","['저녁에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",1번째 방문,"그냥 들어갔는데, 뭉티기랑 장 육회 조합 좋았습니다 미역국도 좋고~~~","['음식이 맛있어요', nan, nan, nan, nan]"
봉화뭉티기,"플라워욥
리뷰 20사진 10","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"비추합니다 ㅠㅠ
살다살다 이런 기분나쁜 뭉티기 집은 첨가봤네요 ㅠㅠㅠ 가위로 고기 손질은 물론이고 위생상태나 서비스 등등 담엔 절대로 갈 일 없을거같아요
더보기","[nan, nan, nan, nan, nan]"
봉화뭉티기,"나리9896
리뷰 55사진 96","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,뭉티기 순삭 이건 찐탱이다,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
봉화뭉티기,"sj****
리뷰 34사진 29팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,지금까지 먹은 뭉티기 중에 제일 맛있어요~ 추천합니당,"['음식이 맛있어요', '매장이 넓어요', '친절해요', '매장이 청결해요', nan]"
봉화뭉티기,"라뷰s
리뷰 36사진 83","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"동대구역 근처에 뭉티기집 찾다가 왔어요!
넘넘 맛있어욤","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
봉화뭉티기,"전이얀
리뷰 1,622사진 515팔로워 16","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,육회 뭉티기 그냥 먹을 만함 단 소주맥주음료 셀프로 가져다 마셔야됨 귀찮음,"['건강한 맛이에요', nan, nan, nan, nan]"
봉화뭉티기,"syj****
리뷰 30사진 38","['밤에 방문', nan, nan, nan, nan]",1번째 방문,대구 놀러와서 여기 뭉티기 유명하다고해서 왔는데 진짜 맛있고 직원분도 엄청 친절하십니당💘💘,"[nan, nan, nan, nan, nan]"
봉화뭉티기,"바나나는빙그레
리뷰 2,322사진 457","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
봉화뭉티기,"깡생이58
리뷰 77사진 96","['저녁에 방문', '예약 없이 이용', '10분 이내', '데이트', nan]",1번째 방문,뭉티기 먹고 싶어서 평일저녁 급하게 동대구역 앞 봉화뭉티기 찾았는데 역시나 만족!!!!,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '건강한 맛이에요', '비싼 만큼 가치있어요']"
봉화뭉티기,"moo****
리뷰 320사진 237","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
봉화뭉티기,"abc****
리뷰 407사진 3","['아침에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
봉화뭉티기,"홍쟈45
리뷰 18사진 25","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"오드레기도 맛있고,,, 생고기랑 육회도 너무 맛있어요!!!","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', nan, nan]"
봉화뭉티기,"쵬녕86
리뷰 5사진 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '나들이, 여행', nan]",1번째 방문,서울까지 대구까지 온 보람이 있네요 이모님들도 친절하시고 고기양도 많고 신선하구 맛잇네여 다음에 또 방문하려구요>.<,"['친절해요', '매장이 청결해요', '음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요']"
봉화뭉티기,"dough1234
리뷰 14사진 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '여행', '연인・배우자']",1번째 방문,"서울에서 여행왔는데 맛있게 먹었어용 ㅎㅎ
다음에 대구 여행 와두 또 방문할 것 같습니다~!","['음식이 맛있어요', '재료가 신선해요', '친절해요', nan, nan]"
봉화뭉티기,"라빈8
리뷰 6사진 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '회식', '친구']",1번째 방문,사장님들 너무 친절하시고 뭉티기 넘 맛있어요 오뎅탕도 진짜 제 취향이라 너무 맛있게 잘 먹었습니당 >.<,"['단체모임 하기 좋아요', '음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요']"
봉화뭉티기,"상호81
리뷰 18사진 23","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,직원분도 친절 하시고 생고기가 맛있습니다.,"['혼밥하기 좋아요', '음식이 맛있어요', '재료가 신선해요', nan, nan]"
봉화뭉티기,"강덕수23
리뷰 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '회식', '친구']",1번째 방문,음식이 맛잇아요!!,"['매장이 넓어요', '음식이 맛있어요', '재료가 신선해요', nan, nan]"
봉화뭉티기,"별따기욤
리뷰 9사진 9","['저녁에 방문', '예약 없이 이용', '바로 입장', '회식', '지인・동료']",1번째 방문,"고기 질도 너무 좋고
즐겁게 회식했습니다 사장님도 너무 친절하시고
서비스도 너무 짱짱하게 주세요 🤭😘","['음식이 맛있어요', '재료가 신선해요', '고기 질이 좋아요', '친절해요', '매장이 청결해요']"
봉화뭉티기,"츄츄chuchu
리뷰 461사진 118팔로워 14","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,좋아요,"['차분한 분위기에요', nan, nan, nan, nan]"
