STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
북촌손만두 현대시티아울렛대구점,"듀블ㄹl
리뷰 1,735사진 1,709팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,얼큰칼국수랑 물냉면먹었는데 존맛입니다,"['음식이 맛있어요', nan, nan, nan, nan]"
북촌손만두 현대시티아울렛대구점,"jun****
리뷰 2,458사진 29","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",3번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
북촌손만두 현대시티아울렛대구점,"날다3237
리뷰 2,937사진 524","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,,"['음식이 맛있어요', '매장이 넓어요', '친절해요', '매장이 청결해요', nan]"
북촌손만두 현대시티아울렛대구점,"담음새
리뷰 757사진 332","['아침에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,굿,"['혼밥하기 좋아요', nan, nan, nan, nan]"
북촌손만두 현대시티아울렛대구점,"young8585
리뷰 1,665사진 4,932팔로워 155테마 7","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"간만에 방문해보는 북촌손만두

현대시티 아울렛 안에 있어 주차 편하고 좋아요
메뉴는 만두가 메인이지만 면과 함께 있는 세트 메뉴도
있어 식사하기에도 좋습니다

피냉면이랑 국수 세트 먹었는데 양많고 맛있었어요👍
접기","['음식이 맛있어요', '양이 많아요', '주차하기 편해요', nan, nan]"
북촌손만두 현대시티아울렛대구점,"플레이스 TOP30 리뷰어 최해경
리뷰 1,151사진 14,793팔로워 81테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",1번째 방문,"근처 출장중에
점심으로
1인세트 메뉴
칼국수 + 도톰만두
먹었습니다.

푸드코드(8층)
메뉴를 마음대로
골라 먹을수 있어
좋았습니다.
🥢🍜🍲

점심을 맛나게 먹고
만난 작가의 작품도
만날수 있었네요.
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '매장이 넓어요', '매장이 청결해요']"
북촌손만두 현대시티아울렛대구점,"최상원 실장
리뷰 362사진 1,409팔로워 20테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상, 비즈니스', nan]",1번째 방문,"대구로 출장 왔다가 점심식사로 방문했어요.

1인세트로 주 메뉴+만두 이렇게 있기에
만두국과 갈비만두 세트로 결정.

자극적이지 않고 맛있습니다 ㅎㅎ
간단하게 빠르게 먹을 수 있어 만족👍👍👍
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', nan, nan]"
북촌손만두 현대시티아울렛대구점,"NoFear55
리뷰 1,623사진 9","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
북촌손만두 현대시티아울렛대구점,"냄비네
리뷰 1,274","['저녁에 방문', nan, nan, nan, nan]",3번째 방문,친절하지는않음,"[nan, nan, nan, nan, nan]"
북촌손만두 현대시티아울렛대구점,"내꼬징
리뷰 1,620사진 231","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",4번째 방문,"맛있어요^^
만두가 바삭바삭~
완전 좋아요~!!","['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', nan, nan]"
