STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
뼈대있는돼지집 본점,"까리7926
리뷰 176사진 275팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"오랜만에 찾은 동대구역 맛집..
이 동네에서 귀한 주차장이 있는 고깃집ㅎㅎ
목살 엄청 부드럽게 잘 구워주시고~ 직원분들 다 친절하셔서 기분좋게 먹었어요ㅎㅎ 순수한 마음으로 리뷰드립니다. 이벤트 아녜요ㅎ
또 갈께요~~😄
접기","['음식이 맛있어요', '고기 질이 좋아요', '매장이 넓어요', '친절해요', '직접 잘 구워줘요']"
뼈대있는돼지집 본점,"애플초코
리뷰 1,474사진 5,244팔로워 70테마 1","['점심에 방문', '예약 후 이용', '바로 입장', '친목', '친구, 지인・동료']",1번째 방문,"단체예약하고 갔어요
건물뒷쪽 주차가 최대 10대정도? 가능해보이구요
일단 고기를 다 직접 구워줘서 너무 편해요
고기질도 좋아서 엄청 맛있게 먹었어요
친구가 다른 체인점도 괜찮았다고 하더라구요
삼겹 목살 다 맛있었구요
기본 반찬도 너무 만족
된장찌개, 된장밥, 계란찜
가성비 좋구요. 양도 많았어요
된장찌개 매콤~합니다.
아이들 있는 가족단위도 괜찮은듯 합니다.
직원분들 친절하시구요~
너무 만족스러운 식사였네요!
접기","['음식이 맛있어요', '고기 질이 좋아요', '반찬이 잘 나와요', '친절해요', '직접 잘 구워줘요']"
뼈대있는돼지집 본점,"잘먹고잘살자고
리뷰 86사진 155팔로워 3","['저녁에 방문', '예약 후 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"오랜만에 방문했어요!
새품삼 된장술밥 맛있습니다 👍🏻
주차장이 있어서 좋아요 :)","['직접 잘 구워줘요', '고기 질이 좋아요', '가성비가 좋아요', '잡내가 적어요', '단체모임 하기 좋아요']"
뼈대있는돼지집 본점,"대구준파더
리뷰 2사진 1","['저녁에 방문', '예약 후 이용', '바로 입장', '일상, 회식', nan]",1번째 방문,모임으로 이용하게 되었는데 아늑하이 친절하게 잘먹고 갔네요ㅎ,"['음식이 맛있어요', '고기 질이 좋아요', '단체모임 하기 좋아요', '친절해요', '주차하기 편해요']"
뼈대있는돼지집 본점,"shj****
리뷰 16사진 21","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '친절해요', '주차하기 편해요', nan]"
뼈대있는돼지집 본점,"엔터코드
리뷰 9","['저녁에 방문', '예약 후 이용', '바로 입장', '친목', '친구']",1번째 방문,"자주 가는 곳
늘 한결같은 곳
동대구1번지에서 몇안되는 주차편한 곳
추천합니다.
접기","['음식이 맛있어요', '고기 질이 좋아요', '매장이 넓어요', '친절해요', '주차하기 편해요']"
뼈대있는돼지집 본점,"8843ㅇㅇ
리뷰 15사진 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"고기 맛있게 구워주시고 친절하세요~~
너무 맛있어서 다음에 또올게요","['음식이 맛있어요', '고기 질이 좋아요', nan, nan, nan]"
뼈대있는돼지집 본점,"야삐046
리뷰 69사진 6","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"대구 출장와서 대박 맛집고기 낙찰😆
완전 강추!! 😭😭
이틀 연속으로 고기먹는건 처음입니다 ~
진짜 맛있고 직원분이 직접 고기 구워주시는데 친절하고 좋아요!! 대박나세용~~~!!
접기","['음식이 맛있어요', '고기 질이 좋아요', '친절해요', '매장이 청결해요', '직접 잘 구워줘요']"
뼈대있는돼지집 본점,"얌얌이쩝쩝이
리뷰 240사진 226","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"몇년전에 갔다가 동대구역 근처에 갈일이있어서
이번에 또 방문했어요 고기류 종류별로 다 먹어봤는데
저는 항정살이 제일 맛있었네요 😋 된찌 천원이라
가성비 좋아요 🔥
접기","['직접 잘 구워줘요', '가성비가 좋아요', '매장이 넓어요', nan, nan]"
뼈대있는돼지집 본점,"우히히훗
리뷰 4사진 1","['저녁에 방문', '예약 후 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,고기 질이 좋고 구워줘서 편합니다. 직원들도 친절해요,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '매장이 넓어요', '단체모임 하기 좋아요']"
