STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
샵족발,"구마적751
리뷰 3사진 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구, 지인・동료']",1번째 방문,"가게가 정말 깔끔하고 인테리어가 족발집 같지 않은 고급스러움이 느껴져요! 또 공간뿐 아니라 고기도 정말 쫄깃하고 부드럽고 직접 담근 김치인지 진짜 너무 맛있어서 자주 방문할거 같아요~ 직원들도 친절하고 정말 강추합니다~!
접기","['인테리어가 멋져요', '단체모임 하기 좋아요', '음식이 맛있어요', '고기 질이 좋아요', '친절해요']"
샵족발,"가람3135
리뷰 9사진 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,오랜만에 왔습니다 간판이 이도족발로 바뀌어서 여기가 아닌가 했지만 들어오니깐 사장님은 같은분이 계셔서 아 여기 맞구나 하고 먹었습니다 ! 맛집!,"['음식이 맛있어요', '가성비가 좋아요', '인테리어가 멋져요', '친절해요', nan]"
샵족발,"영피리
리뷰 267사진 373","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"꿀마늘족발 너무 맛나요.
사장님 인상도 좋으시고 친절하세요.
가게가 힙하고 음악도 좋아서 기분 좋게 먹고 왔습니다.
접기","['음식이 맛있어요', '고기 질이 좋아요', '특별한 메뉴가 있어요', '잡내가 적어요', '인테리어가 멋져요']"
샵족발,"겸이9827
리뷰 28사진 27","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"역시 동대구 족발 맛집인정🤩
냄새하나 안나고 같이 나오는 김치 끝내줌.
여자친구랑 같이갔는데 분위기 좋다고 칭찬받음ㅋ
*간판은 ""이도""로 바꼇으니 참고!
접기","['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '특별한 메뉴가 있어요', '인테리어가 멋져요']"
샵족발,"맛집탐방좋아
리뷰 182사진 374팔로워 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상, 비즈니스', nan]",1번째 방문,"족발 +보쌈을 주문 술도 주문하고 술먼저 마시고있는데

갑자기 보쌈이 없다고 하시네요

미리말해주셨으면 안시키고 다른곳 갈수도있었는데

술까지 마신상태에서 말을하니 기분이 별로였습니다

족발도 그냥 쏘쏘입니다 축구볼려고 티비있는거보고

급하게 들어간 곳인데 쫌 실망입니다 😑
더보기","['인테리어가 멋져요', nan, nan, nan, nan]"
샵족발,"aml****
리뷰 931사진 489","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,족발 실패안하고 맛있게 먹고왔어용,"['음식이 맛있어요', '고기 질이 좋아요', '잡내가 적어요', '재료가 신선해요', nan]"
샵족발,"구름위의작은섬
리뷰 2사진 4","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"손님이 많길래 지나가다 우연히 갔는데,
족발이 적당히 촉촉 담백해서 여친과
재방문의사 있습니다~","['음식이 맛있어요', '잡내가 적어요', '인테리어가 멋져요', '친절해요', nan]"
샵족발,"관계튼왕자
리뷰 1사진 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"고기 육질이 살아있고 맛있음.
분위기가 있어 데이트식사로도 딱 좋음.
가성비 갑.
재방문 의사 100%
접기","['음식이 맛있어요', '가성비가 좋아요', '친절해요', '매장이 청결해요', '인테리어가 멋져요']"
샵족발,"쿠로미자
리뷰 1,011사진 1,076팔로워 10","['점심에 방문', '예약 없이 이용', '바로 입장', '지인・동료', nan]",4번째 방문,"족발은역시샵족발
온족발 매운족발 소 소
다먹었어요. 밑찬도 깔끔해요.
족발맛집추천👍👍👍👍👍❤️
접기","['음식이 맛있어요', '고기 질이 좋아요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '친절해요']"
샵족발,"쿠로미자
리뷰 1,011사진 1,076팔로워 10","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",3번째 방문,"세상맛있는족발이네요.
불족이땡겨서 주먹밥이랑 주문해서 먹구.
일반족발 추가해서 먹었어요.
야들야들 끊임없이 들어가네요👍👍❤️
족발맛집 인정😋😋
접기","['음식이 맛있어요', '고기 질이 좋아요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
