STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
섬진강 재첩과 진부령 황태,"쫌매이
리뷰 1,913사진 465팔로워 23","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"제첩국, 황태국 전문점인데 흔히 볼 수 있는 메뉴라 생각날 때 힘 안들이고 먹을 수 있는 곳. 맛도 맛있습니다. 특히 조개젓은 직접 만드시는 것 같은데 그 반찬 하나로 밥 한공기는 먹을 수 있습니다.
접기","['음식이 맛있어요', '매장이 넓어요', '혼밥하기 좋아요', nan, nan]"
섬진강 재첩과 진부령 황태,"티거어흥81
리뷰 22사진 18","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"재첩국은 시원하고 담백한 국물 맛이 인상적이었고, 속이 편안해지는 느낌이었습니다. 황태구이도 바삭하면서 촉촉하게 구워져 밥반찬으로 딱 좋았어요. 반찬도 하나하나 정성이 느껴지고, 전
접기","['음식이 맛있어요', '가성비가 좋아요', '친절해요', '주차하기 편해요', nan]"
섬진강 재첩과 진부령 황태,"ONYOUDADDY
리뷰 205사진 392팔로워 13","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,오래간만에 혼 밥 잘 했습니다. :),"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
섬진강 재첩과 진부령 황태,"하이1533
리뷰 930사진 687","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"재첩국 깔끔,시원한 국물 최고네요.
셀프코너에 밥,계란후라이, 반찬 리필까지 넘 맛있게 잘 먹고가요^^","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
섬진강 재첩과 진부령 황태,"맛비게이션
리뷰 218사진 326팔로워 42","['점심에 방문', '예약 없이 이용', '바로 입장', '여행', '혼자']",1번째 방문,"동대구에서 하루 자는데 해장 검색하다가 근처에 재첩국 있는 것 알고 바로 갔습니다. 신제주에서 재첩국 맛있게 먹었는데 여기도 비슷한 맛이었어요. 재첩이 엄청 많이 들어있고 해장이 절로 되는 맛입니다. 국물이 정말 맛있어요. 반찬도 하나하나 다 맛있었어요. 계란도 자유롭게 직접 후라이해서 먹을 수 있고 밥도 알아서 더 먹을 수 있어요. 서비스까지 너무 만족스러운 곳이었습니다. 동대구에서 해장 필요하면 정말 추천해요!
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '건강한 맛이에요', '혼밥하기 좋아요']"
섬진강 재첩과 진부령 황태,"날다3237
리뷰 2,937사진 524","['저녁에 방문', '예약 후 이용', '바로 입장', '친목', '연인・배우자, 친구']",1번째 방문,,"['음식이 맛있어요', '가성비가 좋아요', '단체모임 하기 좋아요', '친절해요', nan]"
섬진강 재첩과 진부령 황태,"Daniel5933
리뷰 100사진 233팔로워 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"친절하세요.
집반찬에, 육전이 정말 맛있어요.
양이 정말 푸짐하고, 가격도 저렴해요.
밥과 반찬 리필 서비스 • 셀프 계란후라이
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '잡내가 적어요', '친절해요']"
섬진강 재첩과 진부령 황태,"흑콩79
리뷰 922사진 243팔로워 37","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",8번째 방문,"입국하자마자
생각나는집
잘먹엇어요","['음식이 맛있어요', nan, nan, nan, nan]"
섬진강 재첩과 진부령 황태,"카페인한도초과
리뷰 1,858사진 2,624팔로워 128테마 7","['점심에 방문', '예약 없이 이용', '바로 입장', '연인・배우자', nan]",2번째 방문,포장으로 먹어도 맛있네요,"['음식이 맛있어요', nan, nan, nan, nan]"
섬진강 재첩과 진부령 황태,"양심걸고일해라
리뷰 627사진 1,019팔로워 110","['아침에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"시원한 재첩국 한그릇~
해장에 좋았고 반찬도 맛있어서 두번이나 리필~","['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '반찬이 잘 나와요', nan]"
