STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
에이엣디커피브루어스,"쑥 쑤기
리뷰 236사진 677팔로워 17테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이, 일상', nan]",1번째 방문,"예전에 앞산 있을 때 한 번 가보구
옮기고는 첨 와봤는데 가게 아늑하니 좋더라구요!
점심쯤가니 근처 직장인 손님이 많아서 신기했어요ㅎㅎㅎ
커피도 넘 맛있었어요 !!
접기","['커피가 맛있어요', '대화하기 좋아요', '아늑해요', '친절해요', nan]"
에이엣디커피브루어스,"papang
리뷰 5사진 8","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"커피 맛있어요! :-)
달게만든 라떼메뉴는 아무리 맛있어도 끝맛이 텁텁한 경우가있는데 달고 부드러우면서 얼음이 녹은 끝까지도 커피가 텁텁하지 않았어용!
오늘은 친구랑 같이갔지만 가볍게 혼자와서 커피한잔하기에 좋은 분위기에요:)
접기","['매장이 청결해요', '커피가 맛있어요', '아늑해요', '야외공간이 멋져요', nan]"
에이엣디커피브루어스,"godgujb
리뷰 362사진 101팔로워 14테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",3번째 방문,"커피 맛있습니다.
아이스크림도 맛있습니다.","['커피가 맛있어요', nan, nan, nan, nan]"
에이엣디커피브루어스,"설탕슈박
리뷰 13사진 11","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",5번째 방문,"새해맞이 컵 너무 예뻐요ㅠㅠ
언제나 일등 커피맛집...🥹❤","['커피가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '대화하기 좋아요', '아늑해요']"
에이엣디커피브루어스,"Happyminmk
리뷰 2,767사진 7,775팔로워 102","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,컵 홀더 컵 넘 이뻐요,"['커피가 맛있어요', nan, nan, nan, nan]"
에이엣디커피브루어스,"00000siri
리뷰 728사진 371","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,라떼가 맛있어요,"['커피가 맛있어요', nan, nan, nan, nan]"
에이엣디커피브루어스,"후잇후잇
리뷰 74사진 85","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,구움과자 맛있어서 종류별로 샀어요,"['커피가 맛있어요', '디저트가 맛있어요', nan, nan, nan]"
에이엣디커피브루어스,"캐슬이의 공간
리뷰 753사진 2,202팔로워 63","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"외관이 정말 눈에 확 들어와요!!. 커피를 직접 블랜딩 하는 곳이라서. 커피가 정말 맛있었습니다.!!
인근 직장인 분들은 가까워서 자주 갈 수 있어서 부러워요><
접기","['친절해요', '인테리어가 멋져요', '사진이 잘 나와요', '커피가 맛있어요', '디저트가 맛있어요']"
에이엣디커피브루어스,"jun****
리뷰 2,332사진 269","['점심에 방문', '포장·배달 이용', '10분 이내', '일상', nan]",19번째 방문,커피가 맛있어요,"['커피가 맛있어요', '디저트가 맛있어요', '음료가 맛있어요', '가성비가 좋아요', '친절해요']"
에이엣디커피브루어스,"설탕슈박
리뷰 13사진 11","['아침에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",3번째 방문,"역시 라떼 맛집 ••• ♥ 넘 넘 맛있어요 ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀
에이엣디 우리집 앞에 있으면 좋겠어요... (´▽`ʃƪ)♡","['커피가 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', nan]"
