STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
오뚜기북성로불고기 실내포장,"은콩54
리뷰 34사진 31","['저녁에 방문', '예약 없이 이용', '10분 이내', '친목', nan]",1번째 방문,"최악중최악이에요
가실분 꼭 보고가세요
7:30 도착 - 테이블 안퍄줌-여쭤보니 일행안왔지않냐? 좀기다리라 해서 기다림 - 자리만들어줘서 7:40분에 안주 주문 함- 8:15분에 안주3개중1개 나옴 북성로 고추장 불고기시켰는데 간장나옴 - 고추장시켰다니 그냥 먹으란식; 싫다해서 바꿔준다해서 기다렸음 - 8:40붐이되도 우리보다 늦게 온 테이블 안주 다 나와서 여쭤보니 또 간장 갖다줌-고추장 시켰다하니 아~ 하면서 간장에 고춧가루묻혀서 고추장이라고 갖다줌ㅋㅋ차라리 바빠서 미안하다 인정했으면 마음이 좀 수그러들었을건데 끝까지 고추장이라고 우기셔서 고추장 새로 시키니 완전 다르게 나옴 그제서야 인정하고 빼주는데 사과안함 ㅋ; 절대 다시 안감 제발 고려해보고 가세요
더보기","[nan, nan, nan, nan, nan]"
오뚜기북성로불고기 실내포장,"kkeoeok2
리뷰 251사진 1,258팔로워 2","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"항상 궁금했던 곳인데 ㄹㅇ 대박 맛있네요!? 포차 분위기 낭낭하게 나면서 비닐 덮힌 야장 자리까지 낭만 있는 곳입니다👏 북성로 불고기랑 오징어 연탄구이 먹었는데 둘 다 불향 솔솔 대박입니다ㅠㅠ 오징어 연탄구이는 마지막에 공깃밥 꼭 추가해서 볶아드세요!!! 양념 자체가 완전 밥도둑... 1차로 갔는데 2차로 안 옮기고 여기서 쭉~ 끝짱 보고 왔네요ㅋㅋㅋ 기본 안주만으로도 소주 한병은 까겠던데요?? 사장님, 직원분들도 모두 친절하셔서 기분 좋게 먹고 왔습니다! 동대구역 근처 맛집 술집 찾으신다면 꼭 가보십시요!! 후회 없으실 겁니다🔥🔥
접기","['친절해요', '음식이 맛있어요', '기본 안주가 좋아요', '가성비가 좋아요', '인테리어가 멋져요']"
오뚜기북성로불고기 실내포장,"한다면 한다이
리뷰 337사진 384팔로워 29","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,북성로 안가고 여기 가도 될 것 같네요ㅎㅎ 한번씩 연탄 불고기에 우동 생각나서 왔습니다.,"['음식이 맛있어요', '기본 안주가 좋아요', '가성비가 좋아요', '매장이 넓어요', nan]"
오뚜기북성로불고기 실내포장,"medel5285
리뷰 1,981사진 428팔로워 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",4번째 방문,환상조합 잘먹었습니다^^,"['음식이 맛있어요', '가성비가 좋아요', nan, nan, nan]"
오뚜기북성로불고기 실내포장,"미소가득루나
리뷰 1,003사진 2,215팔로워 1","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트, 일상', nan]",1번째 방문,"신랑이랑 함께 오랜만에 레트로 감성과 함께 술한잔 하고 온 주말^^
부추전과 우동 맛있게 잘먹었어요.
사장님 친절하시고 안주 맛집입니다~ㅋ
접기","['음식이 맛있어요', '기본 안주가 좋아요', '가성비가 좋아요', '친절해요', nan]"
오뚜기북성로불고기 실내포장,"Ugly Ddong
리뷰 827사진 887","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",2번째 방문,맛나용,"['술이 다양해요', nan, nan, nan, nan]"
오뚜기북성로불고기 실내포장,"dashing00
리뷰 44사진 9팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"감자전에 머리카락발견 ㅠ
말했는데ㅠ사과한마디 없어요
분위기도 50대 불륜남녀.
최악!!!!!!!
더보기","['술이 다양해요', nan, nan, nan, nan]"
오뚜기북성로불고기 실내포장,"Ugly Ddong
리뷰 827사진 887","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,맛나용,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
오뚜기북성로불고기 실내포장,"백조장
리뷰 247사진 949팔로워 23테마 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"🦸‍♂️ 또 갈 집. 앞에 모텔뷰만 아니면 완벽 그 자체인데 흑..

🧾 메뉴
- 김치수제비(￦13,000) : 적당한 칼칼함에 적당한 깊은 맛에..또 먹으러 가고 싶다..
- 오징어연탄구이(￦15,000) : 사이드로 시키기 좋은 듯.

🍱 기본 찬 : 기본으로 비엔나 소세지가 나옴... 갓,,

👥️ 웨이팅 : 토요일 오픈 시간(17시)에 맞춰서 갔는데, 첫 손님이었음.
접기","['음식이 맛있어요', '가성비가 좋아요', '야외공간이 멋져요', '친절해요', nan]"
오뚜기북성로불고기 실내포장,"Yh0626
리뷰 766사진 19","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,ㅇㄴ,"['음식이 맛있어요', nan, nan, nan, nan]"
