STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
오야츠타코,"퐁키
리뷰 141사진 308","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"오야츠타코 너무친절하고 맛있어요
완전 재방문 200프로!","['음식이 맛있어요', '재료가 신선해요', '친절해요', '매장이 청결해요', nan]"
오야츠타코,"0v07
리뷰 666사진 1,052","['저녁에 방문', '예약 없이 이용', '10분 이내', '데이트', nan]",1번째 방문,"오리지널 반+와사비마요 반 (10알) 7천원
위에 가쓰오부시도 많이 줘서 소스랑 풍미가 좋움😚👍🏻 집 근처니 종종 가야겠다","['음식이 맛있어요', nan, nan, nan, nan]"
오야츠타코,"승호이1
리뷰 50사진 42팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",5번째 방문,5번째 방문이네요. 매번 와도 질리지 않고 맛있어요!,"['친절해요', '음식이 맛있어요', '가성비가 좋아요', '혼밥하기 좋아요', '아늑해요']"
오야츠타코,"trs1205
리뷰 115사진 36","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"사장님 너무 친절하시고, 너무 맛있어요 ㅎㅎㅎ 동대구역 근처에 오신다면 술드시고 해장으로 드시는것도 추천드립니다 ㅎㅎ","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '혼밥하기 좋아요', '친절해요']"
오야츠타코,"홍차가루
리뷰 9사진 9","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트, 나들이', nan]",1번째 방문,음식이 생각보다 빨리 나왔고 냄새가 정말 좋았습니다 다음에 또 지나치다 한번 들릴 것 같습니다 감사합니다~,"['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '컨셉이 독특해요', '친절해요']"
오야츠타코,"Jay900
리뷰 2사진 2","['밤에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,"친절하고 매번 알바 끝날때마다 들려서 사갑니다
맛있어서 추천드려요","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '친절해요']"
오야츠타코,"cje7474
리뷰 2사진 2","['밤에 방문', '예약 후 이용', '바로 입장', '일상', '부모님']",1번째 방문,"맛있는 타크야끼 ᆢ 중독되는 맛이네요 가끔아들과 늦은시간 출출한배를 달래기위해 찾은 가게ᆢ 정말 맛있더라구요 사장님과 따님도 너무 친절하시구요~~ 강추입니다 급히먹다보니 사진은 못찍었네요^^~~
접기","['음식이 맛있어요', '혼밥하기 좋아요', '친절해요', '매장이 청결해요', nan]"
오야츠타코,"팥123
리뷰 155사진 6","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '혼자']",1번째 방문,오랜만에왓는데 여전히 친절하고 맛있어요!!,"['친절해요', '포장이 깔끔해요', '음식이 맛있어요', nan, nan]"
오야츠타코,"gus****
리뷰 16사진 19","['저녁에 방문', '예약 없이 이용', '10분 이내', '데이트', nan]",3번째 방문,"이거 먹으려고 또.. 1시간을 달려왔습니다.
어제 다른곳에서 타코시켰다가..
두알먹고..
다버렸다는...ㅜ

다시는 배신안하고ㅋ
여기올꺼예요^^
너무맛있는집!! 최애집입니다.
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '인테리어가 멋져요', nan]"
오야츠타코,"김19
리뷰 9사진 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,너무맛있고 양도 많습니다!!,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
오야츠타코,"gus****
리뷰 16사진 19","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",2번째 방문,"추석연휴때 먹고 반해서.
오늘 1시간거리를 이겨내고 또 먹으러왔습니다.

너무너무맛있어용ㅎㅎ
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '친절해요', '매장이 청결해요']"
오야츠타코,"gus****
리뷰 16사진 19","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"소스가 섞이지않게 따로따로 포장해주시고,
추석연휴 맛있는 타코 먹게해주셔서
너무감사합니다.

깔끔하고 엄청맛있어요^^
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
오야츠타코,"youni25
리뷰 822사진 358팔로워 24","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",2번째 방문,"오리지널도 맛있는데 갈릭치즈랑 네기도 너무 맛있어요 소스가 특별한거같아요
반죽 겉바속촉이고 타코도 커서 쫄깃하게 씹혀서 너무 맛있어요
접기","['음식이 맛있어요', '재료가 신선해요', '친절해요', nan, nan]"
오야츠타코,"youni25
리뷰 822사진 358팔로워 24","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"주문들어오면 바로 만들어서 시간이 좀 소요되긴한데 사장님 친절하고 매장 작지만 안에서 기다릴 수 있어서 시원하게 기다렸어요

타코야키 위에 가스오부시 많아 얹어주시고 타코야키 맛있어요
접기","['음식이 맛있어요', '친절해요', nan, nan, nan]"
오야츠타코,"zzeong3
리뷰 186사진 152팔로워 16","['저녁에 방문', '바로 입장', '데이트', '연인・배우자', nan]",1번째 방문,타코야끼 먹고 싶어 찾다가 깔끔하게 되어 있어서 왔어요 ~~~! 네이버 이벤트로 2알 추가 받아서 좋아요 🤗,"['음식이 맛있어요', nan, nan, nan, nan]"
오야츠타코,"부기부김
리뷰 51사진 101","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"양도 많고 사장님도 친절하게 응대해주십니다
타코야끼 땡길 땐 오야츠타코에만 와야겠어요
잘 먹었습니다 ~","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '친절해요', '혼밥하기 좋아요']"
오야츠타코,"연려은
리뷰 184사진 179","['저녁에 방문', '예약 후 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"분위기 아담한데 밝은 느낌이예요 테이블도 일본풍 느낌으로 간단하게 먹을 수 있는 바 테이블로 되어있어요 혼자 와서 먹기에도 괜찮을 듯해요 맛있어요 좋아요 굿굿~~
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
오야츠타코,"루밍1014
리뷰 3","['밤에 방문', '포장·배달 이용', '바로 입장', '나들이', '연인・배우자']",1번째 방문,잘 먹었습니다,"['인테리어가 멋져요', '친절해요', nan, nan, nan]"
