STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
오월로,"LIMM
리뷰 28사진 28","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있고 반찬도 다양해요 다음에 또 올게요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '친절해요']"
오월로,"절세공주
리뷰 14사진 26","['저녁에 방문', '예약 후 이용', '바로 입장', '가족모임', nan]",1번째 방문,"모둠고기 시켰는데 고기 양도 많고ㅠㅠ
밑반찬도 엄청 많이 나왔어요 !
생선튀김이랑 떡볶이 된장국 밥은 못 찍었어요ㅠㅠ
너무 맛있어서 급하게 먹는다구 .. 먹고 리뷰 남겨요❤️
사장님 완전 미인이셔요><
매장도 엄청 청결하구요!!!! 아이들과 오기도 좋아요ㅠㅠㅠ 아참 먹기전에 스프도 나왔어요!!! ❤️❤️❤️

여기 꼭 오세요!!!! 너무 맛나요ㅠㅠㅠ❤️❤️❤️
접기","['매장이 청결해요', '음식이 맛있어요', '특별한 메뉴가 있어요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
오월로,"DDALGI0
리뷰 20사진 10","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",5번째 방문,오늘도 맛있게 잘먹고가요. 이집에 생선구이는 원래맛있지만 된장찌개가 진짜 맛있어요. 청양다대기넣어서 비비면 진짜 꿀맛이예요,"['음식이 맛있어요', '인테리어가 멋져요', '단체모임 하기 좋아요', '주차하기 편해요', nan]"
오월로,"푸디08
리뷰 32사진 31","['저녁에 방문', '바로 입장', '친목, 일상', '친구', nan]",6번째 방문,"진짜진짜 맛있고 푸짐해요.
반찬이 많아서 밥2그릇은 기본이예요","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '인테리어가 멋져요', '단체모임 하기 좋아요']"
오월로,"위수운
리뷰 21사진 39","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '아늑해요', '매장이 청결해요']"
오월로,"whi****
리뷰 823사진 44","['저녁에 방문', '예약 후 이용', '30분 이내', '일상', '혼자']",1번째 방문,,"['음식이 맛있어요', nan, nan, nan, nan]"
오월로,"dms****
리뷰 24사진 36","['점심에 방문', '예약 후 이용', '바로 입장', '일상', '친구']",1번째 방문,,"['양이 많아요', '가성비가 좋아요', '인테리어가 멋져요', '친절해요', nan]"
오월로,"힘을내요그대여
리뷰 15사진 24","['점심에 방문', '예약 없이 이용', '바로 입장', '여행', '아이']",1번째 방문,"대구 신천에서 맛집으로 소문난 오월로에 왔는데 역시 맛있어요. 들어 올때 부터 손님들로 가득.. 다행히 한자리가 남아 있어서 기다리지 않고 식사했습니다. 사장님께서 친절히 먹는 방법을 설명해 주셔서 더 맛있게 먹을수 있었어요!!
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
오월로,"rrr****
리뷰 113사진 110팔로워 6","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,동네 찐 맛집입니다!! 12000원 해초 정식이 정말 푸짐하고 밑반찬 정갈하고 간도 딱 맛있어요👍👍 고등어도 통통하고 겉바속촉 완전 강추해요🧡🧡,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', '건강한 맛이에요']"
오월로,"뚱호23
리뷰 256사진 16","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,완전 미쳐미쳐 반찬맛집+메인은 말해뭐해 없어서 못먹을 정도 입니다!! 다음에또 올게요!! 진짜 제대로된 한식먹고 갑니다 두공기 먹은거 안비밀~~!!,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
오월로,"stella2854
리뷰 238사진 21","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
오월로,"DDALGI0
리뷰 20사진 10","['점심에 방문', '예약 없이 이용', '바로 입장', '친구', nan]",4번째 방문,너무 맛있고 푸짐해요. 추천합니다,"['음식이 맛있어요', '특별한 메뉴가 있어요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
