STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
원조태양칼국수,"ssk****
리뷰 1,238사진 565","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",2번째 방문,"완전 맛나요. 걸죽한 국물을 좋아하는데요~~
잘 먹었습니다.","['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '매장이 넓어요', '친절해요']"
원조태양칼국수,"먹고마시는오이오
리뷰 433사진 520팔로워 22","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"국수한그릇을 두개로 나눠주시고👍
수육도 제 스타일이네요😃","['음식이 맛있어요', '양이 많아요', '친절해요', nan, nan]"
원조태양칼국수,"세우보끔밥
리뷰 676사진 485","['저녁에 방문', nan, nan, nan, nan]",5번째 방문,양도 많고 언제 먹어도 맛있어용~~,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
원조태양칼국수,"뽀개미
리뷰 422사진 175팔로워 6테마 3","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",2번째 방문,"수육에 들깨 찍어 먹는거 정말 찐맛도리고
이집 칼국수는 얼큰보다는 기본 칼국수가 정말 맛있어요
떡국 느낌으로 김과 다진고기가 올라가서
구수하고 맛있답니다 :)
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"여나미이
리뷰 807사진 802팔로워 23","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",2번째 방문,역시 끝내주네요 기본기가 충실한집,"['음식이 맛있어요', '가성비가 좋아요', '친절해요', nan, nan]"
원조태양칼국수,"값진 여자
리뷰 16사진 4","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"추천받아갔는데... 너무 제입맛에 맞아요!!
칼국수도 국물시원하고 면빨좋고~
암뽕 기름짱에 찍어먹는거 최고!
급히 먹느라 사진 못찍었네요^^
접기","['음식이 맛있어요', '메뉴 구성이 알차요', '차분한 분위기에요', '친절해요', nan]"
원조태양칼국수,"wanderings
리뷰 2,572사진 1,526","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', nan]",1번째 방문,얼큰이 칼국수 많이 자극적이지 않고 괜찮았습니다. 양도 아주 많네요.,"['친절해요', '매장이 청결해요', '양이 많아요', '매장이 넓어요', nan]"
원조태양칼국수,"푸른하늘88
리뷰 261사진 412팔로워 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"비가오면 생각나는 칼국수 입니다.
역시 칼국수 좋아요
수육에 술한잔 합니다.
감사합니다
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '매장이 넓어요', '친절해요', nan]"
원조태양칼국수,"voej7398
리뷰 983사진 121","['저녁에 방문', '예약 없이 이용', '바로 입장', '여행', '친구']",1번째 방문,양이 진짜 많았어요,"['양이 많아요', nan, nan, nan, nan]"
원조태양칼국수,"김밍꽃
리뷰 1,386사진 1,613팔로워 77","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님']",4번째 방문,맛있어요 양완전푸짐해요👍,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"아말다말아들07
리뷰 587사진 520","['점심에 방문', '예약 후 이용', '바로 입장', '친목', '친구, 지인・동료']",2번째 방문,수육이 맛있어요,"['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', nan, nan]"
원조태양칼국수,"날씬하게
리뷰 2,845사진 33","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,친절해요~~근데 신암점에서 처음먹고 너무 맛있어서 본점인 신천점에 가봤는데 맛은 신암점이 더 맛있어요~,"['친절해요', nan, nan, nan, nan]"
원조태양칼국수,"세우보끔밥
리뷰 676사진 485","['점심에 방문', nan, nan, nan, nan]",4번째 방문,언제 먹어도 맛있어요:)!!,"['매장이 넓어요', '혼밥하기 좋아요', '음식이 맛있어요', nan, nan]"
원조태양칼국수,"SoSue
리뷰 1,488사진 985팔로워 29","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님, 친척・형제']",1번째 방문,맛있네요! 왜 추천했는지 알겠어요 칼국수면이 짬뽕면처럼 동그래요 아삭한 콩나물을 첨가해 먹는 게 특색있어요 특히 수육이 야들야들 큰 거 시킬 걸 그랬어요 😊,"['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '건강한 맛이에요', nan]"
원조태양칼국수,"잡덕수집가
리뷰 500사진 537","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",3번째 방문,풋고추가 엄청 크고 아삭 맛있어요,"['음식이 맛있어요', '가성비가 좋아요', nan, nan, nan]"
원조태양칼국수,"은채솔빠
리뷰 344사진 304팔로워 29","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"가격이 쎈 감이 있지만 국물맛은 촤고입니다
더불어 양도 맛도 수준급","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '건강한 맛이에요', '매장이 넓어요']"
원조태양칼국수,"kon****
리뷰 1,336사진 2,928팔로워 28테마 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"신천동 원조태양칼국수~날씨가 추워지니 따뜻한 떡국이랑 수육 소자 먹엇어요..예전에 겉절이가 맛잇엇는데 요즘 채소가 비싸그런가 상추도 없구.그래두 맛나게 먹엇어요
접기","['음식이 맛있어요', '양이 많아요', '매장이 넓어요', '단체모임 하기 좋아요', nan]"
원조태양칼국수,"바다로84
리뷰 11사진 9","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"콩국수 진하고 아주 맛있습니다. 콩국수 제대로 즐길 수 있어서 좋았습니다. 풋고추 안 맵고 정말 크고 실한것 무제한 주셔서 깜짝 놀랐습니다. 참고로 저는 서울에서 방문했는데 이렇게 크고 실한 고추 주시는곳 처음이어서 좋았습니다. 또 재 방문하겠습니다.
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '반찬이 잘 나와요']"
원조태양칼국수,"aja****
리뷰 19사진 26","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"아침시간인데도 사람들이 쫌 있더라구요~
여름에는 이열치열!! 잘 먹었습니다.
콩나물을 넣어서 먹는게 특이했어요~","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '매장이 넓어요']"
원조태양칼국수,"gamigoomi
리뷰 829사진 459","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",2번째 방문,양도 많고 맛도 있어요,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
원조태양칼국수,"잉여668
리뷰 642사진 24","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",2번째 방문,음식나오는 속도 맛 양 다 좋습니다.,"['음식이 맛있어요', '가성비가 좋아요', nan, nan, nan]"
원조태양칼국수,"gamigoomi
리뷰 829사진 459","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,콩국수 진하니 맛있었어요. 양도 많고 여름에 딱입니다,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
원조태양칼국수,"호호96
리뷰 865사진 145","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"해파맨45
리뷰 680사진 48팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",3번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
원조태양칼국수,"ssk****
리뷰 1,238사진 565","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"오랫만에 왔어요.
짜지 않은 김치, 콩나물 무침
그리고 메인 메뉴인 얼큰 칼국수.
바람불고 쌀쌀한 날에 맛나게먹고 왔네요.
대구 맛집 추천드립니다.
접기","['음식이 맛있어요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요', '친절해요']"
원조태양칼국수,"thoughtful22
리뷰 32사진 2","['저녁에 방문', '포장·배달 이용', '바로 입장', '일상', '혼자']",1번째 방문,친절하시고 맛있습니다,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"빈이가짱이지
리뷰 1,862사진 82","['점심에 방문', nan, nan, nan, nan]",2번째 방문,아기랑 갔는데 너무 잘 먹었습니다ㅎㅎ,"['매장이 넓어요', '양이 많아요', '가성비가 좋아요', '친절해요', '매장이 청결해요']"
원조태양칼국수,"세우보끔밥
리뷰 676사진 485","['저녁에 방문', nan, nan, nan, nan]",3번째 방문,얼큰칼국수 맛있어요 ㅎㅎ,"['음식이 맛있어요', '혼밥하기 좋아요', '단체모임 하기 좋아요', '친절해요', nan]"
원조태양칼국수,"파이팅89
리뷰 675사진 1","['점심에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"메이드NJ
리뷰 1,274사진 117팔로워 37","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친척・형제']",1번째 방문,주차할곳이 없어서 유료주차했고 칼국수 나오는 시간이 좀 걸렸습니다.양은 푸짐하고 밑반찬 셀프라서 편안하게 먹었습니다.,"['양이 많아요', '매장이 넓어요', nan, nan, nan]"
원조태양칼국수,"츄우닝
리뷰 35사진 6","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요 보통 칼국수면보다 오동통해요 ㅎㅎ,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"cigarillo25
리뷰 914사진 35","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",11번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"jhjj073190
리뷰 855사진 441팔로워 11","['점심에 방문', '바로 입장', '일상', '혼자', nan]",2번째 방문,여기 존맛탱집,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
원조태양칼국수,"jhjj073190
리뷰 855사진 441팔로워 11","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,여기 동대구역 찐맛집,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
원조태양칼국수,"TommyKang
리뷰 95사진 175테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,동료분과 먹었는데 양도 충분하고 고소해서 좋았습니다!,"['음식이 맛있어요', '가성비가 좋아요', '혼밥하기 좋아요', '친절해요', nan]"
원조태양칼국수,"뽀개미
리뷰 422사진 175팔로워 6테마 3","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상', nan]",1번째 방문,"여자셋 칼국수 하나씩 하고 수육대짜는 많다고 하셔서 수육 소,, 시켰는데 인당 다섯점이라 대자로 바로 바꿨는데 남기지 않고 먹었습니다","['음식이 맛있어요', nan, nan, nan, nan]"
원조태양칼국수,"yuni012
리뷰 24사진 17","['점심에 방문', '예약 없이 이용', '바로 입장', '지인・동료', nan]",1번째 방문,"회사근처 맛집!

국물이 끝내줍니다~","['매장이 넓어요', '단체모임 하기 좋아요', '양이 많아요', '가성비가 좋아요', nan]"
원조태양칼국수,"잉여668
리뷰 642사진 24","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,배부르고 좋습니다.,"['음식이 맛있어요', '가성비가 좋아요', nan, nan, nan]"
원조태양칼국수,"쟌올
리뷰 52사진 78","['저녁에 방문', '예약 없이 이용', '바로 입장', '혼자', nan]",1번째 방문,"양이 많아요. 맛은 적당히 맛있어요
친절한 곳. 매장이 넓으나, 주차공간은 적은편입니다
매장 앞 공간, 건너편 유료주차장있습니다","['양이 많아요', '가성비가 좋아요', '혼밥하기 좋아요', nan, nan]"
