STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
이화수 전통육개장,"su1979lee
리뷰 511사진 217팔로워 13","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,쿠폰도 주시고 친절하고 맛납니다.,"['음식이 맛있어요', '가성비가 좋아요', '혼밥하기 좋아요', '혼술하기 좋아요', '친절해요']"
이화수 전통육개장,"이쫀득
리뷰 935사진 262","['저녁에 방문', nan, nan, nan, nan]",12번째 방문,잘먹었습니다 회사에서 가까워서 좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
이화수 전통육개장,"장씅
리뷰 673사진 350팔로워 3","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요 👍 굿굿굿,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', '친절해요']"
이화수 전통육개장,"미미919
리뷰 16사진 16","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트, 일상', nan]",1번째 방문,"맛은 둘째치고 알바생이 너무 불친절하네요 이어폰을 끼고 일하고 사람말을 하면 대꾸도 안하고 괜히
기분좋게 밥먹으러 갔다가 기분만 상해서 돌아왔습니다
더보기","[nan, nan, nan, nan, nan]"
이화수 전통육개장,"정용35
리뷰 13사진 2","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",5번째 방문,항상 가서 먹는곳인데 양도 많고 맛도 변함없이 좋아요 여름에 몸 보신 제대로 하고 갑니다~~,"['매장이 넓어요', '혼밥하기 좋아요', '음식이 맛있어요', '재료가 신선해요', '양이 많아요']"
이화수 전통육개장,"Theking93
리뷰 277사진 44팔로워 4","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"계산하실때 날씨 더우신데 더위조심하세요 하는 곳은 최근에 처음이네요 친절하셨고, 알바생분은 지치셨던거같네요…ㅎㅎㅎ 맛있게 잘 먹었습니다","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
이화수 전통육개장,"뽀잉뽀잉뽀잉
리뷰 1,717사진 1,420팔로워 60","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,쏘쏘해요,"['재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', '메뉴 구성이 알차요', nan]"
이화수 전통육개장,"하노닌데옹
리뷰 6사진 5","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"사장님 친절하시고 너무너무 맛있어요 ~~
강력추천합니다 !!🤗🤗
다음에 또 갈게요 ~~^^","['혼밥하기 좋아요', '단체모임 하기 좋아요', '음식이 맛있어요', '재료가 신선해요', '양이 많아요']"
이화수 전통육개장,"슈렉왕비33
리뷰 1,348사진 165팔로워 35","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
이화수 전통육개장,"viv****
리뷰 992사진 48팔로워 2","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛은 괜찮은데 가격에 비해 육개장에 고기가 너무 적고 공간안이 울려서인지 그릇을 치우거나 끄는소리가 너무 커서 눈살이 찌프려졌어요.,"[nan, nan, nan, nan, nan]"
이화수 전통육개장,"곰돌이1397
리뷰 1,210사진 393","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어요,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
이화수 전통육개장,"별사탕니무57
리뷰 1,037사진 21","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
