STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
인생포차,"oranzi076
리뷰 32사진 17","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목, 나들이', nan]",1번째 방문,"💗인생포차의 장점💗

1. 이모님들이 너무 친절하시다
2. 다 맛있다
3. 야장 분위기가 좋다

음식도 맛있는데 이모님들이 유쾌하셔서 음식이 2배로 맛있었어요☺️ 분위기도 좋구 다음에 또 방문할께요~~ (강추!!!!!!❤️)
접기","['음식이 맛있어요', '가성비가 좋아요', '뷰가 좋아요', '아늑해요', '야외공간이 멋져요']"
인생포차,"hik****
리뷰 64사진 26","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구, 지인・동료']",1번째 방문,이모들도친절하시고 무엇보다도 밥이 무한리필이라는것이 너무 좋습니다 다음번에도 이용할께요,"['음식이 맛있어요', '기본 안주가 좋아요', '인테리어가 멋져요', '친절해요', nan]"
인생포차,"나니의주식
리뷰 133사진 717팔로워 3","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"집앞에 분위기좋고 값 저렴한 포차 ㅎㅎ자주이용합니다
기본안주도 주시구 특히 전이나 탕종류 맛있어요😍","['음식이 맛있어요', '기본 안주가 좋아요', '술이 다양해요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
인생포차,"데빌스카이
리뷰 365사진 880팔로워 7","['밤에 방문', '예약 없이 이용', '바로 입장', '여행', '친구']",1번째 방문,,"['가성비가 좋아요', '친절해요', '매장이 청결해요', nan, nan]"
인생포차,"rks****
리뷰 13사진 12","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트, 친목', nan]",1번째 방문,"같은 메뉴도 손맛에 따라 다르단걸 알게된 집이에요!

메뉴판이 최신화가 되지않는거 같아서 올려요!

옛날 팥빙수도 있어요!!(8000원)
접기","['음식이 맛있어요', '메뉴 구성이 알차요', '양이 많아요', '재료가 신선해요', '친절해요']"
인생포차,"희야4713
리뷰 649사진 944","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,,"['음식이 맛있어요', '대화하기 좋아요', '매장이 청결해요', '친절해요', nan]"
인생포차,"우당이50
리뷰 336사진 1,043팔로워 22","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",2번째 방문,"믿고 가는 인생포차 ~~ 가격도 합리적이고
확장한거 축하포카 드립니다","['음식이 맛있어요', '기본 안주가 좋아요', '술이 다양해요', nan, nan]"
인생포차,"시나브로1
리뷰 156사진 382팔로워 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', nan]",1번째 방문,안주들이 가격이 착해서 간단하게 친구들과 술마시기 좋아요!!,"['음식이 맛있어요', nan, nan, nan, nan]"
인생포차,"뽀잉뽀잉뽀잉
리뷰 1,717사진 1,420팔로워 60","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,좋아요,"['음식이 맛있어요', '기본 안주가 좋아요', '술이 다양해요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
인생포차,"아앙이52
리뷰 177사진 25","['저녁에 방문', nan, nan, nan, nan]",4번째 방문,"여기 찌개랑 계란말이 먹으면 종일 든든해요.
돼지고기도 잘잘한게 아님
이번 주에 또 포장해서 먹어야겠다...","['음식이 맛있어요', '양이 많아요', '친절해요', nan, nan]"
