STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
일공공샤브 현대시티아울렛대구점,"손이 시려워 꽁 발이 시려워 꽁
리뷰 2사진 1","['점심에 방문', '예약 없이 이용', '10분 이내', '친목', nan]",1번째 방문,"재료도 신선하고 맛도 좋습니다. 그런데, 식사 속도가 조금 늦은 편이라 시간이 어느정도 지나고 나니까 직원분이 오셔서 식사시간 끝나가니까 마무리 해달라고 하시길래 많이 당황했습니다. 첫 방문이고 시간 제한과 관련해서는 안내 받은 적도 없는데 이 부분은 참고하시면 좋을 것 같습니다.
그 후에 그 직원분께서 다른 직원분과 대화를 하시던데 아마 안 들릴 거라고 생각하셨는지 저 테이블에 시간 얘기한 적 있냐, 그리고 얼떨떨한 제 반응에 대한 대화도 들렸습니다. 적어도 손님이 있는 곳에선 그러시면 안되는 거 아닐까요? 음식이 맛있어서 재방문 하고자 했었는데 직원분 태도에 너무 실망했습니다.
접기","['재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', nan, nan]"
일공공샤브 현대시티아울렛대구점,"와이엠뮤직
리뷰 136사진 468팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,"아뿔싸~~
고기가 고기가~~부족하네요~~ㅎ
야채는 신선하고 좋습니다~
배불리 잘먹었습니다~~^^
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요']"
일공공샤브 현대시티아울렛대구점,"이블리맘2
리뷰 1,059사진 315팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이, 부모님']",1번째 방문,배부르게 잘먹었어요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요']"
일공공샤브 현대시티아울렛대구점,"Wendy02
리뷰 520사진 234","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"맛있어서 일주일에 한번씩 꼭 가요,,","['건강한 맛이에요', nan, nan, nan, nan]"
일공공샤브 현대시티아울렛대구점,"bombom봄봄
리뷰 654사진 903팔로워 14","['점심에 방문', nan, nan, nan, nan]",1번째 방문,ㆍ,"['음식이 맛있어요', nan, nan, nan, nan]"
일공공샤브 현대시티아울렛대구점,"나요킴
리뷰 447사진 559팔로워 19","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",2번째 방문,"고기 무한으로 시켰더니 채소를 많이 못넣었네요
나중에는 진한 고기국이 되버림
맛있습니다. 떡볶이도 은근 맛있음","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
일공공샤브 현대시티아울렛대구점,"눈누난나4191
리뷰 744사진 121","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"야채 리필 좋아요
엄청 배부르게 먹었어요","['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
일공공샤브 현대시티아울렛대구점,"나요킴
리뷰 447사진 559팔로워 19","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"너무 맛있고 배부르게 잘먹었습니다 떡볶이 맛있음
라면 사리가 좀 아쉽습니다 오래된득","['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
일공공샤브 현대시티아울렛대구점,"마추피추39
리뷰 709사진 35","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,그냥보통입니당 쏘쏘함,"['음식이 맛있어요', nan, nan, nan, nan]"
일공공샤브 현대시티아울렛대구점,"sspark7256
리뷰 1,321사진 152","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,,"['음식이 맛있어요', nan, nan, nan, nan]"
