STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
전주중앙회관 현대시티아울렛대구점,"Kim긍정
리뷰 525사진 629팔로워 25","['점심에 방문', '예약 없이 이용', '바로 입장', '연인・배우자', nan]",3번째 방문,"돌솥비빔밥 시키면 동태전과 김치전이 나와요.
순두부찌개도 같이나오는 세트라 좋아요.
개별 반찬나오는것도 굿!!
반찬은 똑같이 않고 갈때매다 바뀌더라고요.

음식 깔끔하고 직원분들 친절하시고
평일엔 주차도 무료에요.

늘 맛있게 먹고와요~
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '메뉴 구성이 알차요', '친절해요']"
전주중앙회관 현대시티아울렛대구점,"Kim긍정
리뷰 525사진 629팔로워 25","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",4번째 방문,"돌솥비빔밥 생각나서왔어요.
평일 주차 무료라 너무 편하고 올때마다 반찬도 바뀌고 맛있어요.
반찬도 1인당 1세트로 나와서 깔끔하고 좋아요.
접기","['반찬이 잘 나와요', '메뉴 구성이 알차요', '친절해요', '매장이 청결해요', '주차하기 편해요']"
전주중앙회관 현대시티아울렛대구점,"캡틴J
리뷰 2,081사진 722","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님']",2번째 방문,정갈하게 잘 나오는편입니다. 플러스포인트랑 hpoint까지 써서 잘 먹었습니다,"['음식이 맛있어요', '매장이 넓어요', '친절해요', '화장실이 깨끗해요', '주차하기 편해요']"
전주중앙회관 현대시티아울렛대구점,"Kim긍정
리뷰 525사진 629팔로워 25","['점심에 방문', '예약 없이 이용', '바로 입장', '연인・배우자', nan]",2번째 방문,"돌솥비빔밥 생각나서 갔는데 역시 꿀맛~

집 근처 돌솥비빔밥 찾다 알게된 곳인데 음식 깔끔하고 맛있어요.
평일 주차도 편하고 음식도 맛있고 친절하셔서
돌비 생각나면 또 가려고요.
추천해요. ❤️
접기","['매장이 청결해요', '음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '메뉴 구성이 알차요']"
전주중앙회관 현대시티아울렛대구점,"빛날희ㅎ
리뷰 413사진 250","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",1번째 방문,아기 밥 먹이고 한다고 식사 나오고 늦게 먹었는데도 돌솥밥이라 끝까지 따뜻하게 먹을 수 있었어요! ㅎㅎ 친절하시고 밥도 맛있게 먹었습니다 :),"['친절해요', '주차하기 편해요', '아이와 가기 좋아요', '건강한 맛이에요', nan]"
전주중앙회관 현대시티아울렛대구점,"Daniel5933
리뷰 100사진 233팔로워 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"친절한 고객응대
저렴한 가격, 우수한 맛과 품질
쾌적하고 위생적인 식사환경 및 주차장","['건강한 맛이에요', '반찬이 잘 나와요', '메뉴 구성이 알차요', '친절해요', '매장이 청결해요']"
전주중앙회관 현대시티아울렛대구점,"아이디어스
리뷰 59사진 232팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"생각보다 맛있어서 놀랐습니다. 비빔밥이 훌륭하고 순두부찌개도 같이 나와서 좋습니다. 잡채도 나온다고 했지만 아주 적은 양을 반찬수준으로 주시기 때문에 따로 메뉴에 강조를 안하시는게 좋겠어요!
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
전주중앙회관 현대시티아울렛대구점,"duf****
리뷰 607사진 511팔로워 7","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,낙지가 맵지않고.돌솥밥이 간도 적당하니 맛있어요.,"['음식이 맛있어요', '가성비가 좋아요', '건강한 맛이에요', '친절해요', nan]"
전주중앙회관 현대시티아울렛대구점,"옥쟈2
리뷰 1,758사진 480팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,굳,"['가성비가 좋아요', '건강한 맛이에요', '친절해요', '주차하기 편해요', nan]"
전주중앙회관 현대시티아울렛대구점,"Kim긍정
리뷰 525사진 629팔로워 25","['점심에 방문', '예약 없이 이용', '바로 입장', '연인・배우자', nan]",1번째 방문,"돌솥비빔밥이 먹고 싶어서 검색해 보다 알게된 곳인데 여기 너무 괜찮네요.
돌솥 비빔밥 맛있어요. 세트로 시키면 순두부찌개도 같이 나오고 김치전, 동태전도 나오는데 한끼먹기 좋아요.
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '메뉴 구성이 알차요', nan]"
전주중앙회관 현대시티아울렛대구점,"chello2000
리뷰 1,927사진 30","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 부모님']",3번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
전주중앙회관 현대시티아울렛대구점,"dan****
리뷰 401사진 326","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,점심시간 바빠서인지 정신이 없네요,"['주차하기 편해요', nan, nan, nan, nan]"
