STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
종가집,"쿼카곰도리
리뷰 63사진 111팔로워 3","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"대구에 놀러온 친구랑 지나가다가 들렀는데 비빔밥정식을 시키니깐 양도 많고 반찬도 잘나오고 맛있습니다😊푸짐하게 먹을수있어서 든든했어용 집밥이 땡기실때 오시면 좋을거같아요 〰️🩷
접기","['매장이 청결해요', '매장이 넓어요', '혼밥하기 좋아요', '건강한 맛이에요', '반찬이 잘 나와요']"
종가집,"마음이 따뜻한이
리뷰 367사진 4,256팔로워 65","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"수성구에 있는 돌솥밥 "" 종가집 ""

돌솥밥 10,0×4인 (돼지 두루치기+된장찌개)
고등어 구이 9,0

음식이 깔끔하고 맛있어요.
갓지은 흑미돌솥밥은 김치하나먀 놓고 먹어도
맛나는데 매콤한 된장찌개에 돼지 두루치기까지
그래도 고등어 구이도 먹고싶어 한마리 주문했는데
엄마 손맛처럼 깔끔한 식당입니다.
그리고 완전 가성비 짱입니다.

덕분에 맛있게 먹었습니다.
접기","['음식이 맛있어요', '가성비가 좋아요', '건강한 맛이에요', '친절해요', '음식이 빨리 나와요']"
종가집,"용용이9999
리뷰 66사진 14팔로워 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '혼밥하기 좋아요', '매장이 청결해요']"
종가집,"늘솔길285
리뷰 32사진 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,이번엔 고등어 정식 먹었는데 양푼이비빔밥이 더 나은듯,"[nan, nan, nan, nan, nan]"
종가집,"그래이거야이거
리뷰 291사진 1,214팔로워 9테마 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",1번째 방문,"이전한 종가집

여전히 맛있고 푸짐합니다!!

아이랑 고등어 먹고싶을때
돌솥밥 먹고싶을때 생각나서 와요

푸짐한 한정식 종가집

집밥 든든하게 먹고싶을때 오세요 😊
접기","['음식이 맛있어요', '가성비가 좋아요', '반찬이 잘 나와요', '메뉴 구성이 알차요', '매장이 청결해요']"
종가집,"늘솔길285
리뷰 32사진 5","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,적당했어요 가끔씩 먹으러 갈만합니다,"[nan, nan, nan, nan, nan]"
종가집,"섬김이로
리뷰 1,261사진 1,022팔로워 38","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,맛있게 먹었습니다.,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요', '매장이 청결해요']"
종가집,"규니4766
리뷰 68사진 13","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"지나가다가 들렸는데 생각보다 너무 맛있어서 리뷰 달게 되었어요!
메인 메뉴도 맛있고 반찬도 맛있는 집입니다!
돌솥밥, 보쌈정식, 솥뚜껑 삼겹 먹어봤는데 다 괜찮더라고요~
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
종가집,"stella2854
리뷰 238사진 21","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛있어요,"['가성비가 좋아요', nan, nan, nan, nan]"
종가집,"난하이 카오
리뷰 1,794사진 1,347팔로워 35","['점심에 방문', '예약 없이 이용', '10분 이내', '일상', nan]",1번째 방문,"음식이랑 사진을 찍지 못해 아쉽고...
기존 위치에서 50미터 정도 큰길 쪽으로 이잔 했더라구요.
찐 맛집...
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '인테리어가 멋져요', '친절해요']"
종가집,"lee****
리뷰 1,491사진 267","['점심에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', '친절해요', nan, nan, nan]"
종가집,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",1번째 방문,여기 돌솥밥 맛나요 ㅎㅎ 나오는데 시간이 조금 걸리긴했지만 음식이 맛있었어요,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '매장이 넓어요', '친절해요']"
종가집,"킴땡스
리뷰 1,146사진 276","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,맛있어요.~,"['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
종가집,"Sharon41
리뷰 4사진 8","['점심에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",1번째 방문,"점심 먹을곳 찾다가 이전한곳에서 보고 들어갔네요. 기존 식사주문 후 기다리시는 테이블이 꽤 있었지만, 고등어정식 시키니 금방 나왔어요. 푸짐하니 잘 먹었어요~ 된장찌개는 짜고 별 맛 있진않네요
접기","['양이 많아요', '가성비가 좋아요', nan, nan, nan]"
종가집,"happyday1903
리뷰 1,190사진 196","['점심에 방문', nan, nan, nan, nan]",2번째 방문,,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
종가집,"좋거나 맛있으면 온점누름
리뷰 2,440사진 84팔로워 19","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,.,"['음식이 맛있어요', nan, nan, nan, nan]"
