STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
청도콩나물라면굴국밥 본점,"binggrae5546
리뷰 62사진 82","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"첫방문이예요! 남편은 굴국밥 저는 콩나물국밥
배추김치와 단무지김치를 매일 관리하시는지 테이블마다 배치되어있어서 편하게 꺼내먹을수있는점이 참 좋기 다가왔어요. 음식 간도 적당하고 너무 맛잇었어요!
나중에는 콩나물비빔밥도 먹어볼래요~
접기","['혼밥하기 좋아요', '음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '반찬이 잘 나와요']"
청도콩나물라면굴국밥 본점,"A5Cabriolet
리뷰 142사진 52","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,이사가기전에 콩나물국밥과 굴국밥 먹으러 참 많이 가던 곳입니다. 여전히 맛있고 양도 많아서 겨울에 한그릇하기 정말 좋아요!,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
청도콩나물라면굴국밥 본점,"아말다말아들07
리뷰 587사진 520","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트, 가족모임', nan]",1번째 방문,뜨끈한 굴국밥 아이랑~,"['특별한 메뉴가 있어요', '가성비가 좋아요', nan, nan, nan]"
청도콩나물라면굴국밥 본점,"mif****
리뷰 473사진 68","['저녁에 방문', '예약 없이 이용', '바로 입장', '혼자', nan]",1번째 방문,맛있어서 순삭했어요 늦은 시간에 혼자 갔는데 사장님 친절하시고 매장도 넓고 청결합니다,"['음식이 맛있어요', '혼밥하기 좋아요', nan, nan, nan]"
청도콩나물라면굴국밥 본점,"참7
리뷰 581사진 131","['점심에 방문', nan, nan, nan, nan]",1번째 방문,.,"[nan, nan, nan, nan, nan]"
청도콩나물라면굴국밥 본점,"cigarillo25
리뷰 914사진 35","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",12번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
청도콩나물라면굴국밥 본점,"cigarillo25
리뷰 914사진 35","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",13번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
청도콩나물라면굴국밥 본점,"예쁜사람46
리뷰 294","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
청도콩나물라면굴국밥 본점,"dya60
리뷰 526사진 331","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,.,"['음식이 맛있어요', nan, nan, nan, nan]"
청도콩나물라면굴국밥 본점,"ChumMaum
리뷰 168사진 848팔로워 29","['점심에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",1번째 방문,"교육을 와서 동료들하고 전날 과음으로 해장을 하러 갔다. 25년 전통 콩나물국밥, 라면, 굴국밥 전문집! 우린 모두 굴국밥으로 통일~ 싱싱한 굴과 부추와 파로 시원한 국물로 속이 편해졌다. 우린 좀 이른시간에 갔는데 금방 사람이 꽉찼다. 도시 속에 국밥집, 인근서 과음 후 해장하고싶다면 추천~
접기","['재료가 신선해요', '건강한 맛이에요', '아늑해요', '음식이 빨리 나와요', nan]"
청도콩나물라면굴국밥 본점,"bae****
리뷰 1,384사진 169팔로워 14","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"콩나물국밥 콩나물라면 먹었는데 라면 양념이 매콤 칼칼하고 맛있어요 계속 먹다보면 간이 쎄서 좀 짠 느낌은 있고, 라면 먹다가 국밥 먹으면 너므 심심한맛","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '매장이 넓어요']"
청도콩나물라면굴국밥 본점,"TommyKang
리뷰 95사진 175테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"가성비 괜찮게 먹을 수 있어요
:)","['가성비가 좋아요', '혼밥하기 좋아요', nan, nan, nan]"
청도콩나물라면굴국밥 본점,"matzzoa
리뷰 67사진 67팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,혼밥하기 좋아요 완전 뚝딱 했습니당,"['혼밥하기 좋아요', '음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '친절해요']"
