STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
충무김밥이랑,"yeonheezxcv
리뷰 5사진 2","['점심에 방문', '포장·배달 이용', '10분 이내', '일상, 가족모임', nan]",1번째 방문,"갑자기 친구가 방문한대서 급하게 집근처 최애맛집 충무김밥 맛보여주려고 먼저 전화드리고가서 포장해와서 먹었어요
역시!!! 충무김밥 중 최고 국내산재료를 쓰신다니 믿음까지...
친구도 너무 맛있다고 순식간에 다 먹고 아들저녁으로 준다고 집에갈때 포장해 갔어요
사장님~~~
감사합니다~~~♡
접기","['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', '친절해요', '매장이 청결해요']"
충무김밥이랑,"suc****
리뷰 2,774사진 2","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,맛있게 먹었어요,"['매장이 청결해요', nan, nan, nan, nan]"
충무김밥이랑,"오프로님
리뷰 1,027사진 314","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,깔끔해요,"['음식이 맛있어요', nan, nan, nan, nan]"
충무김밥이랑,"Seong3
리뷰 11사진 15팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"음식이 너무 맛있어요ㅠㅠ
생긴지 얼마 안되서 가게도 엄청 깔끔하고, 사장님도 엄청 친절하세요ㅎㅎ
생기고나서 자주 방문했는데 리뷰는 첨이에요
앞으로도 자주 올거에요!
개인적으로 다 맛있는데 제 최애 메뉴는 비빔밥이에용
여기만 있는 메뉴라 다들 꼭 드셔보셨으면 좋겠어요
다음에 또 남자친구랑 친구들 다 데리고 오려구요ㅠㅠ
번창하세요~!!!
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', '혼밥하기 좋아요']"
충무김밥이랑,"지yaho
리뷰 8사진 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"종류별로 시켰는데 급하게 먹는라 한개 건졌다는…
오늘 너무 든든하게 잘먹었습니다😀😀😀
먹고 또 포장해가용ㅋㅋㅋㅋ
다음에 또 방문할게요👍
사장님 너무 친절하시고 좋아요😍😍
접기","['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', '친절해요', '매장이 청결해요']"
충무김밥이랑,"man****
리뷰 800사진 206","['점심에 방문', nan, nan, nan, nan]",5번째 방문,,"['음식이 맛있어요', '가성비가 좋아요', '친절해요', nan, nan]"
충무김밥이랑,"pur****
리뷰 728사진 72팔로워 3","['점심에 방문', '예약 없이 이용', '바로 입장', '혼자', nan]",6번째 방문,퇴근후 배고파서,"['혼밥하기 좋아요', nan, nan, nan, nan]"
충무김밥이랑,"orange lily
리뷰 26사진 22팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,공복 건강검진후 우연히 찾은곳인데 맛집이네요 해외에 분점 차리시면 국위선양 할 수준입니다~♡,"['음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요', '친절해요', '매장이 청결해요']"
충무김밥이랑,"man****
리뷰 800사진 206","['저녁에 방문', nan, nan, nan, nan]",4번째 방문,,"['음식이 맛있어요', '가성비가 좋아요', '친절해요', nan, nan]"
충무김밥이랑,"원7646
리뷰 1,121사진 12팔로워 3","['점심에 방문', '예약 없이 이용', nan, nan, nan]",1번째 방문,다음에도이용하겠습니다,"['특별한 메뉴가 있어요', nan, nan, nan, nan]"
충무김밥이랑,"제이블
리뷰 786사진 1,179팔로워 100","['점심에 방문', nan, nan, nan, nan]",4번째 방문,한번씩 오는 곳이에요 ◡̈ 쭈꾸미로 꼭 드셔보기 ♥️ 깍두기가 항상 양이 작았는데 알고보니 더 주시네요 ◡̈ 감사히 잘 먹구 갑니당 !,"['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', nan, nan]"
충무김밥이랑,"베트남에반하다
리뷰 1,776사진 140","['저녁에 방문', nan, nan, nan, nan]",2번째 방문,.,"[nan, nan, nan, nan, nan]"
충무김밥이랑,"알콩달콩2
리뷰 678사진 163","['저녁에 방문', '포장·배달 이용', '바로 입장', '일상', nan]",1번째 방문,충무김밥은 이집이 최고에요,"['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', '친절해요', nan]"
