STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
큰맘할매순대국 대구신천점,"토마토 맛슐랭
리뷰 39사진 190테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",4번째 방문,"추천합니다.
10점 만점에 10점입니다.","['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', nan, nan]"
큰맘할매순대국 대구신천점,"냐냐아아
리뷰 579사진 203","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,가성비 굿,"['음식이 맛있어요', '단체모임 하기 좋아요', nan, nan, nan]"
큰맘할매순대국 대구신천점,"Leehd50
리뷰 362사진 38","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"평점이 좋아서 갔는데..
순대국밥은 먹을만 했는데
수육국밥은 최악이였어요 ..
맹탕에 다대기만 넣어서 짜고 이런 국밥고기는 처음 보는 …앞다리살을 썼는지.. 저걸 수육국밥이라고 내는게
좀 그렇네요
진짜 배 채우는 정도만 먹고 나왔습니다
접기","['친절해요', '매장이 청결해요', nan, nan, nan]"
큰맘할매순대국 대구신천점,"토마토 맛슐랭
리뷰 39사진 190테마 1","['점심에 방문', '예약 없이 이용', '일상', '지인・동료', nan]",2번째 방문,"추천합니다.
10점 만점에 10점입니다.

잘 먹었습니다 !!!
접기","['인테리어가 멋져요', '음식이 맛있어요', '고기 질이 좋아요', nan, nan]"
큰맘할매순대국 대구신천점,"TommyKang
리뷰 95사진 175테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"순대국8,000
양이 제법 있는 편이고 비린내 없고 직원분께서 친절하십니다!","['양이 많아요', '혼밥하기 좋아요', nan, nan, nan]"
큰맘할매순대국 대구신천점,"솜털뭉게구름
리뷰 363사진 5","['점심에 방문', nan, nan, nan, nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
큰맘할매순대국 대구신천점,"에이든92
리뷰 173사진 430","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,혼자서 순대국밥 먹으러 왔어요 고기 양이 많더라구요 홀에 서빙하시는분 친절하구요 맛도 체인이라 평균 이상은 합니다,"['양이 많아요', '혼밥하기 좋아요', nan, nan, nan]"
큰맘할매순대국 대구신천점,"te****
리뷰 354사진 17","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",4번째 방문,직원분이 아주 친절하시고 반찬도 잘챙겨주셔서 갈때마다 음식도 맛있고 편안함을 느낍니다^^~~,"['음식이 맛있어요', '친절해요', nan, nan, nan]"
큰맘할매순대국 대구신천점,"박쏘쥬
리뷰 537사진 2,249팔로워 31","['점심에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"추운겨울 뜨끈한 국물이 일품인 순대국
순대국 종류가 많다고 추천 받아서
큰맘할매순대국집으로 방문했어요
가보니 정말 순대국 종류가 많더라구요
통통한 토종순대과 고기 긜고 부대고기까지
정말 푸짐하게 들어 있었어요
색다른 순대국 드시고 싶을때 방문하기 좋은 곳이었어요
접기","['특별한 메뉴가 있어요', '혼밥하기 좋아요', '아이와 가기 좋아요', '음식이 빨리 나와요', '좌석이 편해요']"
큰맘할매순대국 대구신천점,"bvcxzmn
리뷰 809사진 719팔로워 34테마 10","['점심에 방문', '예약 없이 이용', '바로 입장', '친목, 일상, 회식, 가족모임', nan]",1번째 방문,음식 맛있고 가성비 좋아요,"['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '혼밥하기 좋아요', '음식이 빨리 나와요']"
