STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
타샤의식탁,"깜찍이브
리뷰 132사진 675팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"오랜만에 정통 경양식 레스토랑에서 먹던 제대로 된
함박스테이크를 먹고 왔는데요. 칼로 써는데 부드럽게 잘 썰어지고 소스도 진하고 풍미가 좋았습니다. 스프카레를 한 그릇 먹고 나니 몸이 마구 건강해지는 느낌. 요런 숨은 맛집을 왜 이제 알았나 싶더라구요. 타샤의식탁에 다음에 친구들과 모임으로도 오고 싶고 요런 좋은 재료로 정성스럽게 만든 음식 생각하면 부모님하고도 오고 싶지요. 마치 외국에 작은 마을에서 먹는 가정식 음식이 생각났던 타샤의 식탁입니다^^
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '친절해요', nan]"
타샤의식탁,"말랑인걸까
리뷰 393사진 163","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"할머니와 함께 방문했습니다
인근에 위치하고 있어 모시고 올수있어 좋았어요
사장님 혼자 조리를 하신다고 알고 방문했는데 빠르게 조리해주셨어요 ㅇㅁㅇ
샐러드도 하나 더 챙겨주시고 감사했습니다
카레나 함박스테이크 소스도 넉넉히 주셔서 좋았습니다
스프카레를 먹고싶었는데 해당일엔 하지않으셔서 아쉬웠어요 함박스테이크도 돈까스도 고기가 잡내없이 부드럽습니다 파스타소스도 토마토맛이 많이나 좋았어요
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '친절해요', '매장이 청결해요', nan]"
타샤의식탁,"채희파파
리뷰 226사진 894팔로워 11","['점심에 방문', '예약 후 이용', '바로 입장', '나들이', '지인・동료']",1번째 방문,"신천동에서 데이트 중 💕 버스에서 내리다가 우연히 봤던 '타샤의 식탁'에 왔어요! 🙈 아담하고 예쁜 분위기가 너무 좋아요. 🥰 베이컨 크림 파스타랑 치킨 카레 덮밥을 주문했는데, 냄새부터 장난 아니에요! 😋 얼른 먹어보고 싶어요! 🍽️ #신천동맛집 #타샤의식탁 #데이트 #맛스타그램
접기","['음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요', '혼밥하기 좋아요', '매장이 청결해요']"
타샤의식탁,"맛소클짱
리뷰 257사진 1,399팔로워 6테마 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,"함박스테이크 맛집이라던데 고기 풍미도 좋고 소스와 잘 어울렸어요
크림파스타도 고소하면서 맛있고
하루 3접시 판매하는 찹스테이크도 고기도 연하고 좋네요
어머니 모시고 갔는데 맛있게 잘 드셨어요
조용한 분위기도 좋고 깔끔해서 더 좋아요
접기","['특별한 메뉴가 있어요', '고기 질이 좋아요', '향신료가 강하지 않아요', '차분한 분위기에요', '대화하기 좋아요']"
타샤의식탁,"철부사모
리뷰 241사진 451팔로워 12","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",1번째 방문,"요즘 주변에 후기가 많이 보이길래 일부러 찾아옴
상호도 예쁜데 가게는 더 이쁘다
함박스테이크맛집이라지만 나의 원픽은 크림파스타
꾸덕하고 고소하고 뜨겁고 여튼 맛있음
사장님 혼자 운영으로 조리하는데 시간은 좀걸림
지금 이벤트기간으로 커피쿠폰있음
드립커피 한잔하면서 맛있는 식사 마무리~
접기","['음식이 맛있어요', '인테리어가 멋져요', '혼밥하기 좋아요', '친절해요', '화장실이 깨끗해요']"
타샤의식탁,"쿄쿄1759
리뷰 149사진 233팔로워 4","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,맛있어요 ☺️,"['아늑해요', '주차하기 편해요', '음식이 맛있어요', '양이 많아요', '건강한 맛이에요']"
타샤의식탁,"바람돌이k
리뷰 70사진 63팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '혼자', nan]",1번째 방문,함박스테이크 좋아하는 분들은 한번쯤 가볼만 합니다,"['혼밥하기 좋아요', '음식이 맛있어요', nan, nan, nan]"
타샤의식탁,"천상연의
리뷰 280사진 805팔로워 27","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,분위기좋은 동네맛집 느낌이에요. 가게내부도 이쁘고 음식너무 깔끔해요. 함박스테이크살살녹네요,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', '혼밥하기 좋아요']"
타샤의식탁,"형광파자마
리뷰 52사진 54","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,함박스테이크 숨은 맛집. 소문 듣고 갔는데 이 가격에 이런 수준이라니 ..함박 좋아하시는 분은 후회 안하실 듯. 80년대 전통 함박 느낌.,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '인테리어가 멋져요', '혼밥하기 좋아요']"
타샤의식탁,"qu****
리뷰 19사진 8","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"함박스테이크 먹고 맛있어서 또 가서 오징어 덮밥 먹었는데 이것도 맛있었습니다.가까운 곳에 맛집 발견해서 좋아요.혼밥하기도 좋고 인테리어도 예뻐서 친구들이랑 약속해도 좋을거 같아요.
접기","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
타샤의식탁,"봉4759
리뷰 19사진 16","['저녁에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,"맛있어요.
낮에 다른 식당에 가서 리뷰이벤트에 낚여 맛없는 음식 먹고 난 뒤라 그런지 이런 장인정신이 있는 식당을 우연히 발견하게 되면 기분이 좋습니다.
음식이란게 취향은 타겠지만 한번은 꼭 먹어보고 판단하면 좋을 곳이예요!!
오래동안 운영해 주셨으면 합니다
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '반찬이 잘 나와요', '메뉴 구성이 알차요']"
타샤의식탁,"ELLYKEN
리뷰 273사진 76","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '친절해요', '매장이 청결해요']"
타샤의식탁,"kts****
리뷰 4사진 3","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"함박스테이크 맛집이라고 해서 일부러 찾아간 집. 이유 알듯. 맛이좋음.
다른 음식도 기본 이상. 주차가 힘든데 식사시간 에는 가게 앞 도로에 주차해도 된다고 함
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '건강한 맛이에요', '커피가 맛있어요']"
타샤의식탁,"0na****
리뷰 6","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,아직 알려지지 않아서 그런지 조용하지만 내가 좋아하는 경양식집. 음식이 전부 맛있고 맛있음.,"['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', '친절해요', '특별한 날 가기 좋아요']"
타샤의식탁,"몽플
리뷰 959사진 78팔로워 7","['점심에 방문', '예약 없이 이용', '30분 이내', '친목, 가족모임', nan]",1번째 방문,좋아요,"['인테리어가 멋져요', '매장이 넓어요', nan, nan, nan]"
타샤의식탁,"패트릭129
리뷰 60사진 1팔로워 4","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"가격이 있는것 같지만 그래도 양과 맛이 보장된 느낌임. 사장님 혼자 하시는 집인거 같은데 소스부터 반찬도 다 직접하시는 느낌. 시판소스를 거의 안쓰시는거 같음. 토마토 소스는 특히 직접 갈아서 퓨레로 쓰시는거 같은데 자극적이고 피자 소스 같은걸 원하는 사람들은 안맞을듯. 나는 새콤하고 은은한 감칠맛에 질감도 좋아서 두번째 방문함. 함박 스테이크 데미그라스 소스도 직접만드시고 패티도 직접 다져서 쓰시는거 같은데 식감이 살아있으면서 고기도 탱글하니 아주 괜찮음. 양이 적은거 같아도 충분한 양이니 먹어보고 더 시킬것. 추천은 돈까스 파스타에 햄벅스테이크, 그리고 양고기집가면 주는 스프카레를 좋아한다면 스프카레까지 추천. 먹어본거 다 기본에 충실한 안망했음 하는 동네 집밥. 4.1
접기","['건강한 맛이에요', '향신료가 강하지 않아요', '아늑해요', '차분한 분위기에요', nan]"
타샤의식탁,"최수연39
리뷰 1,704사진 3","['아침에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",7번째 방문,돈까스 맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
타샤의식탁,"먹으러왔어요
리뷰 264사진 279","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"음식은 먹을만해요
소스도 다 만드시는 것 같은데 사장님 혼자서 운영하시는지 식사가 30분만에 나와서 좀 그랬네요","[nan, nan, nan, nan, nan]"
타샤의식탁,"coe****
리뷰 1,178사진 317팔로워 5","['아침에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,맛있어요. 깔끔하고 여러가지 시켜서 나눠먹기 좋아요~,"['음식이 맛있어요', nan, nan, nan, nan]"
타샤의식탁,"pyr****
리뷰 65사진 47","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"사장님 친절하시고 가성비있게 음식도 맛있습니다!
재방문 의사 백프로에용!!","['음식이 맛있어요', '가성비가 좋아요', '아늑해요', nan, nan]"
타샤의식탁,"ymmm77
리뷰 5사진 5","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"동네라 지나다 식사하려고 들어와서 주문하고 앉아서 리뷰를 보니 안좋은 이야기도 좀 있어서 식사후 리뷰 남깁니다. (귀찮아서 잘 안하는데…)
매장은 셀프서비스로 운영되고 식사값 생각하면 요즘물가에 합리적인 가격과 운영인것 같습니다. 기본 돈까스 시켰는데 맛있었고 같이 나온 양상추 샐러드 풍성해서 다 좋았어요. 돈가스 소스는 직접 만드신 거라 자극적인맛없이 맛있고 순한 느낌이고 좋았습니다.
다음에 다른 메뉴 먹어보려고 합니다
접기","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
타샤의식탁,"날고싶은카이
리뷰 1,951사진 756","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",2번째 방문,"평이한 수준이예요. 맛대비 가격이 비싼듯.
하이볼은 맛없 ㅠㅠ","[nan, nan, nan, nan, nan]"
타샤의식탁,"최수연39
리뷰 1,704사진 3","['아침에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",6번째 방문,돈까스 맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
타샤의식탁,"cherry0406
리뷰 1,483사진 5,350팔로워 118","['점심에 방문', nan, nan, nan, nan]",1번째 방문,"가게가 넘 아담하게 이뻐요ㅎ
채소가 넘 신선해서 아삭아삭하게 잘 먹었네요ㅎ","['음식이 맛있어요', '재료가 신선해요', '인테리어가 멋져요', nan, nan]"
타샤의식탁,"동동공쥬
리뷰 436사진 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,"아이와 같이 방문했어요
친절하고 맛있어요
또갈게요","['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
타샤의식탁,"god****
리뷰 14사진 5","['점심에 방문', nan, nan, nan, nan]",1번째 방문,음식이 매우 맛있으면서도 자극적이지 않은 건강한 맛이라 좋았어요. 인테리어도 예쁘고 사장님도 엄청 친절하셨습니다! 다음에도 또 방문하고 싶어요,"['음식이 맛있어요', '가성비가 좋아요', '건강한 맛이에요', '인테리어가 멋져요', '차분한 분위기에요']"
타샤의식탁,"최수연39
리뷰 1,704사진 3","['점심에 방문', '예약 없이 이용', '바로 입장', '회식', '지인・동료']",5번째 방문,돈까스 맛있어요,"['음식이 맛있어요', nan, nan, nan, nan]"
타샤의식탁,"jeennjenne
리뷰 6사진 4","['점심에 방문', nan, nan, nan, nan]",2번째 방문,항상 맛있어용 밑반찬도 너무 맛있구요 오늘은 포장해가서 먹었는데 양이 진짜 많아서 배터질것같아요ㅜㅜ😍자주 갈게요💕,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
타샤의식탁,"yeo****
리뷰 1,849사진 958팔로워 21","['점심에 방문', nan, nan, nan, nan]",1번째 방문,맛은 깔끔하고 함박이 맛잇어요,"['친절해요', '매장이 청결해요', nan, nan, nan]"
타샤의식탁,"wc-****
리뷰 1,994사진 59","['밤에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,,"['음식이 맛있어요', '특별한 메뉴가 있어요', nan, nan, nan]"
