STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
투다리 동대구점,"gks****
리뷰 1,879사진 1,382팔로워 102","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자, 아이']",1번째 방문,김치우동 맛나요 ㅎㅎ 생맥주도 굿굿! 매장 깔끔해서 좋습니다,"['음식이 맛있어요', '기본 안주가 좋아요', '술이 다양해요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
투다리 동대구점,"버미껌딱지
리뷰 1,052사진 128","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"기존 투다리랑은 분위기 완전달라요 젊음이 느껴진다랄까
또가고싶네요","['음식이 맛있어요', '술이 다양해요', '친절해요', '음식이 빨리 나와요', '인테리어가 멋져요']"
투다리 동대구점,"아리엘세바스챤
리뷰 266사진 359팔로워 16테마 2","['밤에 방문', '예약 없이 이용', '바로 입장', nan, nan]",2번째 방문,"안주맛있고 , 가성비 좋아요 👏","['단체모임 하기 좋아요', '음식이 맛있어요', '기본 안주가 좋아요', nan, nan]"
투다리 동대구점,"0v07
리뷰 666사진 1,052","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,괜츈ㅎ,"['기본 안주가 좋아요', '가성비가 좋아요', nan, nan, nan]"
투다리 동대구점,"아리엘세바스챤
리뷰 266사진 359팔로워 16테마 2","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,김치우동 👍🏻👍🏻👍🏻👍🏻,"['대화하기 좋아요', '혼술하기 좋아요', '음식이 맛있어요', nan, nan]"
투다리 동대구점,"푸우글렛
리뷰 506사진 1,064팔로워 68","['저녁에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"주말이라 손님 많았어요
투다리가 신식이네요 ㅎㅎ 옛날 투다리 감성을 느껴보고 싶었는뎅 ㅎㅎ
김치우동 기대했는데 아쉬웠고 꼬지는 짭쪼름하니 괜찮았습니다^^
더보기","[nan, nan, nan, nan, nan]"
투다리 동대구점,"top****
리뷰 1,074사진 3","['밤에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
투다리 동대구점,"ken****
리뷰 13사진 9","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"맛은 나쁘지 않았음
음식 되게 늦게 나오고 서비스는 그닥 ...","[nan, nan, nan, nan, nan]"
투다리 동대구점,"째째째2222
리뷰 128사진 42","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,메뉴도 많고 맛있어요!,"['술이 다양해요', '가성비가 좋아요', nan, nan, nan]"
투다리 동대구점,"핑크뮬리1111
리뷰 312사진 358팔로워 26","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어요!,"['아늑해요', '음식이 맛있어요', nan, nan, nan]"
투다리 동대구점,"쵸딩입맛88
리뷰 214사진 358팔로워 12","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"많은 투다리 매장들이 있지만
여긴 그중 상위권일 것같습니다ㅎㅎ
매장 내부도 깔끔하고 음식맛도
상당히 좋았습니다ㅎㅎ
접기","['음식이 맛있어요', '인테리어가 멋져요', '매장이 청결해요', nan, nan]"
투다리 동대구점,"규규규76
리뷰 1,053사진 676팔로워 28","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,김치우동 처음 먹어보는데 명성보다는 아쉬운 맛이었어요.,"['대화하기 좋아요', nan, nan, nan, nan]"
투다리 동대구점,"alw****
리뷰 777사진 522팔로워 5","['밤에 방문', '30분 이내', '친목', '친구', nan]",1번째 방문,주말이라 사람 많더라구요 대기 20분정도 하고 들어갔아요 이전에도 온적있는데 인테리어가 바뀌어서 매장이 깨끗해요,"['음식이 맛있어요', nan, nan, nan, nan]"
투다리 동대구점,"뚱보나라공주
리뷰 1,838사진 326팔로워 28","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,굿굿,"['음식이 맛있어요', nan, nan, nan, nan]"
투다리 동대구점,"0416in
리뷰 178사진 320팔로워 16","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"오랜만에 김치우동먹으러 투다리🥰
역시나 쫄깃한 면발과 뜨끗한 국물!
너무 맛있네용! 담에 또 올게용!","['음식이 맛있어요', '가성비가 좋아요', '대화하기 좋아요', '아늑해요', nan]"
투다리 동대구점,"wonsajang
리뷰 851사진 2","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['혼술하기 좋아요', nan, nan, nan, nan]"
투다리 동대구점,"가냐아앙
리뷰 13사진 13","['밤에 방문', '예약 없이 이용', '바로 입장', '데이트', '연인・배우자']",1번째 방문,"여기는알바생때메망할곳 물달라니까 셀프라하기에 갖다먹음 물다먹어서 셀프로 물통하나더꺼냄 그러자 테이블당 한병이라고 뺏음......어디고지되어있었나요?취해서 못본건지 그렇다고 뺏기까지...좋은기분망치고 갑니다^^
예전 남알바생도 만만치않았는데 여기는 알바생이 갑인듯
더보기","[nan, nan, nan, nan, nan]"
투다리 동대구점,"gkdus219
리뷰 831사진 683","['저녁에 방문', '예약 없이 이용', nan, nan, nan]",1번째 방문,좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
