STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
팔팔 소뼈 해장국,"다리만비욘세
리뷰 1,099사진 2,139팔로워 115테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",2번째 방문,"또간집~!!
벌써 3번째네요~
오늘은 가문어뼈찜에 낮수~~ㄹ!!!
푸짐한거 보이시죠~!!?
맵기조절도되고 일단 너무 맛있어요
배달도 되는거 오늘알았어요

마무리 볶음밥까지 완벽한 한끼였네요
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '가성비가 좋아요', '친절해요']"
팔팔 소뼈 해장국,"Happyminmk
리뷰 2,767사진 7,775팔로워 102","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"직장인 점심 맛집으로
근처 직장인들이 엄청 오더라는
팔팔 끓여서 팔팔
힘이나서 팔팔
팔팔소뼈해장국 오늘 점심으로 어떠세요?
저는 잘 먹었습니다
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '혼밥하기 좋아요']"
팔팔 소뼈 해장국,"asd****
리뷰 33사진 35","['점심에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",1번째 방문,"너무 맛있어요
종종 먹으러 옵니다!!!","['음식이 맛있어요', '재료가 신선해요', '혼밥하기 좋아요', nan, nan]"
팔팔 소뼈 해장국,"나람지콩
리뷰 23사진 43","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"부모님이랑도 가고 친구랑도 갔던 곳이에요!ㅎㅎ 저희 직장 근처에 이런 식당있었으면 진심 매일 갔을거같아요👍🏻 해장하기에도 혼밥하기에도 최고입니당! 사진 보니까 또 가고 싶음..🤤
접기","['혼밥하기 좋아요', '음식이 맛있어요', '양이 많아요', '친절해요', '매장이 청결해요']"
팔팔 소뼈 해장국,"뀨리감기기
리뷰 19사진 14","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"점심시간에 자주 와요
해장에도 좋고 맛있습니다","['음식이 맛있어요', '양이 많아요', nan, nan, nan]"
팔팔 소뼈 해장국,"다리만비욘세
리뷰 1,099사진 2,139팔로워 115테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"소뼈해장국 가성비! 맛!
미쳤어요~
푸짐하고 너무 맛있어서 자주올것같네요~
고추랑 마늘다대기 같이주시는거 넘 좋네요!!
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '친절해요', '매장이 청결해요']"
팔팔 소뼈 해장국,"마장동곽두
리뷰 29사진 48","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"소뼈해장국먹으러 왓어요~ 이제까지 등뼈해장국만 먹어봣어 좀생소햇는데 왠걸.... 진짜 진짜 맛있어요... 가문어찜만 먹으려다가 탕도잇으면 좋을꺼같아서 소뼈해장국 얼큰한거 시켯는데 고기 진짜많고 부드러워서 핵놀람🫢
밥도 공기밥이나 솥밥 우동으로 변경가능하니 이건 취향껏 드시면 될꺼같아요~
가문어뼈찜도 진짜진짜 맛있음 ㅜ ㅜ 매웟는데 맛있게 맵고 사장님이 다 손질해주셔서 편하게 잘먹엇습니당💗 너무맛잇어서 술도 술술들어감..ㅋㅋ해장국 맑은맛도잇으니 애기있으신분들은 그거시켜도 될꺼같아요! 담에 또 방문하겟습니당😚😚
맛있고 사장님도 친절하셔서 너무 기분좋은 식사를 하고왓슙니닷! 잘먹엇습니당~
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '매장이 넓어요', '친절해요']"
팔팔 소뼈 해장국,"사랑6722
리뷰 8사진 7","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",4번째 방문,"헐--/너무너무 맛있어요 ㅠ
양이 미친듯이 많고 고기가 홀랑 벗겨지는데 갈비탕 같아요.만원에 이만큼이라니-!","['친절해요', '음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '메뉴 구성이 알차요']"
팔팔 소뼈 해장국,"미식가대구댁
리뷰 79사진 166팔로워 9","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트, 친목', nan]",1번째 방문,"돼지뼈 해장국은 먹어봤지만 소뼈 해장국은 처음 먹어봤는데 야들야들한 고기도 진짜 많이 들어있고 국물이 시원하면서도 깔끔해서 먹고나서도 속이 부대끼지 않는 고급진 맛이네요~
녹두빈대떡은 사장님이 이북에 사셨던 할머님께 전수 받은 레시피로 만드셨데요~ 고소한 전통 빈대떡에 파채무침은 완전히 꿀조합👍
집 가까운데 이런 맛집이 생겨서 너무너무 좋아요😆
접기","['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '건강한 맛이에요', '매장이 넓어요']"
팔팔 소뼈 해장국,"지원맘22
리뷰 582사진 722팔로워 5","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,"소뼈해장국 깔끔이,얼큰이 둘다 맛있어요
(깔끔이에 후추, 간마늘을 넣어먹으면 더 깔끔해지는맛,,매운맛을 좋아한다면 얼큰이에 간마늘,청양고추를 추가해주면 칼칼하면서 맛이 더 진해지는 느낌)

고기양이 넉넉하고!!!우거지,콩나물,당면,계란지단이 속에 알차게 들어있고요
고기 누린내 하나도 안나면서 맛있고
간도 적당했어요!!!!!
접기","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '혼밥하기 좋아요', '친절해요']"
