STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
포유샐러드플레이트 신천점,"새즈6
리뷰 261사진 298팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,"사이 시간에 맞춰서 지나가다가 샐러드 가게 있는 거 본 기억이 있어서 들렀는데 깔끔하고 맛있었어요. 두부텐더로 된 샐러드가 있길래 주문했는데 맛있었어요. 가게 깔끔하고 좋아요.
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '혼밥하기 좋아요', nan]"
포유샐러드플레이트 신천점,"ayozz94
리뷰 27사진 21","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"회사근처라 종종오는데 샐러드맛있어요
항상 치킨텐더샐러드먹는데 채소구성도 알차고 토핑도 많이올려줘서좋아요 굳굳","['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '차분한 분위기에요', '음악이 좋아요']"
포유샐러드플레이트 신천점,"이쥬21
리뷰 29사진 77","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친척・형제']",1번째 방문,"다이어트 식단 중인데 동대구역 근처에 이런 가게가 있어서 너무 좋아요~
새우도 통통하고 바삭하고 볶음밥도 맛있구 간도 딱 좋아요~
접기","['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', '혼밥하기 좋아요']"
포유샐러드플레이트 신천점,"세우보끔밥
리뷰 676사진 485","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,"오리훈제샐러드에 치킨텐더 추가해서 먹었습니당
밥도 소량 있어서 샐러드지만 든든하게 먹었어요 ㅎㅎ
다만 7시반 라스트오더라고 되어있는데 실제로 매장 방문하니 7시반까지 다 먹고 나가달라고 하셔서 그 부분은 아쉬웠어요,, 오리훈제샐러드 맛있어서 추천합니다!
접기","['재료가 신선해요', '혼밥하기 좋아요', nan, nan, nan]"
포유샐러드플레이트 신천점,"밈밈40
리뷰 9사진 9","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"매장이 깔끔하고 종류도 다양해서 너무 좋아요
건강식으로 챙겨먹을 때 오면 딱이예요","['혼밥하기 좋아요', '아늑해요', '음식이 맛있어요', '재료가 신선해요', '양이 많아요']"
포유샐러드플레이트 신천점,"레리아나
리뷰 1,078사진 1,661팔로워 42테마 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"나의 최애 샐러드집이에요 ㅎ
혁신도시 본점 가다가 올만에 여기왔는데..
신메뉴도 생기고 역시 신선하고 맛있네요 ㅎ","['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '혼밥하기 좋아요', nan]"
포유샐러드플레이트 신천점,"Ranii95
리뷰 34사진 97","['점심에 방문', '예약 후 이용', '10분 이내', '일상', '친구, 지인・동료']",1번째 방문,"회사 근처 샐러드맛집인 포유샐러드!!
양도 넉넉하고 점심으로 먹으면 생각보다 든든해요!!
점심시간은 아무래도 대기가 길 수 있으니까 미리 주문하고 가면 좋을것 같아요!
접기","['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', '혼밥하기 좋아요', '친절해요']"
포유샐러드플레이트 신천점,"호두2233
리뷰 10사진 14","['점심에 방문', '예약 후 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,맛있고 양 많아요 🧚🏻‍♀️🧚🏻‍♀️,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
포유샐러드플레이트 신천점,"세우보끔밥
리뷰 676사진 485","['점심에 방문', nan, nan, nan, nan]",2번째 방문,꿀 그래놀라 그릭요거트 맛있어용!,"['혼밥하기 좋아요', '재료가 신선해요', '건강한 맛이에요', nan, nan]"
포유샐러드플레이트 신천점,"세우보끔밥
리뷰 676사진 485","['점심에 방문', nan, nan, nan, nan]",3번째 방문,꿀 그래놀라 그릭 요거트 자주 사먹어요! 맛있습니당,"['음식이 맛있어요', nan, nan, nan, nan]"
포유샐러드플레이트 신천점,"짹짹이93
리뷰 914사진 20","['점심에 방문', nan, nan, nan, nan]",1번째 방문,샐러드가 신선하고 한끼 식사로 너무 좋아요!!바로 조리해줘서 더 맛있습니당:),"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
포유샐러드플레이트 신천점,"tete s
리뷰 64사진 55팔로워 6테마 4","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', nan]",1번째 방문,고기 양도 푸짐해서 맛있게 잘 먹었습니다,"['음식이 맛있어요', '재료가 신선해요', '가성비가 좋아요', '건강한 맛이에요', nan]"
포유샐러드플레이트 신천점,"홍이0519
리뷰 224사진 1,969팔로워 9","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"건강하게 한끼 먹고 싶어서 방문했습니다:)
다양한 토핑 추가 가능해서 좋구요, 샐러드도 전체적으로 싱싱했어요!! 피타브레드는 꼭 추가해보세요~혼밥하기 딱 좋은 분위기~🌿👍🏻💚
접기","['혼밥하기 좋아요', '음식이 맛있어요', '재료가 신선해요', nan, nan]"
포유샐러드플레이트 신천점,"줄자68
리뷰 299사진 35팔로워 1","['점심에 방문', '예약 없이 이용', '일상', '혼자', nan]",1번째 방문,식단중이라 먹기 딱 좋았어요!,"['재료가 신선해요', '혼밥하기 좋아요', nan, nan, nan]"
포유샐러드플레이트 신천점,"dddddddaa
리뷰 46사진 49팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어용 ㅎㅎ,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', nan]"
포유샐러드플레이트 신천점,"니나노닌
리뷰 82사진 40팔로워 9","['점심에 방문', '예약 없이 이용', '바로 입장', nan, nan]",1번째 방문,여기 포케 넘 맛있어서 근처만 오면 계속 사먹어요 ㅠ ㅠ ㅠ 자주 올 수 없다는게 넘 슬퍼요.... ㅠㅠㅠㅠ 넘 맛있어요 진짜...,"['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', '메뉴 구성이 알차요', nan]"
포유샐러드플레이트 신천점,"희953
리뷰 34사진 22","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,스테이크 맛집입니다…!! 채소도 신선하고 좋아요😆,"['음식이 맛있어요', '재료가 신선해요', '특별한 메뉴가 있어요', '매장이 넓어요', '혼밥하기 좋아요']"
포유샐러드플레이트 신천점,"조쿨34
리뷰 91사진 617팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,"건강한 한끼를 위해 들는 포유샐러드신천점은 깔끔한 매장이 인상적이고, 건강한 식사를 원하는 사람들이 쉽게 접근할 수 있는 합리적이 가격에 포케종류가 다양해서 취향껏 좋아하는 메뉴를 선택해서 즐길수 있어 좋아요^^
주변에 직장이 많아서 점심메뉴로도 부담없을것같네요~
접기","['건강한 맛이에요', '차분한 분위기에요', '매장이 청결해요', nan, nan]"
포유샐러드플레이트 신천점,"tk****
리뷰 60사진 20팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",2번째 방문,"두 번째 방문합니다!
샐러드 양도 많고 맛있어서 연달아 방문 했네요!
맛있습니다!!!","['음식이 맛있어요', '재료가 신선해요', '건강한 맛이에요', nan, nan]"
포유샐러드플레이트 신천점,"지숭
리뷰 11사진 11","['점심에 방문', '예약 없이 이용', '바로 입장', '회식', '지인・동료']",1번째 방문,"매우 불친절. 25분 기다렸다가 음식 받았고,
늦어서 미안하단말도 없는건 물론 음식 받고 나갈때 인사도 없어요. 몇번 시켜 먹어봣는데 불친절해서 다시는 안시켜먹을 계획이고!
리뷰이벤트도 앞에 홍보되어있는거 참여한다니깐
안한다하시네요;; 대답하시는 소리도 작아서 못알아듣겠고, 알바생분이 귀찮다는듯 대답해서 기분이 좋지 않았습니다. 재방문의사 없음
더보기","[nan, nan, nan, nan, nan]"
포유샐러드플레이트 신천점,"Hyodolnote
리뷰 102사진 120","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '지인・동료']",1번째 방문,"회개샐러드..어제 뷔페먹은 나새끼
회개하러 자주와요🩷 맛도리 샐러드!","['음식이 맛있어요', '혼밥하기 좋아요', nan, nan, nan]"
포유샐러드플레이트 신천점,"댕댕댕댕굴
리뷰 437사진 183","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"완샐 했어요 🍽️
두부텐더 + 갈릭소스 조합 넘 맛있네용!!
잘 먹고 갑니다","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', nan, nan]"
