STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
한솔냉면 현대시티아울렛 대구점,"신정희29
리뷰 993사진 225팔로워 1","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,"굿
맛있었어요","['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', '친절해요', '매장이 청결해요']"
한솔냉면 현대시티아울렛 대구점,"레딸리프레셔
리뷰 33사진 17","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '아이']",1번째 방문,"맛있고 깔금해요~
쇼핑 후 이용하기 좋아요!","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', nan, nan]"
한솔냉면 현대시티아울렛 대구점,"sj0****
리뷰 1,046사진 460","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,종류가 다양해요,"['음식이 맛있어요', nan, nan, nan, nan]"
한솔냉면 현대시티아울렛 대구점,"소소한 일상 속 행복
리뷰 41사진 84","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"해물순두부찌개 맛있게 잘 먹고 가요~
주차하기 편해서 자주 들러요..","['음식이 맛있어요', '가성비가 좋아요', '매장이 넓어요', '친절해요', '주차하기 편해요']"
한솔냉면 현대시티아울렛 대구점,"융융융36
리뷰 1,937사진 168팔로워 7","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '부모님']",1번째 방문,,"['음식이 맛있어요', nan, nan, nan, nan]"
한솔냉면 현대시티아울렛 대구점,"냥이맘맘이
리뷰 391사진 226","['저녁에 방문', '예약 없이 이용', '바로 입장', '친목', '부모님']",1번째 방문,비빔밥 나물이 신선하고 맛있네요!,"['음식이 맛있어요', '재료가 신선해요', '매장이 넓어요', nan, nan]"
한솔냉면 현대시티아울렛 대구점,"sarangh
리뷰 74사진 66","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있어요 냉면도 좋아요,"['음식이 맛있어요', nan, nan, nan, nan]"
한솔냉면 현대시티아울렛 대구점,"쪼꼬미00
리뷰 966사진 214팔로워 15","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",2번째 방문,너무 맛있게 먹었어요^^,"['음식이 맛있어요', '재료가 신선해요', nan, nan, nan]"
한솔냉면 현대시티아울렛 대구점,"힐앤풋
리뷰 88사진 385팔로워 13테마 6","['점심에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,맛있게 먹고 왔어요,"['인테리어가 멋져요', '매장이 넓어요', '매장이 청결해요', '화장실이 깨끗해요', '주차하기 편해요']"
한솔냉면 현대시티아울렛 대구점,"이슬비9
리뷰 375사진 251","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",1번째 방문,"기아 차 시승갔다 냉면 행사하길래 드갔는데 냉면에 단배추 들어간거는 첨보는듯
오이는 그려려니 하겠는데~
제 스퇄은 아닌듯
더보기","[nan, nan, nan, nan, nan]"
