STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
한양토속삼계탕,"ch****
리뷰 604사진 341팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",14번째 방문,"대구 출장가면 자주 들려요.
오늘은 저녁에 들렸어요.
토종삼계탕이 15,000원이면 가격 괜찮죠?
막걸리는 3,500인데요. 경주막걸리 맛있어요.
오늘 처음으로 막걸리 2병 마셨어요.
배가 너무 빵빵해요. 다음에는 한병만~~!
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '잡내가 적어요', '건강한 맛이에요']"
한양토속삼계탕,"ch****
리뷰 604사진 341팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",16번째 방문,"대구 출장 가면 자주 들리는 곳이에요.
삼계탕이 진짜 맛이 있어요.
살이 부드럽고 잡내가 없어요
동대구역 부근에 출장 오시는 분 추천드려요!
접기","['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '가성비가 좋아요', '잡내가 적어요']"
한양토속삼계탕,"ch****
리뷰 604사진 341팔로워 11","['저녁에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",15번째 방문,"대구 자주 들리는 삼계탕 집이에요
맛도 있고 고기가 부드러워요
저는 토종 삼계탕을 시키는데 가성비가 좋은 것 같아요
동대구역 복합터미널 주변에 식사하실 분들께 적극 추천 드려요
접기","['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '가성비가 좋아요', '혼밥하기 좋아요']"
한양토속삼계탕,"쵠영v
리뷰 62사진 125팔로워 1","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,"완전 맛잇어요!! 👍🏻
출근길에 지나가면서보고 오~~ 이런곳에? 하고 퇴근후 바로 신랑이랑 와서 먹었는데 진짜 맛잇어요 ㅠㅠㅠ","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '반찬이 잘 나와요', '친절해요']"
한양토속삼계탕,"한다면 한다이
리뷰 337사진 384팔로워 29","['저녁에 방문', '예약 없이 이용', '바로 입장', '데이트', nan]",1번째 방문,기본 삼계탕도 맛있는데 한방 삼계탕도 맛있네요. 몸에 열이 좀 나고 힘이 없어서 부랴부랴 방문해서 먹고 금방 회복했습니다. 김치도 적당히 익고 맛있네요ㅎㅎ,"['음식이 맛있어요', '고기 질이 좋아요', '양이 많아요', '특별한 메뉴가 있어요', '건강한 맛이에요']"
한양토속삼계탕,"ch****
리뷰 604사진 341팔로워 11","['점심에 방문', '예약 없이 이용', '바로 입장', '비즈니스', nan]",13번째 방문,"동대구역 근처 삼계탕 맛집입니다.
대구 출장 때 자주 들립니다.
삼계탕이 잡내가 적고 맛있어요.
주변에 적극 추천해요~~!
접기","['음식이 맛있어요', '고기 질이 좋아요', '가성비가 좋아요', '잡내가 적어요', '건강한 맛이에요']"
한양토속삼계탕,"티끌모아티끌37
리뷰 1,672사진 105팔로워 1","['저녁에 방문', nan, nan, nan, nan]",1번째 방문,굿,"['음식이 맛있어요', nan, nan, nan, nan]"
한양토속삼계탕,"godgujb
리뷰 362사진 101팔로워 14테마 1","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '친구']",3번째 방문,맛있어서 배고플때 자주이용하는 곳이에요,"['음식이 맛있어요', nan, nan, nan, nan]"
한양토속삼계탕,"qudmoon94
리뷰 5사진 2","['저녁에 방문', '예약 없이 이용', '바로 입장', '가족모임', nan]",1번째 방문,잡내가 많이나서 거의 못 먹고 나옴,"['양이 많아요', nan, nan, nan, nan]"
한양토속삼계탕,"츄츄chuchu
리뷰 461사진 118팔로워 14","['점심에 방문', '예약 없이 이용', '바로 입장', '일상', '부모님']",2번째 방문,"매년 복날때마다 가서 삼계탕먹어요
맛은 여전히 좋네요~
그런데 이번엔 좀 식사하면서 기분이 별로였던것이 있었어요
매장내에 손님이 식사중인데도 불구하고
주방이모들 식탁에 앉아서 너무 시끄럽게 대화나누시는데
욕도 섞으시면서 대화하시는데 듣기 불편했어요.
우리 밥 다먹고 나갈때까지 끊임없이😮‍💨
손님들도 그렇게 큰소리로 떠들며 식사하진않아요
그런점 고쳐졌으면 좋겠어요~
날도 더운데 이열치열 삼계탕먹고 힘냅시당
더보기","['음식이 맛있어요', nan, nan, nan, nan]"
