STORE_NAME,VISITOR,USER_INFO,VISIT_COUNT,REVIEW,TAG
현풍닭칼국수 신천점,"와이엠뮤직
리뷰 136사진 468팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",3번째 방문,"아주 가끔 생각날때 들리는 곳입니다.
국물이 건강한맛입니다.
닭칼국수 닭이 덜퍼진 느낌~살이 톡 떨어지면 좋은데~아쉬움~
김치 매워요~^^
점심시간엔 주차하기가 쉽지않네요~
접기","['음식이 맛있어요', '특별한 메뉴가 있어요', '건강한 맛이에요', '친절해요', '매장이 청결해요']"
현풍닭칼국수 신천점,"백종원아니고 김종원
리뷰 506사진 384팔로워 8","['점심에 방문', nan, nan, nan, nan]",1번째 방문,이 지점은 안 매운 김치가 없대유,"['음식이 맛있어요', nan, nan, nan, nan]"
현풍닭칼국수 신천점,"짱아5569
리뷰 1,200사진 259","['저녁에 방문', '예약 없이 이용', '바로 입장', '일상', '연인・배우자']",6번째 방문,저녁에 오니 줄 안서고 조용히 먹을 수 있었어요,"['음식이 맛있어요', nan, nan, nan, nan]"
현풍닭칼국수 신천점,"hjlove773347
리뷰 23사진 117","['점심에 방문', '포장·배달 이용', '바로 입장', '친목, 나들이', nan]",2번째 방문,너무맛있어서 자주먹어요 양도많고좋아요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '혼밥하기 좋아요']"
현풍닭칼국수 신천점,"회원
리뷰 2","['아침에 방문', '예약 없이 이용', '바로 입장', '일상', '혼자']",1번째 방문,"가격대비 양이 많은편입니다. 주문 후 대기시간도 짧았고 육수가 매우 담백합니다 들깨랑 후추 베이스의 육수가 아주 좋네요 면의 익힘정도가 매우 적절합니다 매장도 깨끗하구여
접기","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '잡내가 적어요', nan]"
현풍닭칼국수 신천점,"와이엠뮤직
리뷰 136사진 468팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",2번째 방문,"보양식 느낌~~삼계탕인가 국수인가~~^^
건강한맛 잘먹었습니다~~♡","['음식이 맛있어요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요', '친절해요']"
현풍닭칼국수 신천점,"hjlove773347
리뷰 23사진 117","['아침에 방문', '포장·배달 이용', '바로 입장', '일상', nan]",1번째 방문,너무맛있어서 한그릇뚝딱했네요,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '특별한 메뉴가 있어요', '가성비가 좋아요']"
현풍닭칼국수 신천점,"성진991
리뷰 5사진 2","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '친구']",1번째 방문,"삼계칼국수에 닭안쪽이 하나도 안익고 차가워서 혹시 전자레인지 1분만 데워주실수없냐고 공손하게 부탁했더니 주방에서 음식하는 남자분이 나와서 원래 닭안쪽이 차갑게 나간다고 박박 우기더라고요 다른지점에서도 몇번이나 먹어봤는데 원래 차갑게 나가는게 도대체 말이되나ㅋㅋㅋㅋ 500년전 선조들이나 인디언들도 닭끓일땐 다익혀서 먹었겠는데;; ㅇㅋ그래 백번 양보해서 원래 그렇다 치고 그럼 그냥 전자렌지 1분만 좀 데워달라는데 그건 또 뭐가 그렇게 어렵다고;; 걍 죄송합니다 하고 1분 돌려주면 끝인데 군대에서 말대꾸하는 고문관보는거같았음 부드럽게 부탁드리는데도 계속 쳐우기면서 원래 그런거니까 닥치고 먹으라는 식으로 말하더라고요 홀 알바분들은 전체적으로 친절합니다만 주방에서 음식하는 남자분이 굉장히 무례하고 상식이 없습니
더보기","['술이 다양해요', nan, nan, nan, nan]"
현풍닭칼국수 신천점,"키노
리뷰 31사진 35","['점심에 방문', '예약 없이 이용', '바로 입장', '나들이', nan]",1번째 방문,깔끔하게 국수 생각날때 다시 찾을거 같아요 가성비 좋은거 같아요!,"['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '주차하기 편해요', '친절해요']"
현풍닭칼국수 신천점,"와이엠뮤직
리뷰 136사진 468팔로워 2","['점심에 방문', '예약 없이 이용', '바로 입장', '친목', '지인・동료']",1번째 방문,"가끔 들리는 맛집입니다.
닭반마리 닭칼국수 강추, 닭곰탕도 좋아요.
오늘은 대가족 방문. 7명 이라도 전혀 부담스럽지않은 공간.
주차장은 10대정도 가능한데 앞 도로쪽도 세주차하는듯~~
접기","['음식이 맛있어요', '재료가 신선해요', '양이 많아요', '가성비가 좋아요', '건강한 맛이에요']"
